Time,Z_tip
0,0
0.0015,4.76877132975059e-11
0.003,-1.74791892444181e-08
0.0045,-7.92892847376239e-08
0.006,-2.02151577834883e-07
0.0075,-3.99726042073197e-07
0.009,-6.81733497667489e-07
0.0105,-1.05354022299468e-06
0.012,-1.51635093277286e-06
0.0135,-2.0681326960304e-06
0.015,-2.70526139286736e-06
0.0165,-3.42470742364727e-06
0.018,-4.22639189877105e-06
0.0195,-5.11519551218246e-06
0.021,-6.10204142108527e-06
0.0225,-7.20354324485556e-06
0.024,-8.4399278641555e-06
0.0255,-9.83129175085895e-06
0.027,-1.13926705661878e-05
0.0285,-1.31288034557196e-05
0.03,-1.50297505629423e-05
0.0315,-1.70685817279779e-05
0.033,-1.92021423604615e-05
0.0345,-2.13754246013856e-05
0.036,-2.35293993872061e-05
0.0375,-2.56114245850171e-05
0.039,-2.75866923530327e-05
0.0405,-2.94487660188379e-05
0.042,-3.1227191915799e-05
0.0435,-3.29904939995319e-05
0.045,-3.48435263127032e-05
0.0465,-3.69190537131432e-05
0.048,-3.93643883310687e-05
0.0495,-4.23247481804076e-05
0.051,-4.59255707681382e-05
0.0525,-5.02562111923078e-05
0.054,-5.53572587022401e-05
0.0555,-6.12131703719559e-05
0.057,-6.77511558863604e-05
0.0585,-7.48463941383834e-05
0.06,-8.23328598019336e-05
0.0615,-9.00183973943041e-05
0.063,-9.77022678153021e-05
0.0645,-0.000105193225884481
0.066,-0.000112326245117787
0.0675,-0.000118976242262246
0.069,-0.000125067517173549
0.0705,-0.00013058085765137
0.072,-0.000135552181745092
0.0735,-0.000140062948978652
0.075,-0.000144228890540797
0.0765,-0.000148185511927697
0.078,-0.000152072036905518
0.0795,-0.000156015720054179
0.081,-0.000160118519841326
0.0825,-0.000164447932306968
0.084,-0.000169033313554335
0.0855,-0.000173868292149237
0.087,-0.000178918972473893
0.0885,-0.000184136691302324
0.09,-0.000189473278167085
0.0915,-0.000194896250437397
0.093,-0.000200401273257944
0.0945,-0.000206019588322997
0.096,-0.0002118189285993
0.0975,-0.000217897561607012
0.099,-0.000224372343161188
0.1005,-0.000231362783762566
0.102,-0.000238973910889384
0.1035,-0.000247280990789435
0.105,-0.000256318885436396
0.1065,-0.000266078006899302
0.108,-0.000276507639581678
0.1095,-0.000287526054474417
0.111,-0.00029903559584206
0.1125,-0.000310940019294121
0.114,-0.000323160975433414
0.1155,-0.000335650739196715
0.117,-0.000348399039512549
