theta_max_deg,phase_offset_deg,ct_v4_pre_speedup,ct_v5_post_speedup,diff
15,15,0.204972388,0.207445735,+0.002473348
15,30,0.194136915,0.197164800,+0.003027884
15,45,0.195379742,0.196282465,+0.000902723
15,60,0.217222787,0.202194289,-0.015028498
15,75,0.231428821,0.229610869,-0.001817951
15,90,0.237965203,0.237264920,-0.000700283
15,105,0.234054890,0.234639764,+0.000584874
25,45,0.112773504,0.093600657,-0.019172847
25,60,0.122011066,0.126926540,+0.004915474
25,75,0.163936813,0.140983885,-0.022952927
25,90,0.071561927,0.082562189,+0.011000262
25,105,0.040563122,0.075975123,+0.035412001
