figure,series,wing_type,marker,U_m_s,Re,alpha_deg,zmax_over_c,digitization_uncertainty,evidence_role
6,flexible_U10,flexible_membrane,circle,10.0,48700,0,0.04783,0.0007,digitized_approx
6,flexible_U7p5,flexible_membrane,square,7.5,36500,0,0.00493,0.0007,digitized_approx
6,flexible_U5,flexible_membrane,triangle,5.0,24300,0,0.00145,0.0007,digitized_approx
6,flexible_U10,flexible_membrane,circle,10.0,48700,1,0.05063,0.0007,digitized_approx
6,flexible_U7p5,flexible_membrane,square,7.5,36500,1,0.02541,0.0007,digitized_approx
6,flexible_U5,flexible_membrane,triangle,5.0,24300,1,0.00386,0.0007,digitized_approx
6,flexible_U10,flexible_membrane,circle,10.0,48700,2,0.05382,0.0007,digitized_approx
6,flexible_U7p5,flexible_membrane,square,7.5,36500,2,0.03111,0.0007,digitized_approx
6,flexible_U5,flexible_membrane,triangle,5.0,24300,2,0.00609,0.0007,digitized_approx
6,flexible_U10,flexible_membrane,circle,10.0,48700,3,0.05449,0.0007,digitized_approx
6,flexible_U7p5,flexible_membrane,square,7.5,36500,3,0.04039,0.0007,digitized_approx
6,flexible_U5,flexible_membrane,triangle,5.0,24300,3,0.01034,0.0007,digitized_approx
6,flexible_U10,flexible_membrane,circle,10.0,48700,4,0.0599,0.0007,digitized_approx
6,flexible_U7p5,flexible_membrane,square,7.5,36500,4,0.04097,0.0007,digitized_approx
6,flexible_U5,flexible_membrane,triangle,5.0,24300,4,0.01488,0.0007,digitized_approx
6,flexible_U10,flexible_membrane,circle,10.0,48700,5,0.05816,0.0007,digitized_approx
6,flexible_U7p5,flexible_membrane,square,7.5,36500,5,0.04242,0.0007,digitized_approx
6,flexible_U5,flexible_membrane,triangle,5.0,24300,5,0.01971,0.0007,digitized_approx
6,flexible_U10,flexible_membrane,circle,10.0,48700,6,0.05971,0.0007,digitized_approx
6,flexible_U7p5,flexible_membrane,square,7.5,36500,6,0.04251,0.0007,digitized_approx
6,flexible_U5,flexible_membrane,triangle,5.0,24300,6,0.02338,0.0007,digitized_approx
6,flexible_U10,flexible_membrane,circle,10.0,48700,7,0.05961,0.0007,digitized_approx
6,flexible_U7p5,flexible_membrane,square,7.5,36500,7,0.04338,0.0007,digitized_approx
6,flexible_U5,flexible_membrane,triangle,5.0,24300,7,0.02705,0.0007,digitized_approx
6,flexible_U10,flexible_membrane,circle,10.0,48700,8,0.06106,0.0007,digitized_approx
6,flexible_U7p5,flexible_membrane,square,7.5,36500,8,0.04377,0.0007,digitized_approx
6,flexible_U5,flexible_membrane,triangle,5.0,24300,8,0.02802,0.0007,digitized_approx
6,flexible_U10,flexible_membrane,circle,10.0,48700,9,0.05469,0.0007,digitized_approx
6,flexible_U7p5,flexible_membrane,square,7.5,36500,9,0.04367,0.0007,digitized_approx
6,flexible_U5,flexible_membrane,triangle,5.0,24300,9,0.03179,0.0007,digitized_approx
6,flexible_U10,flexible_membrane,circle,10.0,48700,10,0.05343,0.0007,digitized_approx
6,flexible_U7p5,flexible_membrane,square,7.5,36500,10,0.04444,0.0007,digitized_approx
6,flexible_U5,flexible_membrane,triangle,5.0,24300,10,0.0313,0.0007,digitized_approx
6,flexible_U10,flexible_membrane,circle,10.0,48700,11,0.05681,0.0007,digitized_approx
6,flexible_U7p5,flexible_membrane,square,7.5,36500,11,0.0487,0.0007,digitized_approx
6,flexible_U5,flexible_membrane,triangle,5.0,24300,11,0.03411,0.0007,digitized_approx
6,flexible_U10,flexible_membrane,circle,10.0,48700,12,0.06725,0.0007,digitized_approx
