figure,series,wing_type,marker,U_m_s,Re,alpha_deg,Cn,digitization_uncertainty,evidence_role
9,flexible_U10,flexible_membrane,circle,10.0,48700,0,0.1954,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,0,0.0877,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,0,0.0277,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,0,0.0092,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,0,0.0077,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,0,0.0046,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,1,0.2354,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,1,0.1231,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,1,0.0431,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,1,0.0246,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,1,0.0215,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,1,0.0062,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,2,0.2938,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,2,0.1877,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,2,0.0923,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,2,0.0738,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,2,0.0708,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,2,0.0538,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,3,0.3646,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,3,0.2462,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,3,0.1431,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,3,0.12,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,3,0.1154,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,3,0.1138,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,4,0.4569,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,4,0.3077,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,4,0.2,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,4,0.1723,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,4,0.1692,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,4,0.1569,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,5,0.52,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,5,0.3769,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,5,0.2585,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,5,0.2154,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,5,0.2123,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,5,0.1985,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,6,0.6092,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,6,0.44,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,6,0.3246,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,6,0.2615,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,6,0.2554,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,6,0.2477,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,7,0.6754,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,7,0.4985,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,7,0.3846,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,7,0.3169,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,7,0.3123,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,7,0.3062,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,8,0.7708,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,8,0.5677,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,8,0.4431,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,8,0.3692,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,8,0.3662,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,8,0.3523,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,9,0.8246,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,9,0.6262,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,9,0.4985,0.012,digitized_approx
9,rigid_U10,rigid_flat_plate,open_circle,10.0,48700,9,0.4277,0.02,digitized_approx_overlap
9,rigid_U7p5,rigid_flat_plate,open_square,7.5,36500,9,0.4246,0.02,digitized_approx_overlap
9,rigid_U5,rigid_flat_plate,open_triangle,5.0,24300,9,0.4062,0.02,digitized_approx_overlap
9,flexible_U10,flexible_membrane,circle,10.0,48700,10,0.8938,0.012,digitized_approx
9,flexible_U7p5,flexible_membrane,square,7.5,36500,10,0.6831,0.012,digitized_approx
9,flexible_U5,flexible_membrane,triangle,5.0,24300,10,0.5569,0.012,digitized_approx
