figure,AR,alpha_deg,Re,fc_over_U,PSD,digitization_uncertainty,evidence_role
12,2,15,48700,0.0,0.013301,0.00035,digitized_trace_approx
12,2,15,48700,0.01,0.012273,0.00035,digitized_trace_approx
12,2,15,48700,0.02,0.011823,0.00035,digitized_trace_approx
12,2,15,48700,0.03,0.011102,0.00035,digitized_trace_approx
12,2,15,48700,0.04,0.010255,0.00035,digitized_trace_approx
12,2,15,48700,0.05,0.010165,0.00035,digitized_trace_approx
12,2,15,48700,0.06,0.008056,0.00035,digitized_trace_approx
12,2,15,48700,0.07,0.007678,0.00035,digitized_trace_approx
12,2,15,48700,0.08,0.007155,0.00035,digitized_trace_approx
12,2,15,48700,0.09,0.007101,0.00035,digitized_trace_approx
12,2,15,48700,0.1,0.006416,0.00035,digitized_trace_approx
12,2,15,48700,0.11,0.006074,0.00035,digitized_trace_approx
12,2,15,48700,0.12,0.005443,0.00035,digitized_trace_approx
12,2,15,48700,0.13,0.005154,0.00035,digitized_trace_approx
12,2,15,48700,0.14,0.005064,0.00035,digitized_trace_approx
12,2,15,48700,0.15,0.005875,0.00035,digitized_trace_approx
12,2,15,48700,0.16,0.005857,0.00035,digitized_trace_approx
12,2,15,48700,0.17,0.005695,0.00035,digitized_trace_approx
12,2,15,48700,0.18,0.005569,0.00035,digitized_trace_approx
12,2,15,48700,0.19,0.005443,0.00035,digitized_trace_approx
12,2,15,48700,0.2,0.005407,0.00035,digitized_trace_approx
12,2,15,48700,0.21,0.005623,0.00035,digitized_trace_approx
12,2,15,48700,0.22,0.005839,0.00035,digitized_trace_approx
12,2,15,48700,0.23,0.00656,0.00035,digitized_trace_approx
12,2,15,48700,0.24,0.006272,0.00035,digitized_trace_approx
12,2,15,48700,0.25,0.006488,0.00035,digitized_trace_approx
12,2,15,48700,0.26,0.006704,0.00035,digitized_trace_approx
12,2,15,48700,0.27,0.007569,0.00035,digitized_trace_approx
12,2,15,48700,0.28,0.007569,0.00035,digitized_trace_approx
12,2,15,48700,0.29,0.007389,0.00035,digitized_trace_approx
12,2,15,48700,0.3,0.007569,0.00035,digitized_trace_approx
12,2,15,48700,0.31,0.008074,0.00035,digitized_trace_approx
12,2,15,48700,0.32,0.00957,0.00035,digitized_trace_approx
12,2,15,48700,0.33,0.009105,0.00035,digitized_trace_approx
12,2,15,48700,0.34,0.009617,0.00035,digitized_trace_approx
12,2,15,48700,0.35,0.010129,0.00035,digitized_trace_approx
12,2,15,48700,0.36,0.011877,0.00035,digitized_trace_approx
12,2,15,48700,0.37,0.011372,0.00035,digitized_trace_approx
12,2,15,48700,0.38,0.011625,0.00035,digitized_trace_approx
12,2,15,48700,0.39,0.012183,0.00035,digitized_trace_approx
12,2,15,48700,0.4,0.012688,0.00035,digitized_trace_approx
12,2,15,48700,0.41,0.013102,0.00035,digitized_trace_approx
12,2,15,48700,0.42,0.013553,0.00035,digitized_trace_approx
12,2,15,48700,0.43,0.014004,0.00035,digitized_trace_approx
12,2,15,48700,0.44,0.014544,0.00035,digitized_trace_approx
12,2,15,48700,0.45,0.014815,0.00035,digitized_trace_approx
12,2,15,48700,0.46,0.015319,0.00035,digitized_trace_approx
12,2,15,48700,0.47,0.015752,0.00035,digitized_trace_approx
12,2,15,48700,0.48,0.016707,0.00035,digitized_trace_approx
12,2,15,48700,0.49,0.01732,0.00035,digitized_trace_approx
12,2,15,48700,0.5,0.017085,0.00035,digitized_trace_approx
12,2,15,48700,0.51,0.017248,0.00035,digitized_trace_approx
12,2,15,48700,0.52,0.01786,0.00035,digitized_trace_approx
12,2,15,48700,0.53,0.017464,0.00035,digitized_trace_approx
12,2,15,48700,0.54,0.017248,0.00035,digitized_trace_approx
12,2,15,48700,0.55,0.016509,0.00035,digitized_trace_approx
12,2,15,48700,0.56,0.017554,0.00035,digitized_trace_approx
12,2,15,48700,0.57,0.018653,0.00035,digitized_trace_approx
12,2,15,48700,0.58,0.019699,0.00035,digitized_trace_approx
12,2,15,48700,0.59,0.019338,0.00035,digitized_trace_approx
12,2,15,48700,0.6,0.018996,0.00035,digitized_trace_approx
12,2,15,48700,0.61,0.018653,0.00035,digitized_trace_approx
12,2,15,48700,0.62,0.017049,0.00035,digitized_trace_approx
12,2,15,48700,0.63,0.016761,0.00035,digitized_trace_approx
12,2,15,48700,0.64,0.016202,0.00035,digitized_trace_approx
12,2,15,48700,0.65,0.015409,0.00035,digitized_trace_approx
12,2,15,48700,0.66,0.015716,0.00035,digitized_trace_approx
12,2,15,48700,0.67,0.015319,0.00035,digitized_trace_approx
12,2,15,48700,0.68,0.014706,0.00035,digitized_trace_approx
12,2,15,48700,0.69,0.013661,0.00035,digitized_trace_approx
12,2,15,48700,0.7,0.013517,0.00035,digitized_trace_approx
12,2,15,48700,0.71,0.013066,0.00035,digitized_trace_approx
12,2,15,48700,0.72,0.012093,0.00035,digitized_trace_approx
12,2,15,48700,0.73,0.011787,0.00035,digitized_trace_approx
12,2,15,48700,0.74,0.011679,0.00035,digitized_trace_approx
12,2,15,48700,0.75,0.011462,0.00035,digitized_trace_approx
12,2,15,48700,0.76,0.011733,0.00035,digitized_trace_approx
