figures,series,AR,Re,marker,alpha_deg,St_fc_over_U,St_modified,digitization_uncertainty_St,digitization_uncertainty_St_modified,evidence_role
13|15,AR2_Re24300,2,24300,open_square,9,1.0164,0.159,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re24300,2,24300,open_square,10,0.9905,0.172,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re24300,2,24300,open_square,11,0.9486,0.181,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re24300,2,24300,open_square,12,0.8658,0.18,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re24300,2,24300,open_square,13,0.6579,0.148,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re24300,2,24300,open_square,14,0.6035,0.146,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re24300,2,24300,open_square,15,0.6452,0.167,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re24300,2,24300,open_square,16,0.6168,0.17,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re24300,2,24300,open_square,17,0.578,0.169,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re24300,2,24300,open_square,18,0.5631,0.174,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re24300,2,24300,open_square,19,0.5621,0.183,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re24300,2,24300,open_square,20,0.5351,0.183,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re24300,2,24300,open_square,21,0.5218,0.187,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re24300,2,24300,open_square,22,0.4939,0.185,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re24300,2,24300,open_square,23,0.4811,0.188,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re24300,2,24300,open_square,24,0.4401,0.179,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re24300,2,24300,open_square,25,0.3975,0.168,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re36500,2,36500,open_circle,9,1.0509,0.1644,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re36500,2,36500,open_circle,10,0.9957,0.1729,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re36500,2,36500,open_circle,11,0.957,0.1826,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re36500,2,36500,open_circle,12,0.7936,0.165,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re36500,2,36500,open_circle,13,0.7148,0.1608,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re36500,2,36500,open_circle,14,0.6118,0.148,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re36500,2,36500,open_circle,15,0.6139,0.1589,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re36500,2,36500,open_circle,16,0.6073,0.1674,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re36500,2,36500,open_circle,17,0.5787,0.1692,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re36500,2,36500,open_circle,18,0.5595,0.1729,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re36500,2,36500,open_circle,19,0.5215,0.1698,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re36500,2,36500,open_circle,20,0.5143,0.1759,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re36500,2,36500,open_circle,21,0.5042,0.1807,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re36500,2,36500,open_circle,22,0.4808,0.1801,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re36500,2,36500,open_circle,23,0.4471,0.1747,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re36500,2,36500,open_circle,24,0.4384,0.1783,0.012,0.003,digitized_approx_two_figure_crosscheck
13|15,AR2_Re36500,2,36500,open_circle,25,0.4304,0.1819,0.012,0.003,digitized_approx_two_figure_crosscheck
12|13|15,AR2_Re48700_alpha15_spectrum_anchor,2,48700,open_diamond,15.0,0.58,0.1501,0.02,0.006,digitized_spectrum_peak_anchor
