figure,alpha_deg,St_fit_0p17_over_sin_alpha,St_lower_0p15_over_sin_alpha,St_upper_0p20_over_sin_alpha,source_role
14,8.0,1.2215,1.07779,1.43706,published_equation_and_textual_envelope
14,8.5,1.15013,1.01482,1.35309,published_equation_and_textual_envelope
14,9.0,1.08672,0.95887,1.27849,published_equation_and_textual_envelope
14,9.5,1.03001,0.90883,1.21177,published_equation_and_textual_envelope
14,10.0,0.97899,0.86382,1.15175,published_equation_and_textual_envelope
14,10.5,0.93286,0.82311,1.09748,published_equation_and_textual_envelope
14,11.0,0.89094,0.78613,1.04817,published_equation_and_textual_envelope
14,11.5,0.85269,0.75238,1.00317,published_equation_and_textual_envelope
14,12.0,0.81765,0.72146,0.96195,published_equation_and_textual_envelope
14,12.5,0.78544,0.69303,0.92405,published_equation_and_textual_envelope
14,13.0,0.75572,0.66681,0.88908,published_equation_and_textual_envelope
14,13.5,0.72822,0.64255,0.85673,published_equation_and_textual_envelope
14,14.0,0.70271,0.62003,0.82671,published_equation_and_textual_envelope
14,14.5,0.67897,0.59909,0.79879,published_equation_and_textual_envelope
14,15.0,0.65683,0.57956,0.77274,published_equation_and_textual_envelope
14,15.5,0.63614,0.5613,0.7484,published_equation_and_textual_envelope
14,16.0,0.61675,0.54419,0.72559,published_equation_and_textual_envelope
14,16.5,0.59856,0.52814,0.70419,published_equation_and_textual_envelope
14,17.0,0.58145,0.51305,0.68406,published_equation_and_textual_envelope
14,17.5,0.56534,0.49883,0.6651,published_equation_and_textual_envelope
14,18.0,0.55013,0.48541,0.64721,published_equation_and_textual_envelope
14,18.5,0.53576,0.47273,0.63031,published_equation_and_textual_envelope
14,19.0,0.52216,0.46073,0.61431,published_equation_and_textual_envelope
14,19.5,0.50928,0.44936,0.59915,published_equation_and_textual_envelope
14,20.0,0.49705,0.43857,0.58476,published_equation_and_textual_envelope
14,20.5,0.48543,0.42832,0.57109,published_equation_and_textual_envelope
14,21.0,0.47437,0.41856,0.55809,published_equation_and_textual_envelope
14,21.5,0.46385,0.40928,0.5457,published_equation_and_textual_envelope
14,22.0,0.45381,0.40042,0.53389,published_equation_and_textual_envelope
14,22.5,0.44423,0.39197,0.52263,published_equation_and_textual_envelope
14,23.0,0.43508,0.3839,0.51186,published_equation_and_textual_envelope
14,23.5,0.42633,0.37618,0.50157,published_equation_and_textual_envelope
14,24.0,0.41796,0.36879,0.49172,published_equation_and_textual_envelope
14,24.5,0.40994,0.36171,0.48228,published_equation_and_textual_envelope
14,25.0,0.40225,0.35493,0.47324,published_equation_and_textual_envelope
14,25.5,0.39488,0.34842,0.46456,published_equation_and_textual_envelope
14,26.0,0.3878,0.34218,0.45623,published_equation_and_textual_envelope
14,26.5,0.381,0.33617,0.44823,published_equation_and_textual_envelope
14,27.0,0.37446,0.3304,0.44054,published_equation_and_textual_envelope
14,27.5,0.36817,0.32485,0.43314,published_equation_and_textual_envelope
14,28.0,0.36211,0.31951,0.42601,published_equation_and_textual_envelope
14,28.5,0.35628,0.31436,0.41915,published_equation_and_textual_envelope
14,29.0,0.35065,0.3094,0.41253,published_equation_and_textual_envelope
14,29.5,0.34523,0.30462,0.40615,published_equation_and_textual_envelope
14,30.0,0.34,0.3,0.4,published_equation_and_textual_envelope
14,30.5,0.33495,0.29554,0.39406,published_equation_and_textual_envelope
14,31.0,0.33007,0.29124,0.38832,published_equation_and_textual_envelope
14,31.5,0.32536,0.28708,0.38278,published_equation_and_textual_envelope
14,32.0,0.3208,0.28306,0.37742,published_equation_and_textual_envelope
14,32.5,0.3164,0.27917,0.37223,published_equation_and_textual_envelope
14,33.0,0.31213,0.27541,0.36722,published_equation_and_textual_envelope
14,33.5,0.30801,0.27177,0.36236,published_equation_and_textual_envelope
14,34.0,0.30401,0.26824,0.35766,published_equation_and_textual_envelope
14,34.5,0.30014,0.26483,0.3531,published_equation_and_textual_envelope
14,35.0,0.29639,0.26152,0.34869,published_equation_and_textual_envelope
