case_id,figure,U_m_s,alpha_deg,metric,value_low,value_high,evidence_role,note
ROJ11-A10,Figure 6,5,10,zmax_over_c,0.032,0.032,digitized_approx,time-mean max camber
ROJ11-A10,Figure 9,5,10,Cn,0.5,0.52,digitized_approx,time-mean normal-force coefficient
ROJ11-A10,Figure 11,5,10,Strouhal,1.1,1.1,digitized_approx,dominant peak at max-zsd station
ROJ11-A10,Figure 10,5,10,chordwise_peak_count,3,3,digitized_approx,zsd chordwise profile peaks
ROJ11-A10,Figure 10,5,10,spanwise_peak_count,3,3,digitized_approx,zsd spanwise profile peaks
ROJ11-A16,Figure 6,5,16,zmax_over_c,0.043,0.043,digitized_approx,time-mean max camber (primary gate)
ROJ11-A16,Figure 9,5,16,Cn,0.92,0.95,digitized_approx,time-mean normal-force coefficient (primary gate)
ROJ11-A17-MODE,Figure 6,5,17,zmax_over_c,0.044,0.045,digitized_approx,paper dynamic-mode condition ~17 deg
ROJ11-A17-MODE,Figure 9,5,17,Cn,0.97,0.97,digitized_approx,single-value digitization
ROJ11-A17-MODE,Figure 11,5,17,Strouhal,0.85,0.85,digitized_approx,dominant peak
ROJ11-A17-MODE,Figure 10,5,17,chordwise_peak_count,2,2,digitized_approx,two chordwise peaks
ROJ11-A17-MODE,Figure 10,5,17,spanwise_peak_count,0,0,digitized_approx,spanwise peaks no longer visible
ROJ11-A23,Figure 6,5,23,zmax_over_c,0.047,0.048,digitized_approx,deep-separation camber
ROJ11-A23,Figure 9,5,23,Cn,0.98,1.02,digitized_approx,time-mean normal-force coefficient
ROJ11-A23,Figure 11,5,23,Strouhal,0.83,0.83,digitized_approx,dominant peak
ROJ11-A23,Figure 10,5,23,chordwise_peak_count,2,2,digitized_approx,chordwise two-peak dominance
ROJ11-A16-U7.5,Figure 6,7.5,16,zmax_over_c,0.055,0.056,digitized_approx,extension_future: high dynamic pressure
ROJ11-A16-U7.5,Figure 9,7.5,16,Cn,1.07,1.07,digitized_approx,extension_future
ROJ11-A16-U10,Figure 6,10,16,zmax_over_c,0.075,0.076,digitized_approx,extension_future: high dynamic pressure
ROJ11-A16-U10,Figure 9,10,16,Cn,1.23,1.26,digitized_approx,extension_future
