case_id,model,quantity,phase,experiment,prediction
W1,fluxv_old,CL,0.0,0.58,0.4364289963306539
W1,fluxv_old,CL,0.0025,0.59905,0.4527843376593691
W1,fluxv_old,CL,0.005,0.6154,0.4691396789880843
W1,fluxv_old,CL,0.0075,0.6362,0.4854950203167995
W1,fluxv_old,CL,0.01,0.6516,0.5021900932973127
W1,fluxv_old,CL,0.0125,0.677,0.5189336993709398
W1,fluxv_old,CL,0.015,0.6962,0.535677305444567
W1,fluxv_old,CL,0.0175,0.7178,0.55267798739501
W1,fluxv_old,CL,0.02,0.7416,0.5697643613043915
W1,fluxv_old,CL,0.0225,0.7586,0.5868507352137728
W1,fluxv_old,CL,0.025,0.784,0.6041421126710635
W1,fluxv_old,CL,0.0275,0.8094,0.6215564922570996
W1,fluxv_old,CL,0.03,0.8348,0.6389708718431356
W1,fluxv_old,CL,0.0325,0.8602,0.656535957552443
W1,fluxv_old,CL,0.035,0.8856,0.6742517493850215
W1,fluxv_old,CL,0.0375,0.911,0.6919675412176001
W1,fluxv_old,CL,0.04,0.9364,0.7097847980792706
W1,fluxv_old,CL,0.0425,0.9618,0.7277711633227614
W1,fluxv_old,CL,0.045,0.9872,0.7457575285662521
W1,fluxv_old,CL,0.0475,1.01,0.7638030220780789
W1,fluxv_old,CL,0.05,1.034,0.7820259003949138
W1,fluxv_old,CL,0.0525,1.0767,0.8002487787117487
W1,fluxv_old,CL,0.055,1.0988,0.8184964221770421
W1,fluxv_old,CL,0.0575,1.1242,0.8369174216815454
W1,fluxv_old,CL,0.06,1.1496,0.8553384211860486
W1,fluxv_old,CL,0.0625,1.1825,0.8737594206905519
W1,fluxv_old,CL,0.065,1.2104,0.8923355301946728
W1,fluxv_old,CL,0.0675,1.2358,0.9109116396987937
W1,fluxv_old,CL,0.07,1.2612,0.9294877492029145
W1,fluxv_old,CL,0.0725,1.2866,0.9481577569444792
W1,fluxv_old,CL,0.075,1.322,0.9668411787199646
W1,fluxv_old,CL,0.0775,1.3474,0.9855246004954498
W1,fluxv_old,CL,0.08,1.3728,1.0042490116906297
W1,fluxv_old,CL,0.0825,1.4073,1.022987086025708
W1,fluxv_old,CL,0.085,1.4336,1.041725160360786
W1,fluxv_old,CL,0.0875,1.459,1.0604614219588648
W1,fluxv_old,CL,0.09,1.4844,1.0791965959147443
W1,fluxv_old,CL,0.0925,1.5098,1.0979317698706235
W1,fluxv_old,CL,0.095,1.5352,1.1166343025618055
W1,fluxv_old,CL,0.0975,1.5606,1.1353041939882902
W1,fluxv_old,CL,0.1,1.594,1.153974085414775
W1,fluxv_old,CL,0.1025,1.6207,1.17259435294638
W1,fluxv_old,CL,0.105,1.6368,1.191131913986519
W1,fluxv_old,CL,0.1075,1.6622,1.2096694750266581
W1,fluxv_old,CL,0.11,1.6876,1.2281560883676703
W1,fluxv_old,CL,0.1125,1.723,1.246489858611302
W1,fluxv_old,CL,0.115,1.7442,1.264823628854934
W1,fluxv_old,CL,0.1175,1.7638,1.2831224921000155
W1,fluxv_old,CL,0.12,1.7892,1.3011770063552466
W1,fluxv_old,CL,0.1225,1.8146,1.3192315206104779
W1,fluxv_old,CL,0.125,1.84,1.337286034865709
W1,fluxv_old,CL,0.1275,1.8654,1.3549823435521755
W1,fluxv_old,CL,0.13,1.8908,1.372678652238642
W1,fluxv_old,CL,0.1325,1.9131,1.3903749609251086
W1,fluxv_old,CL,0.135,1.9316,1.4076862916023662
W1,fluxv_old,CL,0.1375,1.957,1.4249426254211655
W1,fluxv_old,CL,0.14,1.9824,1.4421989592399647
W1,fluxv_old,CL,0.1425,2.0078,1.4590624908381922
W1,fluxv_old,CL,0.145,2.0332,1.475795088362896
W1,fluxv_old,CL,0.1475,2.0586,1.4925276858876
W1,fluxv_old,CL,0.15,2.074,1.5088799509879465
W1,fluxv_old,CL,0.1525,2.0994,1.5250040166336785
W1,fluxv_old,CL,0.155,2.1248,1.5411280822794107
W1,fluxv_old,CL,0.1575,2.1501,1.5569055127573446
W1,fluxv_old,CL,0.16,2.1656,1.5723363080674806
W1,fluxv_old,CL,0.1625,2.191,1.5877671033776166
W1,fluxv_old,CL,0.165,2.2082,1.6029066275420303
W1,fluxv_old,CL,0.1675,2.2318,1.6175606997969065
W1,fluxv_old,CL,0.17,2.2572,1.6322147720517828
W1,fluxv_old,CL,0.1725,2.2826,1.6466544468099342
W1,fluxv_old,CL,0.175,2.308,1.660450929077911
W1,fluxv_old,CL,0.1775,2.3317,1.6742474113458876
W1,fluxv_old,CL,0.18,2.3488,1.6879270811171803
W1,fluxv_old,CL,0.1825,2.3742,1.7007890634116836
W1,fluxv_old,CL,0.185,2.3898,1.7136510457061869
W1,fluxv_old,CL,0.1875,2.4125,1.7265130280006902
W1,fluxv_old,CL,0.19,2.4304,1.7383689531825852
W1,fluxv_old,CL,0.1925,2.4558,1.7502248783644803
W1,fluxv_old,CL,0.195,2.4712,1.7620808035463753
W1,fluxv_old,CL,0.1975,2.4933,1.7729996768854202
W1,fluxv_old,CL,0.2,2.512,1.7837846856754862
W1,fluxv_old,CL,0.2025,2.5287,1.7945696944655525
W1,fluxv_old,CL,0.205,2.5514,1.804508875202135
W1,fluxv_old,CL,0.2075,2.5682,1.8141661132542233
W1,fluxv_old,CL,0.21,2.5868,1.8238233513063116
W1,fluxv_old,CL,0.2125,2.5995,1.8327459050422454
W1,fluxv_old,CL,0.215,2.6222,1.8412276481884866
W1,fluxv_old,CL,0.2175,2.6349,1.8497093913347278
W1,fluxv_old,CL,0.22,2.6476,1.857584589233513
W1,fluxv_old,CL,0.2225,2.6606,1.8648532418848422
W1,fluxv_old,CL,0.225,2.683,1.8721218945361715
W1,fluxv_old,CL,0.2275,2.6957,1.8789256108485461
W1,fluxv_old,CL,0.23,2.7084,1.8849544332626627
W1,fluxv_old,CL,0.2325,2.7211,1.8909832556767792
W1,fluxv_old,CL,0.235,2.7338,1.8966982748962415
W1,fluxv_old,CL,0.2375,2.7465,1.901471884531741
W1,fluxv_old,CL,0.24,2.75,1.9062454941672407
W1,fluxv_old,CL,0.2425,2.7619,1.910861721572495
W1,fluxv_old,CL,0.245,2.7746,1.9143762733660323
W1,fluxv_old,CL,0.2475,2.7873,1.9178908251595697
W1,fluxv_old,CL,0.25,2.79,1.921405376953107
W1,fluxv_old,CL,0.2525,2.8027,1.923668462387604
W1,fluxv_old,CL,0.255,2.81,1.925931547822101
W1,fluxv_old,CL,0.2575,2.81,1.928194633256598
W1,fluxv_old,CL,0.26,2.8208,1.9293789793156673
W1,fluxv_old,CL,0.2625,2.83,1.9304092197496754
W1,fluxv_old,CL,0.265,2.83,1.9314394601836835
W1,fluxv_old,CL,0.2675,2.8389,1.9315667717147909
W1,fluxv_old,CL,0.27,2.8416,1.9313931069449315
W1,fluxv_old,CL,0.2725,2.85,1.9312194421750721
W1,fluxv_old,CL,0.275,2.85,1.9303172790956307
W1,fluxv_old,CL,0.2775,2.85,1.92897801703044
W1,fluxv_old,CL,0.28,2.86,1.9276387549652496
W1,fluxv_old,CL,0.2825,2.86,1.9257399407060802
W1,fluxv_old,CL,0.285,2.86,1.9232815742529317
W1,fluxv_old,CL,0.2875,2.86,1.9208232077997833
W1,fluxv_old,CL,0.29,2.86,1.9179651754443368
W1,fluxv_old,CL,0.2925,2.86,1.9144410332517268
W1,fluxv_old,CL,0.295,2.86,1.9109168910591166
W1,fluxv_old,CL,0.2975,2.86,1.9071409805526696
W1,fluxv_old,CL,0.3,2.86,1.9026097651047122
W1,fluxv_old,CL,0.3025,2.86,1.898078549656755
W1,fluxv_old,CL,0.305,2.86,1.893429268837004
W1,fluxv_old,CL,0.3075,2.86,1.8879535304146968
W1,fluxv_old,CL,0.31,2.8552,1.8824777919923896
W1,fluxv_old,CL,0.3125,2.85,1.8770020535700824
W1,fluxv_old,CL,0.315,2.85,1.8706466741355154
W1,fluxv_old,CL,0.3175,2.8471,1.8642912947009487
W1,fluxv_old,CL,0.32,2.84,1.8579359152663817
W1,fluxv_old,CL,0.3225,2.84,1.8508683850928527
W1,fluxv_old,CL,0.325,2.839,1.8436991190994718
W1,fluxv_old,CL,0.3275,2.83,1.836529853106091
W1,fluxv_old,CL,0.33,2.8236,1.8287991186971162
W1,fluxv_old,CL,0.3325,2.82,1.82088122814961
W1,fluxv_old,CL,0.335,2.81,1.812963337602104
W1,fluxv_old,CL,0.3375,2.8055,1.8046172748975724
W1,fluxv_old,CL,0.34,2.8,1.796014308898826
W1,fluxv_old,CL,0.3425,2.7901,1.7874113429000795
W1,fluxv_old,CL,0.345,2.7874,1.7784962349272644
W1,fluxv_old,CL,0.3475,2.78,1.7692689849803804
W1,fluxv_old,CL,0.35,2.772,1.7600417350334963
W1,fluxv_old,CL,0.3525,2.7593,1.750601819256286
W1,fluxv_old,CL,0.355,2.75,1.7408074604285326
W1,fluxv_old,CL,0.3575,2.7439,1.7310131016007793
W1,fluxv_old,CL,0.36,2.7312,1.7210901887049959
W1,fluxv_old,CL,0.3625,2.72,1.7107816136051222
W1,fluxv_old,CL,0.365,2.7158,1.7004730385052484
W1,fluxv_old,CL,0.3675,2.7031,1.6901062044633715
W1,fluxv_old,CL,0.37,2.6904,1.6793315578274706
W1,fluxv_old,CL,0.3725,2.6777,1.66855691119157
W1,fluxv_old,CL,0.375,2.665,1.6577822645556692
W1,fluxv_old,CL,0.3775,2.6523,1.646584672073957
W1,fluxv_old,CL,0.38,2.6296,1.6353870795922445
W1,fluxv_old,CL,0.3825,2.6169,1.6241894871105322
W1,fluxv_old,CL,0.385,2.6042,1.6126550766690577
W1,fluxv_old,CL,0.3875,2.5915,1.6010725493761888
W1,fluxv_old,CL,0.39,2.5776,1.58949002208332
W1,fluxv_old,CL,0.3925,2.5561,1.5776435087270972
W1,fluxv_old,CL,0.395,2.5368,1.565709000016423
W1,fluxv_old,CL,0.3975,2.5207,1.5537744913057492
W1,fluxv_old,CL,0.4,2.498,1.5416375485137621
W1,fluxv_old,CL,0.4025,2.4806,1.5293791452729872
W1,fluxv_old,CL,0.405,2.4626,1.5171207420322124
W1,fluxv_old,CL,0.4075,2.4398,1.504712154071549
W1,fluxv_old,CL,0.41,2.4172,1.4921533813909964
W1,fluxv_old,CL,0.4125,2.399,1.4795946087104441
W1,fluxv_old,CL,0.415,2.3736,1.4669304568247061
W1,fluxv_old,CL,0.4175,2.3482,1.4540906729303256
W1,fluxv_old,CL,0.42,2.3228,1.4412508890359452
W1,fluxv_old,CL,0.4225,2.2974,1.4283447657546966
W1,fluxv_old,CL,0.425,2.272,1.4152396243128433
