configuration,ldvm_steps_per_cycle,max_wake_steps,retained_wake_cycles,core_radius_chord,quantity,rmse,mae,bias,mean_coefficient,mean_shedding_fraction
time_256,256,128,0.5,0.02,CL,1.0286308594996865,0.8888413231804171,-0.8693887979928681,1.2457812387718454,0.6171875
time_256,256,128,0.5,0.02,CD,0.738441900969714,0.6084364447856035,-0.417842049924649,-0.5429737631785352,0.6171875
reference,512,256,0.5,0.02,CL,1.0323056437701223,0.8966912863805692,-0.8749289086683159,1.2402411280963974,0.6640625
reference,512,256,0.5,0.02,CD,0.725677862528139,0.6044957840698144,-0.408443298937531,-0.5335750121914171,0.6640625
time_1024,1024,512,0.5,0.02,CL,1.0377639388565307,0.911267355368454,-0.8965931116328832,1.2185769251318304,0.65625
time_1024,1024,512,0.5,0.02,CD,0.7297558268132288,0.6113658702606702,-0.40786933460308883,-0.5330010478569749,0.65625
wake_quarter_cycle,512,128,0.25,0.02,CL,1.0406791939492483,0.9128296370668302,-0.8960893429916075,1.219080693773106,0.46875
wake_quarter_cycle,512,128,0.25,0.02,CD,0.7708077190207769,0.6253021060016465,-0.4452901565694236,-0.5704218698233097,0.46875
wake_three_quarter_cycle,512,384,0.75,0.02,CL,0.9698931796023267,0.8613163242124263,-0.8613163242124263,1.2538537125522873,0.546875
wake_three_quarter_cycle,512,384,0.75,0.02,CD,0.7003048151378107,0.5707189352132981,-0.3890585174373769,-0.514190230691263,0.546875
