family,configuration,settings,model,quantity,rmse,mae,bias,mean_coefficient,runtime_s
uvlm_single_factor,time_64,4x8x64x3,fluxv_old,CL,1.1011038127306005,0.9403720361872213,-0.926375413531436,1.1887946232332776,17.177616335000494
uvlm_single_factor,time_64,4x8x64x3,fluxv_old,CD,0.7280486861172868,0.5893766692386029,-0.48643032527630353,-0.6115620385301898,17.177616335000494
uvlm_single_factor,time_64,4x8x64x3,fluxv_v4b,CL,1.0708816389871239,0.8927732491791934,-0.8725094670648861,1.2426605696998274,
uvlm_single_factor,time_64,4x8x64x3,fluxv_v4b,CD,0.6843463968964167,0.5829769130078863,-0.3341145269616709,-0.4592462402155571,
uvlm_single_factor,reference,4x8x128x3,fluxv_old,CL,1.0783796093886717,0.9429781776411713,-0.9287584717835915,1.186411564981122,115.29629391399794
uvlm_single_factor,reference,4x8x128x3,fluxv_old,CD,0.7890522113169248,0.6191280958503704,-0.5612989171635521,-0.6864306304174383,115.29629391399794
uvlm_single_factor,reference,4x8x128x3,fluxv_v4b,CL,1.0323056437701223,0.8966912863805693,-0.874928908668316,1.2402411280963974,
uvlm_single_factor,reference,4x8x128x3,fluxv_v4b,CD,0.725677862528139,0.6044957840698144,-0.408443298937531,-0.5335750121914171,
uvlm_single_factor,span_12,4x12x128x3,fluxv_old,CL,1.085102308335718,0.9550766642257755,-0.9480253413938553,1.1671446953708582,240.95989320300578
uvlm_single_factor,span_12,4x12x128x3,fluxv_old,CD,0.7898126408254571,0.6188459930293126,-0.5578448235250519,-0.682976536778938,240.95989320300578
uvlm_single_factor,span_12,4x12x128x3,fluxv_v4b,CL,1.0381957466972458,0.9075997356737945,-0.8941957782785798,1.2209742584861338,
uvlm_single_factor,span_12,4x12x128x3,fluxv_v4b,CD,0.7282596956556046,0.6064154710626428,-0.4049892052990306,-0.5301209185529169,
uvlm_single_factor,cycles_4,4x8x128x4,fluxv_old,CL,1.077624627027799,0.9422218964971606,-0.9278187108598156,1.1873513259048978,246.39227549399948
uvlm_single_factor,cycles_4,4x8x128x4,fluxv_old,CD,0.7890275206747496,0.6191539975275775,-0.5617927778584696,-0.6869244911123558,246.39227549399948
uvlm_single_factor,cycles_4,4x8x128x4,fluxv_v4b,CL,1.0315209465599362,0.8959766962184134,-0.8739891477445403,1.2411808890201734,
uvlm_single_factor,cycles_4,4x8x128x4,fluxv_v4b,CD,0.7254593795651589,0.6043354471954216,-0.4089371596324484,-0.5340688728863346,
ldvm_single_factor,ldvm_time_256,steps=256;wake=256,fluxv_v4b,CL,0.9630489803067408,0.8414558361342948,-0.8349320203139237,1.2802380164507898,
ldvm_single_factor,ldvm_time_256,steps=256;wake=256,fluxv_v4b,CD,0.6925163270426297,0.5677644232116986,-0.4021678581831642,-0.5272995714370503,
ldvm_single_factor,reference,steps=512;wake=256,fluxv_v4b,CL,1.0323056437701223,0.8966912863805693,-0.874928908668316,1.2402411280963974,
ldvm_single_factor,reference,steps=512;wake=256,fluxv_v4b,CD,0.725677862528139,0.6044957840698144,-0.408443298937531,-0.5335750121914171,
ldvm_single_factor,wake_128,steps=512;wake=128,fluxv_v4b,CL,1.0406791939492481,0.9128296370668303,-0.8960893429916075,1.219080693773106,
ldvm_single_factor,wake_128,steps=512;wake=128,fluxv_v4b,CD,0.7708077190207769,0.6253021060016465,-0.4452901565694236,-0.5704218698233097,
ldvm_single_factor,wake_384,steps=512;wake=384,fluxv_v4b,CL,0.9698931796023266,0.8613163242124263,-0.8613163242124263,1.2538537125522873,
ldvm_single_factor,wake_384,steps=512;wake=384,fluxv_v4b,CD,0.7003048151378107,0.5707189352132981,-0.3890585174373769,-0.514190230691263,
