case,model,phase_t_over_T,cl,source_pixel_x,source_pixel_y
W1,theodorsen_standard,0,0.6018735363,100.0000,372.0000
W1,theodorsen_standard,0.0338208409506,0.831381733021,118.5000,347.5000
W1,theodorsen_standard,0.0648994515539,1.16861826698,135.5000,311.5000
W1,theodorsen_standard,0.101462522852,1.26229508197,155.5000,301.5000
W1,theodorsen_standard,0.136197440585,1.45901639344,174.5000,280.5000
W1,theodorsen_standard,0.170932358318,1.62763466042,193.5000,262.5000
W1,theodorsen_standard,0.205667276051,1.75878220141,212.5000,248.5000
W1,theodorsen_standard,0.236745886654,1.85245901639,229.5000,238.5000
W1,theodorsen_standard,0.273308957952,1.88992974239,249.5000,234.5000
W1,theodorsen_standard,0.30987202925,1.89929742389,269.5000,233.5000
W1,theodorsen_standard,0.342778793419,1.86182669789,287.5000,237.5000
W1,theodorsen_standard,0.377513711152,1.75878220141,306.5000,248.5000
W1,theodorsen_standard,0.41042047532,1.61826697892,324.5000,263.5000
W1,theodorsen_standard,0.474405850091,1.34660421546,359.5000,292.5000
W1,theodorsen_standard,0.510968921389,1.037470726,379.5000,325.5000
W1,theodorsen_standard,0.545703839122,0.812646370023,398.5000,349.5000
W1,theodorsen_standard,0.580438756856,0.606557377049,417.5000,371.5000
W1,theodorsen_standard,0.615173674589,0.381733021077,436.5000,395.5000
W1,theodorsen_standard,0.648080438757,0.194379391101,454.5000,415.5000
W1,theodorsen_standard,0.68281535649,0.0538641686183,473.5000,430.5000
W1,theodorsen_standard,0.717550274223,-0.0772833723653,492.5000,444.5000
W1,theodorsen_standard,0.752285191956,-0.152224824356,511.5000,452.5000
W1,theodorsen_standard,0.787020109689,-0.161592505855,530.5000,453.5000
W1,theodorsen_standard,0.821755027422,-0.227166276347,549.5000,460.5000
W1,theodorsen_standard,0.86197440585,-0.096018735363,571.5000,446.5000
W1,theodorsen_standard,0.885740402194,0.0351288056206,584.5000,432.5000
W1,theodorsen_standard,0.922303473492,0.185011709602,604.5000,416.5000
W1,theodorsen_standard,0.957038391225,0.372365339578,623.5000,396.5000
W1,theodorsen_standard,0.991773308958,0.578454332553,642.5000,374.5000
W2,theodorsen_standard,0,-0.553287981859,94.0000,387.0000
W2,theodorsen_standard,0.0349462365591,0.319727891156,113.5000,348.5000
W2,theodorsen_standard,0.0564516129032,0.342403628118,125.5000,347.5000
W2,theodorsen_standard,0.101254480287,1.18140589569,150.5000,310.5000
W2,theodorsen_standard,0.137096774194,1.63492063492,170.5000,290.5000
W2,theodorsen_standard,0.16935483871,2.04308390023,188.5000,272.5000
W2,theodorsen_standard,0.201612903226,2.40589569161,206.5000,256.5000
W2,theodorsen_standard,0.235663082437,2.67800453515,225.5000,244.5000
W2,theodorsen_standard,0.267921146953,2.85941043084,243.5000,236.5000
W2,theodorsen_standard,0.337813620072,2.99546485261,282.5000,230.5000
W2,theodorsen_standard,0.368279569892,2.90476190476,299.5000,234.5000
W2,theodorsen_standard,0.404121863799,2.70068027211,319.5000,243.5000
W2,theodorsen_standard,0.438172043011,2.47392290249,338.5000,253.5000
W2,theodorsen_standard,0.472222222222,2.11111111111,357.5000,269.5000
W2,theodorsen_standard,0.508064516129,1.72562358277,377.5000,286.5000
W2,theodorsen_standard,0.536738351254,1.24943310658,393.5000,307.5000
W2,theodorsen_standard,0.572580645161,0.818594104308,413.5000,326.5000
W2,theodorsen_standard,0.606630824373,0.365079365079,432.5000,346.5000
W2,theodorsen_standard,0.640681003584,-0.0657596371882,451.5000,365.5000
W2,theodorsen_standard,0.671146953405,-0.451247165533,468.5000,382.5000
W2,theodorsen_standard,0.706989247312,-0.791383219955,488.5000,397.5000
W2,theodorsen_standard,0.741039426523,-1.06349206349,507.5000,409.5000
W2,theodorsen_standard,0.775089605735,-1.26757369615,526.5000,418.5000
W2,theodorsen_standard,0.809139784946,-1.31292517007,545.5000,420.5000
W2,theodorsen_standard,0.875448028674,-1.24489795918,582.5000,417.5000
W2,theodorsen_standard,0.911290322581,-1.06349206349,602.5000,409.5000
W2,theodorsen_standard,0.975806451613,-0.40589569161,638.5000,380.5000
W2,theodorsen_standard,1,-0.575963718821,652.0000,388.0000
W3,theodorsen_standard,0.00639853747715,0.959302325581,103.5000,330.5000
W3,theodorsen_standard,0.0356489945155,1.02906976744,119.5000,324.5000
W3,theodorsen_standard,0.0703839122486,1.26162790698,138.5000,304.5000
W3,theodorsen_standard,0.099634369287,1.50581395349,154.5000,283.5000
W3,theodorsen_standard,0.136197440585,1.65697674419,174.5000,270.5000
W3,theodorsen_standard,0.169104204753,1.81976744186,192.5000,256.5000
W3,theodorsen_standard,0.202010968921,1.93604651163,210.5000,246.5000
W3,theodorsen_standard,0.23491773309,2.01744186047,228.5000,239.5000
W3,theodorsen_standard,0.267824497258,2.02906976744,246.5000,238.5000
W3,theodorsen_standard,0.335466179159,1.91279069767,283.5000,248.5000
W3,theodorsen_standard,0.370201096892,1.77325581395,302.5000,260.5000
W3,theodorsen_standard,0.404936014625,1.61046511628,321.5000,274.5000
