case,phase_t_over_T,cl,cd
W1,0,0.58,0.167326732673
W1,0.0025,0.59905,0.166690594059
W1,0.005,0.6154,0.166336633663
W1,0.0075,0.6362,0.164643564357
W1,0.01,0.6516,0.164356435644
W1,0.0125,0.677,0.163514851486
W1,0.015,0.6962,0.162376237624
W1,0.0175,0.7178,0.162376237624
W1,0.02,0.7416,0.160396039604
W1,0.0225,0.7586,0.160396039604
W1,0.025,0.784,0.158712871287
W1,0.0275,0.8094,0.158148514851
W1,0.03,0.8348,0.156435643564
W1,0.0325,0.8602,0.155039603961
W1,0.035,0.8856,0.154455445545
W1,0.0375,0.911,0.152475247525
W1,0.04,0.9364,0.151366336634
W1,0.0425,0.9618,0.148821782178
W1,0.045,0.9872,0.148257425742
W1,0.0475,1.01,0.145712871287
W1,0.05,1.034,0.143168316832
W1,0.0525,1.0767,0.140623762376
W1,0.055,1.0988,0.138079207921
W1,0.0575,1.1242,0.135534653465
W1,0.06,1.1496,0.13299009901
W1,0.0625,1.1825,0.130445544554
W1,0.065,1.2104,0.127089108911
W1,0.0675,1.2358,0.123376237624
W1,0.07,1.2612,0.118891089109
W1,0.0725,1.2866,0.115782178218
W1,0.075,1.322,0.111782178218
W1,0.0775,1.3474,0.107584158416
W1,0.08,1.3728,0.102495049505
W1,0.0825,1.4073,0.097405940594
W1,0.085,1.4336,0.0923168316832
W1,0.0875,1.459,0.0872277227723
W1,0.09,1.4844,0.0821386138614
W1,0.0925,1.5098,0.0770495049506
W1,0.095,1.5352,0.0703168316832
W1,0.0975,1.5606,0.0646633663366
W1,0.1,1.594,0.0578217821782
W1,0.1025,1.6207,0.0513762376238
W1,0.105,1.6368,0.0456633663371
W1,0.1075,1.6622,0.0390990099012
W1,0.11,1.6876,0.0312079207901
W1,0.1125,1.723,0.024108910891
W1,0.115,1.7442,0.017168316832
W1,0.1175,1.7638,0.00953465346638
W1,0.12,1.7892,0.00190099009864
W1,0.1225,1.8146,-0.005732673268
W1,0.125,1.84,-0.0148514851485
W1,0.1275,1.8654,-0.0209999999993
W1,0.13,1.8908,-0.028633663365
W1,0.1325,1.9131,-0.0364752475261
W1,0.135,1.9316,-0.0458811881191
W1,0.1375,1.957,-0.0535148514849
W1,0.14,1.9824,-0.0630495049492
W1,0.1425,2.0078,-0.0692673267315
W1,0.145,2.0332,-0.0783960396047
W1,0.1475,2.0586,-0.0860297029704
W1,0.15,2.074,-0.093663366336
W1,0.1525,2.0994,-0.101297029703
W1,0.155,2.1248,-0.110257425744
W1,0.1575,2.1501,-0.118544554456
W1,0.16,2.1656,-0.126178217822
W1,0.1625,2.191,-0.133811881187
W1,0.165,2.2082,-0.141445544555
W1,0.1675,2.2318,-0.147099009901
W1,0.17,2.2572,-0.154732673268
W1,0.1725,2.2826,-0.162366336633
