case,phase_t_over_T,variable,value
W1,0.00389105058366,cd,0.166336633663
W1,0.00583657587549,cd,0.166336633663
W1,0.00778210116732,cd,0.164356435644
W1,0.00972762645914,cd,0.164356435644
W1,0.011673151751,cd,0.164356435644
W1,0.0136186770428,cd,0.162376237624
W1,0.0155642023346,cd,0.162376237624
W1,0.0175097276265,cd,0.162376237624
W1,0.0194552529183,cd,0.160396039604
W1,0.0214007782101,cd,0.160396039604
W1,0.0233463035019,cd,0.160396039604
W1,0.0252918287938,cd,0.158415841584
W1,0.0272373540856,cd,0.158415841584
W1,0.0291828793774,cd,0.156435643564
W1,0.0311284046693,cd,0.156435643564
W1,0.0330739299611,cd,0.154455445545
W1,0.0350194552529,cd,0.154455445545
W1,0.0369649805447,cd,0.152475247525
W1,0.0389105058366,cd,0.152475247525
W1,0.0408560311284,cd,0.150495049505
W1,0.0428015564202,cd,0.148514851485
W1,0.0447470817121,cd,0.148514851485
W1,0.0466926070039,cd,0.146534653465
W1,0.0486381322957,cd,0.144554455446
W1,0.0505836575875,cd,0.142574257426
W1,0.0525291828794,cd,0.140594059406
W1,0.0544747081712,cd,0.138613861386
W1,0.056420233463,cd,0.136633663366
W1,0.0583657587549,cd,0.134653465347
W1,0.0603112840467,cd,0.132673267327
W1,0.0622568093385,cd,0.130693069307
W1,0.0642023346304,cd,0.128712871287
W1,0.0661478599222,cd,0.124752475248
W1,0.068093385214,cd,0.122772277228
W1,0.0700389105058,cd,0.118811881188
W1,0.0719844357977,cd,0.116831683168
W1,0.0739299610895,cd,0.112871287129
W1,0.0758754863813,cd,0.110891089109
W1,0.0778210116732,cd,0.106930693069
W1,0.079766536965,cd,0.10297029703
W1,0.0817120622568,cd,0.0990099009901
W1,0.0836575875486,cd,0.0950495049505
W1,0.0856031128405,cd,0.0910891089109
W1,0.0875486381323,cd,0.0871287128713
W1,0.0894941634241,cd,0.0831683168317
W1,0.091439688716,cd,0.0792079207921
W1,0.0933852140078,cd,0.0752475247525
W1,0.0953307392996,cd,0.0693069306931
W1,0.0972762645914,cd,0.0653465346535
W1,0.0992217898833,cd,0.0594059405941
W1,0.101167315175,cd,0.0554455445545
W1,0.103112840467,cd,0.049504950495
W1,0.105058365759,cd,0.0455445544554
W1,0.107003891051,cd,0.039603960396
W1,0.108949416342,cd,0.0376237623762
W1,0.110894941634,cd,0.0257425742574
W1,0.112840466926,cd,0.0237623762376
W1,0.114785992218,cd,0.0178217821782
W1,0.11673151751,cd,0.0118811881188
W1,0.118677042802,cd,0.00594059405941
W1,0.120622568093,cd,0
W1,0.122568093385,cd,-0.00594059405941
W1,0.124513618677,cd,-0.0138613861386
W1,0.126459143969,cd,-0.0178217821782
W1,0.128404669261,cd,-0.0237623762376
W1,0.130350194553,cd,-0.029702970297
W1,0.132295719844,cd,-0.0356435643564
W1,0.134241245136,cd,-0.0435643564356
W1,0.136186770428,cd,-0.049504950495
W1,0.13813229572,cd,-0.0554455445545
W1,0.140077821012,cd,-0.0633663366337
W1,0.142023346304,cd,-0.0673267326733
W1,0.143968871595,cd,-0.0752475247525
W1,0.145914396887,cd,-0.0811881188119
W1,0.147859922179,cd,-0.0871287128713
