figure,case_id,model,phase,CL,CD,persistence,ldvm_delta_CL,ldvm_delta_CD,ldvm_shedding
10,razak2014_fig10,old,0.0,-0.3271472224629759,-0.06853946848946019,,,,
10,razak2014_fig10,old,0.0078125,-0.32770226709310246,-0.06901505854835474,,,,
10,razak2014_fig10,old,0.015625,-0.3270602404241956,-0.06912797320690496,,,,
10,razak2014_fig10,old,0.0234375,-0.3252407467977491,-0.06887758940649844,,,,
10,razak2014_fig10,old,0.03125,-0.32227120002701226,-0.06826697409038218,,,,
10,razak2014_fig10,old,0.0390625,-0.31818669414495265,-0.06730286085449919,,,,
10,razak2014_fig10,old,0.046875,-0.31302924605671634,-0.06599558274705675,,,,
10,razak2014_fig10,old,0.0546875,-0.3068469471595973,-0.06435897692379544,,,,
10,razak2014_fig10,old,0.0625,-0.29969301141377425,-0.06241025219743841,,,,
10,razak2014_fig10,old,0.0703125,-0.2916247826946225,-0.06016981497888653,,,,
10,razak2014_fig10,old,0.078125,-0.28270266725069226,-0.05766106755136573,,,,
10,razak2014_fig10,old,0.0859375,-0.2729890420127604,-0.054910178392462546,,,,
10,razak2014_fig10,old,0.09375,-0.2625471812717661,-0.051945824612882364,,,,
10,razak2014_fig10,old,0.1015625,-0.2514401865032357,-0.04879890847921428,,,,
10,razak2014_fig10,old,0.109375,-0.2397299877737595,-0.04550225187977306,,,,
10,razak2014_fig10,old,0.1171875,-0.22747641467731664,-0.04209027226535728,,,,
10,razak2014_fig10,old,0.125,-0.21473631868033885,-0.03859864299516199,,,,
10,razak2014_fig10,old,0.1328125,-0.20156283928019958,-0.03506393065563156,,,,
10,razak2014_fig10,old,0.140625,-0.18800472587896216,-0.031523234794261445,,,,
10,razak2014_fig10,old,0.1484375,-0.17410585490685856,-0.02801382265030906,,,,
10,razak2014_fig10,old,0.15625,-0.15990486691282355,-0.024572758311889115,,,,
10,razak2014_fig10,old,0.1640625,-0.14543497880540027,-0.021236530831525366,,,,
10,razak2014_fig10,old,0.171875,-0.13072389729846226,-0.018040707680780588,,,,
10,razak2014_fig10,old,0.1796875,-0.11579390637508286,-0.015019582678820968,,,,
10,razak2014_fig10,old,0.1875,-0.1006620470080297,-0.012205831007642663,,,,
10,razak2014_fig10,old,0.1953125,-0.08534043713476935,-0.009630201227353013,,,,
10,razak2014_fig10,old,0.203125,-0.06983672551847163,-0.007321211365547609,,,,
10,razak2014_fig10,old,0.2109375,-0.05415464393417825,-0.005304872349808891,,,,
10,razak2014_fig10,old,0.21875,-0.0382946435324993,-0.0036044370471550367,,,,
10,razak2014_fig10,old,0.2265625,-0.022254631065687362,-0.0022401712964658957,,,,
10,razak2014_fig10,old,0.234375,-0.006030753437583153,-0.0012291611271860303,,,,
10,razak2014_fig10,old,0.2421875,0.010381779118304327,-0.0005851462510033506,,,,
10,razak2014_fig10,old,0.25,0.026987834803718604,-0.0003183819240712311,,,,
10,razak2014_fig10,old,0.2578125,0.04379149011621916,-0.000435533821464579,,,,
10,razak2014_fig10,old,0.265625,0.06079516371266901,-0.0009396060362821749,,,,
10,razak2014_fig10,old,0.2734375,0.07799879383427419,-0.001829907904860687,,,,
10,razak2014_fig10,old,0.28125,0.09539901390880863,-0.003102057010262657,,,,
10,razak2014_fig10,old,0.2890625,0.1129883615187466,-0.004748005872843379,,,,
10,razak2014_fig10,old,0.296875,0.13075471233215372,-0.006756095839908742,,,,
10,razak2014_fig10,old,0.3046875,0.14868064377023602,-0.0091111689959119,,,,
10,razak2014_fig10,old,0.3125,0.1667429221442536,-0.011794703874345756,,,,
10,razak2014_fig10,old,0.3203125,0.18491208197834152,-0.0147849727138582,,,,
10,razak2014_fig10,old,0.328125,0.20315213204620228,-0.01805723011898673,,,,
10,razak2014_fig10,old,0.3359375,0.22142039718600948,-0.021583929325139667,,,,
10,razak2014_fig10,old,0.34375,0.239667508035835,-0.02533496671778046,,,,
10,razak2014_fig10,old,0.3515625,0.25783753143121085,-0.029277947853208114,,,,
10,razak2014_fig10,old,0.359375,0.2758682616619357,-0.03337847979119045,,,,
10,razak2014_fig10,old,0.3671875,0.2936916519239417,-0.037600480895626974,,,,
10,razak2014_fig10,old,0.375,0.31123439280334847,-0.04190650930525417,,,,
10,razak2014_fig10,old,0.3828125,0.3284186380340586,-0.04625810810329732,,,,
10,razak2014_fig10,old,0.390625,0.34516285038748407,-0.05061616027789113,,,,
10,razak2014_fig10,old,0.3984375,0.36138276987601203,-0.05494125422811214,,,,
10,razak2014_fig10,old,0.40625,0.37699248266473123,-0.059194054957777305,,,,
10,razak2014_fig10,old,0.4140625,0.3919055680044806,-0.06333567734523812,,,,
10,razak2014_fig10,old,0.421875,0.40603630366663473,-0.06732805730164725,,,,
10,razak2014_fig10,old,0.4296875,0.419300903399535,-0.07113431786947208,,,,
10,razak2014_fig10,old,0.4375,0.43161876892842715,-0.07471912699662338,,,,
10,razak2014_fig10,old,0.4453125,0.4429137129722097,-0.07804904140453597,,,,
10,razak2014_fig10,old,0.453125,0.45311514690704346,-0.08109283722582084,,,,
10,razak2014_fig10,old,0.4609375,0.46215918958943436,-0.08382181960717207,,,,
10,razak2014_fig10,old,0.46875,0.46998967549809123,-0.08621010875455917,,,,
10,razak2014_fig10,old,0.4765625,0.4765590327070985,-0.08823489788113134,,,,
