figure,case_id,model,quantity,observation_count,mae,rmse,bias,max_abs,range_nrmse
9,razak2014_fig9,fluxv_old,CL,61,0.141785276166231,0.16544054735935632,-0.11334930710267459,0.3051641011782695,0.4971480161043743
9,razak2014_fig9,fluxv_old,CD,61,0.012243459228536336,0.015138159707102796,-0.00690761591390464,0.029404607604677235,0.1485236782414982
9,razak2014_fig9,fluxv_v4b,CL,61,0.14178527616623096,0.16544054735935632,-0.11334930710267459,0.3051641011782695,0.4971480161043743
9,razak2014_fig9,fluxv_v4b,CD,61,0.012243459228536336,0.015138159707102796,-0.006907615913904639,0.029404607604677235,0.1485236782414982
10,razak2014_fig10,fluxv_old,CL,60,0.19281876665002892,0.22664051329691914,0.016173286925919992,0.45650034401393036,0.3380365875983034
10,razak2014_fig10,fluxv_old,CD,60,0.03403075628797925,0.04223162544422858,-0.03046711013683145,0.08158288200205661,0.4353605429998094
10,razak2014_fig10,fluxv_v4b,CL,60,0.19360472032716616,0.23246597897184296,0.00049796623612945,0.49810546297468705,0.34672532779429144
10,razak2014_fig10,fluxv_v4b,CD,60,0.03228376042003703,0.03893188163150147,-0.02782881468778265,0.0702307655586798,0.40134389687364286
11,razak2014_fig11,fluxv_old,CL,62,0.0716119904329196,0.0856569334613122,-0.02597270867318964,0.1781111484103475,0.323142757547923
11,razak2014_fig11,fluxv_old,CD,62,0.00880161537047064,0.010058845504049469,-0.008478684754857652,0.013794136899099991,0.2656423913433008
11,razak2014_fig11,fluxv_v4b,CL,62,0.0716119904329196,0.0856569334613122,-0.02597270867318964,0.1781111484103475,0.323142757547923
11,razak2014_fig11,fluxv_v4b,CD,62,0.00880161537047064,0.010058845504049469,-0.008478684754857652,0.013794136899099991,0.2656423913433008
13,razak2014_fig13,fluxv_old,CL,63,0.18579157663511806,0.21880471493595638,0.012153975503741884,0.4473032030339027,0.1897985693971374
13,razak2014_fig13,fluxv_old,CD,63,0.02994672456236014,0.037723224660246954,-0.0020860509894913394,0.07028275340562945,0.5286400574850484
13,razak2014_fig13,fluxv_v4b,CL,63,0.195072209909354,0.2486565419892424,0.03892570559352912,0.6876023670285668,0.21569304827188573
13,razak2014_fig13,fluxv_v4b,CD,63,0.03362018747340422,0.03845456999856688,0.01262397010217135,0.05852657874669733,0.5388888748958858
14,razak2014_fig14,fluxv_old,CL,62,0.32185726788015095,0.36971302643404874,-0.09018653337708525,0.6366780884345802,0.24246072040125502
14,razak2014_fig14,fluxv_old,CD,62,0.10619230953209957,0.13515630681561455,-0.03502175206646494,0.28731735767877176,0.43588339451639024
14,razak2014_fig14,fluxv_v4b,CL,62,0.3064229449778393,0.37551327812290025,-0.07221636585953396,0.8980273892864918,0.24626457123267387
14,razak2014_fig14,fluxv_v4b,CD,62,0.06553421603807531,0.07475845510181064,0.050225349706514016,0.12716477419957128,0.24109839893030974
15,razak2014_fig15,fluxv_old,CL,62,0.3223747566870403,0.4150701400896877,0.27782189188987666,0.8119921159968726,0.2690823085665067
15,razak2014_fig15,fluxv_old,CD,62,0.07382731861857471,0.08813458081896176,0.004128915927920123,0.1697967611141325,0.4978537391744674
15,razak2014_fig15,fluxv_v4b,CL,62,0.24739925445990255,0.2880027584823612,0.21668185519997143,0.5163595791206106,0.1867068710584927
15,razak2014_fig15,fluxv_v4b,CD,62,0.12377399831907658,0.14359697688586182,0.12377399831907658,0.2685142363503894,0.811149167698714
