figure,case_id,quantity,sample_index,phase,coefficient,std,lower,upper,x_pdf,y_centre_pdf
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,0,2.4340033400984433e-10,0.5518559517188066,0.14727631655102652,0.4045796351677801,0.6991322682698331,111.80519104003906,384.92201232910156
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,1,0.016492642818245664,0.5599567892582333,0.11640350174010275,0.4435532875181306,0.6763602909983361,114.5182113647461,384.04437255859375
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,2,0.03298343020791718,0.5638944636141159,0.11025488196471082,0.45363958164940504,0.6741493455788267,117.23092651367188,383.6177673339844
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,3,0.04947704675497876,0.563301375885644,0.13248278469451039,0.43081859119113364,0.6957841605801544,119.94410705566406,383.68202209472656
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,4,0.06597010674648819,0.5580466833989273,0.16483726250793376,0.39320942089099353,0.722883945906861,122.65719604492188,384.2513122558594
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,5,0.08246325949725632,0.5482227788278864,0.19180057146112137,0.356422207366765,0.7400233502890078,125.37030029296875,385.3156280517578
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,6,0.0989540005072985,0.5341113471539849,0.2052193397656034,0.32889200738838154,0.7393306869195883,128.0830078125,386.8444519042969
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,7,0.11544715325806662,0.5161691405746665,0.2013132141276448,0.31485592644702165,0.7174823547023113,130.79611206054688,388.7882995605469
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,8,0.13194030600883475,0.4950012184301151,0.17972896158049,0.31527225684962507,0.6747301800106051,133.50921630859375,391.0816192626953
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,9,0.14843336600034418,0.4713388349322111,0.14455974658978957,0.32677908834242153,0.6158985815220007,136.22230529785156,393.6451873779297
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,10,0.16492419976964504,0.4460146508861614,0.11010446218460915,0.3359101887015522,0.5561191130707706,138.93502807617188,396.3887939453125
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,11,0.18141725976115447,0.41995231134618577,0.11133063690892109,0.3086216744372647,0.5312829482551069,141.6481170654297,399.2123718261719
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,12,0.1979104125119226,0.3941277139305656,0.16309335078769135,0.23103436314287426,0.5572210647182569,144.36122131347656,402.01019287109375
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,13,0.21440347250343203,0.3695574597374038,0.2371784727075423,0.13237898702986148,0.6067359324449461,147.07431030273438,404.672119140625
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,14,0.23089421351347422,0.3472525161651738,0.31392777118207793,0.033324744983095844,0.6611802873472516,149.78701782226562,407.088623046875
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,15,0.24738736626424235,0.32819807643654547,0.3829798866956243,-0.054781810259078856,0.7111779631321697,152.5001220703125,409.15296936035156
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,16,0.2638805190150105,0.3132939832248048,0.4374210022206432,-0.12412701899583839,0.750714985445448,155.21322631835938,410.7676696777344
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,17,0.2803735790065199,0.30332613762823585,0.47236839028844085,-0.169042252660205,0.7756945279166767,157.9263153076172,411.8475799560547
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,18,0.29686441277582076,0.29891523250349417,0.48479802178051273,-0.18588278927701857,0.7837132542840068,160.6390380859375,412.32545471191406
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,19,0.3133575655265889,0.3004701336011743,0.4735765371739391,-0.1731064035727648,0.7740466707751135,163.35214233398438,412.15699768066406
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,20,0.32985062551809835,0.3081632321299323,0.4394974430615036,-0.13133421093157133,0.7476606751914359,166.0652313232422,411.3235321044922
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,21,0.34634368550960776,0.3218846709469972,0.3852243526279279,-0.06333968168093074,0.7071090235749251,168.7783203125,409.8369598388672
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,22,0.36283451927890864,0.34125417532739283,0.3152309867488202,0.02602318857857261,0.6564851620762131,171.4910430908203,407.7384796142578
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,23,0.37932757927041805,0.3656092221947163,0.23599412820297774,0.12961509399173857,0.6016033503976941,174.20413208007812,405.09986877441406
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,24,0.3958207320211862,0.3940209553225908,0.15770725225712193,0.23631370306546887,0.5517282075797127,176.917236328125,402.0217590332031
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,25,0.4123138847719543,0.42536277562765173,0.10333120596282122,0.3220315696648305,0.528693981590473,179.63034057617188,398.62620544433594
9,fig09_pitch_leading_u6_f0p79_theta_m4_p8,CL,26,0.42880462578199646,0.4583347069204438,0.11249568599225539,0.3458390209281884,0.5708303929126992,182.34304809570312,395.0540466308594
