paper,case_id,view,x_name,x_value,replicate,observable,units,model_id,model_label,data_role,value,uncertainty_minus,uncertainty_plus,uncertainty_kind,canonical_eligible,source_path
yang2025,aoa_0,cycle_mean,installation_aoa_deg,0.0,,lift,gf,experiment,Wind-tunnel experiment,experiment,2.0,0.4,0.4,digitization_only_not_experimental_ci,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_0,cycle_mean,installation_aoa_deg,0.0,,drag,gf,experiment,Wind-tunnel experiment,experiment,-0.5,0.4,0.4,digitization_only_not_experimental_ci,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_0,cycle_mean,installation_aoa_deg,0.0,,lift,gf,authors_proposed_modified_uvlm,Authors' modified UVLM,author_model,0.0,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_0,cycle_mean,installation_aoa_deg,0.0,,drag,gf,authors_proposed_modified_uvlm,Authors' modified UVLM,author_model,-0.0,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_5,cycle_mean,installation_aoa_deg,5.0,,lift,gf,experiment,Wind-tunnel experiment,experiment,17.4,0.4,0.4,digitization_only_not_experimental_ci,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_5,cycle_mean,installation_aoa_deg,5.0,,drag,gf,experiment,Wind-tunnel experiment,experiment,0.1,0.4,0.4,digitization_only_not_experimental_ci,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_5,cycle_mean,installation_aoa_deg,5.0,,lift,gf,authors_proposed_modified_uvlm,Authors' modified UVLM,author_model,15.8,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_5,cycle_mean,installation_aoa_deg,5.0,,drag,gf,authors_proposed_modified_uvlm,Authors' modified UVLM,author_model,1.4,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_10,cycle_mean,installation_aoa_deg,10.0,,lift,gf,experiment,Wind-tunnel experiment,experiment,31.5,0.4,0.4,digitization_only_not_experimental_ci,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_10,cycle_mean,installation_aoa_deg,10.0,,drag,gf,experiment,Wind-tunnel experiment,experiment,5.1,0.4,0.4,digitization_only_not_experimental_ci,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_10,cycle_mean,installation_aoa_deg,10.0,,lift,gf,authors_proposed_modified_uvlm,Authors' modified UVLM,author_model,29.8,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_10,cycle_mean,installation_aoa_deg,10.0,,drag,gf,authors_proposed_modified_uvlm,Authors' modified UVLM,author_model,5.2,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_15,cycle_mean,installation_aoa_deg,15.0,,lift,gf,experiment,Wind-tunnel experiment,experiment,38.7,0.4,0.4,digitization_only_not_experimental_ci,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_15,cycle_mean,installation_aoa_deg,15.0,,drag,gf,experiment,Wind-tunnel experiment,experiment,14.1,0.4,0.4,digitization_only_not_experimental_ci,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_15,cycle_mean,installation_aoa_deg,15.0,,lift,gf,authors_proposed_modified_uvlm,Authors' modified UVLM,author_model,40.2,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_15,cycle_mean,installation_aoa_deg,15.0,,drag,gf,authors_proposed_modified_uvlm,Authors' modified UVLM,author_model,10.8,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_20,cycle_mean,installation_aoa_deg,20.0,,lift,gf,experiment,Wind-tunnel experiment,experiment,42.9,0.4,0.4,digitization_only_not_experimental_ci,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_20,cycle_mean,installation_aoa_deg,20.0,,drag,gf,experiment,Wind-tunnel experiment,experiment,21.0,0.4,0.4,digitization_only_not_experimental_ci,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_20,cycle_mean,installation_aoa_deg,20.0,,lift,gf,authors_proposed_modified_uvlm,Authors' modified UVLM,author_model,48.2,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_20,cycle_mean,installation_aoa_deg,20.0,,drag,gf,authors_proposed_modified_uvlm,Authors' modified UVLM,author_model,17.5,,,,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
yang2025,aoa_25,cycle_mean,installation_aoa_deg,25.0,,lift,gf,experiment,Wind-tunnel experiment,experiment,45.3,0.4,0.4,digitization_only_not_experimental_ci,true,docs/forward_flight_large_pitch/reproductions/unified_fluxv_upgrade_20260812/runs/20260812_periodic_v2_ullt_full/yang2025_mean_characteristics.csv
