paper,scope,case_id,view,model_id,observable,n,aggregation,mae,rmse,bias,max_abs_error,reference_model,rmse_improvement_pct
yang2025,all_6_aoa,all,cycle_mean,authors_proposed_modified_uvlm,lift,6,condition_equal,3.35,4.159126510859382,1.5833333333333346,8.0,fluxv_old,55.63815014655424
yang2025,condition,aoa_0,cycle_mean,authors_proposed_modified_uvlm,lift,1,single_condition,2.0,2.0,-2.0,2.0,,
yang2025,condition,aoa_5,cycle_mean,authors_proposed_modified_uvlm,lift,1,single_condition,1.5999999999999979,1.5999999999999979,-1.5999999999999979,1.5999999999999979,,
yang2025,condition,aoa_10,cycle_mean,authors_proposed_modified_uvlm,lift,1,single_condition,1.6999999999999993,1.6999999999999993,-1.6999999999999993,1.6999999999999993,,
yang2025,condition,aoa_15,cycle_mean,authors_proposed_modified_uvlm,lift,1,single_condition,1.5,1.5,1.5,1.5,,
yang2025,condition,aoa_20,cycle_mean,authors_proposed_modified_uvlm,lift,1,single_condition,5.300000000000004,5.300000000000004,5.300000000000004,5.300000000000004,,
yang2025,condition,aoa_25,cycle_mean,authors_proposed_modified_uvlm,lift,1,single_condition,8.0,8.0,8.0,8.0,,
yang2025,all_6_aoa,all,cycle_mean,fluxv_old,lift,6,condition_equal,6.854868776285728,9.375457796731906,3.557278663952991,19.72349094537094,fluxv_old,0.0
yang2025,condition,aoa_0,cycle_mean,fluxv_old,lift,1,single_condition,1.8203331027193301,1.8203331027193301,-1.8203331027193301,1.8203331027193301,,
yang2025,condition,aoa_5,cycle_mean,fluxv_old,lift,1,single_condition,3.6829121837100622,3.6829121837100622,-3.6829121837100622,3.6829121837100622,,
yang2025,condition,aoa_10,cycle_mean,fluxv_old,lift,1,single_condition,4.389525050568821,4.389525050568821,-4.389525050568821,4.389525050568821,,
yang2025,condition,aoa_15,cycle_mean,fluxv_old,lift,1,single_condition,1.5162074942207795,1.5162074942207795,1.5162074942207795,1.5162074942207795,,
yang2025,condition,aoa_20,cycle_mean,fluxv_old,lift,1,single_condition,9.996743881124438,9.996743881124438,9.996743881124438,9.996743881124438,,
yang2025,condition,aoa_25,cycle_mean,fluxv_old,lift,1,single_condition,19.72349094537094,19.72349094537094,19.72349094537094,19.72349094537094,,
yang2025,all_6_aoa,all,cycle_mean,fluxv_v1_v2,lift,6,condition_equal,3.9513854379994573,4.525894893608146,-2.0890204796443226,7.3429238492025135,fluxv_old,51.726145093567794
yang2025,condition,aoa_0,cycle_mean,fluxv_v1_v2,lift,1,single_condition,1.8164211327298034,1.8164211327298034,-1.8164211327298034,1.8164211327298034,,
yang2025,condition,aoa_5,cycle_mean,fluxv_v1_v2,lift,1,single_condition,4.896438128792795,4.896438128792795,-4.896438128792795,4.896438128792795,,
yang2025,condition,aoa_10,cycle_mean,fluxv_v1_v2,lift,1,single_condition,7.3429238492025135,7.3429238492025135,-7.3429238492025135,7.3429238492025135,,
yang2025,condition,aoa_15,cycle_mean,fluxv_v1_v2,lift,1,single_condition,4.0654346422062275,4.0654346422062275,-4.0654346422062275,4.0654346422062275,,
yang2025,condition,aoa_20,cycle_mean,fluxv_v1_v2,lift,1,single_condition,0.605654456754408,0.605654456754408,0.605654456754408,0.605654456754408,,
yang2025,condition,aoa_25,cycle_mean,fluxv_v1_v2,lift,1,single_condition,4.981440418310996,4.981440418310996,4.981440418310996,4.981440418310996,,
yang2025,all_6_aoa,all,cycle_mean,fluxv_v3,lift,6,condition_equal,3.579140887281918,3.994509560495535,-1.5500386666077184,6.254446888733906,fluxv_old,57.39397854376839
yang2025,condition,aoa_0,cycle_mean,fluxv_v3,lift,1,single_condition,1.9290434115607544,1.9290434115607544,-1.9290434115607544,1.9290434115607544,,
yang2025,condition,aoa_5,cycle_mean,fluxv_v3,lift,1,single_condition,3.9803821252944633,3.9803821252944633,-3.9803821252944633,3.9803821252944633,,
yang2025,condition,aoa_10,cycle_mean,fluxv_v3,lift,1,single_condition,6.254446888733906,6.254446888733906,-6.254446888733906,6.254446888733906,,
yang2025,condition,aoa_15,cycle_mean,fluxv_v3,lift,1,single_condition,3.2236662360797865,3.2236662360797865,-3.2236662360797865,3.2236662360797865,,
yang2025,condition,aoa_20,cycle_mean,fluxv_v3,lift,1,single_condition,1.0269470631198416,1.0269470631198416,1.0269470631198416,1.0269470631198416,,
yang2025,condition,aoa_25,cycle_mean,fluxv_v3,lift,1,single_condition,5.060359598902757,5.060359598902757,5.060359598902757,5.060359598902757,,
yang2025,all_6_aoa,all,cycle_mean,fluxv_v4b,lift,6,condition_equal,4.554509816656029,5.239584000138488,-2.7451642174907653,8.368361402092152,fluxv_old,44.113833012347406
yang2025,condition,aoa_0,cycle_mean,fluxv_v4b,lift,1,single_condition,2.407471904552204,2.407471904552204,-2.407471904552204,2.407471904552204,,
yang2025,condition,aoa_5,cycle_mean,fluxv_v4b,lift,1,single_condition,6.606302977692888,6.606302977692888,-6.606302977692888,6.606302977692888,,
yang2025,condition,aoa_10,cycle_mean,fluxv_v4b,lift,1,single_condition,8.368361402092152,8.368361402092152,-8.368361402092152,8.368361402092152,,
yang2025,condition,aoa_15,cycle_mean,fluxv_v4b,lift,1,single_condition,4.516885818103141,4.516885818103141,-4.516885818103141,4.516885818103141,,
yang2025,condition,aoa_20,cycle_mean,fluxv_v4b,lift,1,single_condition,0.4649340099943231,0.4649340099943231,0.4649340099943231,0.4649340099943231,,
yang2025,condition,aoa_25,cycle_mean,fluxv_v4b,lift,1,single_condition,4.9631027875014695,4.9631027875014695,4.9631027875014695,4.9631027875014695,,
yang2025,all_6_aoa,all,cycle_mean,fluxv_v5a,lift,6,condition_equal,3.951385437999497,4.525894893608121,-2.0890204796443577,7.34292384920251,fluxv_old,51.726145093568064
yang2025,condition,aoa_0,cycle_mean,fluxv_v5a,lift,1,single_condition,1.816421132730397,1.816421132730397,-1.816421132730397,1.816421132730397,,
yang2025,condition,aoa_5,cycle_mean,fluxv_v5a,lift,1,single_condition,4.896438128792427,4.896438128792427,-4.896438128792427,4.896438128792427,,
yang2025,condition,aoa_10,cycle_mean,fluxv_v5a,lift,1,single_condition,7.34292384920251,7.34292384920251,-7.34292384920251,7.34292384920251,,
yang2025,condition,aoa_15,cycle_mean,fluxv_v5a,lift,1,single_condition,4.0654346422062275,4.0654346422062275,-4.0654346422062275,4.0654346422062275,,
yang2025,condition,aoa_20,cycle_mean,fluxv_v5a,lift,1,single_condition,0.605654456754408,0.605654456754408,0.605654456754408,0.605654456754408,,
yang2025,condition,aoa_25,cycle_mean,fluxv_v5a,lift,1,single_condition,4.98144041831101,4.98144041831101,4.98144041831101,4.98144041831101,,
yang2025,all_6_aoa,all,cycle_mean,one_state_ullt_local,lift,6,condition_equal,8.339047579514576,11.735659540484795,5.4583992734463385,24.782614039289427,fluxv_old,-25.1742559662058
yang2025,condition,aoa_0,cycle_mean,one_state_ullt_local,lift,1,single_condition,1.9290625841258036,1.9290625841258036,-1.9290625841258036,1.9290625841258036,,
yang2025,condition,aoa_5,cycle_mean,one_state_ullt_local,lift,1,single_condition,3.3131253630132527,3.3131253630132527,-3.3131253630132527,3.3131253630132527,,
yang2025,condition,aoa_10,cycle_mean,one_state_ullt_local,lift,1,single_condition,3.3997569710656563,3.3997569710656563,-3.3997569710656563,3.3997569710656563,,
yang2025,condition,aoa_15,cycle_mean,one_state_ullt_local,lift,1,single_condition,3.406989569817547,3.406989569817547,3.406989569817547,3.406989569817547,,
yang2025,condition,aoa_20,cycle_mean,one_state_ullt_local,lift,1,single_condition,13.202736949775769,13.202736949775769,13.202736949775769,13.202736949775769,,
yang2025,condition,aoa_25,cycle_mean,one_state_ullt_local,lift,1,single_condition,24.782614039289427,24.782614039289427,24.782614039289427,24.782614039289427,,
yang2025,all_6_aoa,all,cycle_mean,ptera_free_wake_uvlm,lift,6,condition_equal,6.277646526108161,8.490165251267518,2.707064856460086,17.737092491386115,fluxv_old,9.442659384302099
yang2025,condition,aoa_0,cycle_mean,ptera_free_wake_uvlm,lift,1,single_condition,1.825546765391784,1.825546765391784,-1.825546765391784,1.825546765391784,,
yang2025,condition,aoa_5,cycle_mean,ptera_free_wake_uvlm,lift,1,single_condition,3.944185300217349,3.944185300217349,-3.944185300217349,3.944185300217349,,
yang2025,condition,aoa_10,cycle_mean,ptera_free_wake_uvlm,lift,1,single_condition,4.942012943335094,4.942012943335094,-4.942012943335094,4.942012943335094,,
yang2025,condition,aoa_15,cycle_mean,ptera_free_wake_uvlm,lift,1,single_condition,0.6020668560871343,0.6020668560871343,0.6020668560871343,0.6020668560871343,,
