benchmark,case_id,model,quantity,view,observation_count,mae,rmse,bias,max_abs_error
yang2025,six_aoa,fluxv_v5a,lift_gf,cycle_mean,6,3.951385437999497,4.525894893608121,-2.0890204796443577,7.34292384920251
yang2025,six_aoa,fluxv_v5a,drag_gf,cycle_mean,6,2.062566960238017,2.37371576544448,-1.7904729522007257,4.281038593644514
yang2025,six_aoa,fluxv_v4b,lift_gf,cycle_mean,6,4.554509816656029,5.239584000138488,-2.7451642174907653,8.368361402092152
yang2025,six_aoa,fluxv_v4b,drag_gf,cycle_mean,6,2.643997473596851,2.94815530552663,-2.3921235804549537,5.025842113635248
izraelevitz2017_fig14,all14,fluxv_v5a,CT,cycle_mean,14,0.07212197896731516,0.09469550728255667,-0.060746906342075836,0.1785260354963481
izraelevitz2017_fig14,all14,fluxv_v4b,CT,cycle_mean,14,0.019783350410798355,0.02594916701432961,-0.0016271387469068035,0.05372213118673688
izraelevitz2017_fig14,theta_15,fluxv_v5a,CT,cycle_mean,9,0.09129358650288356,0.11297498968817539,-0.09127852438540034,0.1785260354963481
izraelevitz2017_fig14,theta_15,fluxv_v4b,CT,cycle_mean,9,0.017010077307042626,0.0226760241496532,-0.006424800520828384,0.04910488872817678
izraelevitz2017_fig14,theta_25,fluxv_v5a,CT,cycle_mean,5,0.037613085403292015,0.04619786301901945,-0.005789993864091713,0.08112678209948196
izraelevitz2017_fig14,theta_25,fluxv_v4b,CT,cycle_mean,5,0.024775241997558668,0.030981320569675883,0.007008652446152041,0.05372213118673688
izraelevitz2017_fig14,unique12,fluxv_v5a,CT,condition_mean,12,0.06697913160262577,0.08930454168688041,-0.053708213539846554,0.1676467444963481
baik2012,W1,fluxv_v5a,CL,raw,400,0.4101883863380516,0.5868874252784615,-0.31718427795586335,1.8874405531349217
baik2012,W1,fluxv_v4b,CL,raw,400,0.3979855922607571,0.5182419224630304,-0.2670037717877768,1.088608410390078
baik2012,W1,fluxv_v5a,CD,raw,400,0.1812083832074714,0.20884946043954722,-0.15180574955594267,0.40421931898830554
baik2012,W1,fluxv_v4b,CD,raw,400,0.14083207423328614,0.1610374287885482,-0.14083207423328614,0.30363498506800213
baik2012,W1,fluxv_v5a,CL,filtered_1hz,400,0.40116907465854895,0.5429040970670653,-0.3172618139460371,1.1601187592338806
baik2012,W1,fluxv_v4b,CL,filtered_1hz,400,0.39877515485467724,0.5156649730771129,-0.26702298626385274,1.0045387957388043
baik2012,W1,fluxv_v5a,CD,filtered_1hz,400,0.18153650122479387,0.20763908083438026,-0.15180254514694316,0.39279847693337344
baik2012,W1,fluxv_v4b,CD,filtered_1hz,400,0.14083148669886167,0.16090663539311115,-0.14083148669886167,0.3061832787017753
baik2012,W2,fluxv_v5a,CL,raw,400,1.09306601285608,1.3270125721550883,-0.9897020883458274,2.8852780504653452
baik2012,W2,fluxv_v4b,CL,raw,400,0.9001001049180286,1.03589735436152,-0.8749154621657117,1.8837770200494903
baik2012,W2,fluxv_v5a,CD,raw,400,0.6665367692142746,0.8054441103012817,-0.48467881736809404,1.7070640976647047
baik2012,W2,fluxv_v4b,CD,raw,400,0.6030134206974381,0.7230497193031789,-0.40843173433082564,1.4696587344656855
baik2012,W2,fluxv_v5a,CL,filtered_1hz,400,1.0177780615180345,1.2775155643708722,-0.9897629463358415,2.3674100337137465
baik2012,W2,fluxv_v4b,CL,filtered_1hz,400,0.8966912863805693,1.0323056437701223,-0.874928908668316,1.8988729721723223
baik2012,W2,fluxv_v5a,CD,filtered_1hz,400,0.6613285162358273,0.789443873792586,-0.48473091060953116,1.6996160050113942
baik2012,W2,fluxv_v4b,CD,filtered_1hz,400,0.6044957840698144,0.725677862528139,-0.408443298937531,1.4825057841333869
baik2012,W3,fluxv_v5a,CL,raw,400,0.47884441250756865,0.550585839455606,-0.4018732846377868,1.1968245973265588
baik2012,W3,fluxv_v4b,CL,raw,400,0.34863715766574344,0.37708029197335435,-0.34863715766574344,0.6757690080069242
baik2012,W3,fluxv_v5a,CD,raw,400,0.2707197129778225,0.30854119616677544,-0.2636528498562889,0.6093676822544329
baik2012,W3,fluxv_v4b,CD,raw,400,0.24064510618231297,0.26310623403983824,-0.24064510618231297,0.4263447450805407
baik2012,W3,fluxv_v5a,CL,filtered_1hz,400,0.4549147259927478,0.5132371842354082,-0.40183699717069915,0.8394678711370902
baik2012,W3,fluxv_v4b,CL,filtered_1hz,400,0.3486287525010631,0.3743187762452229,-0.3486287525010631,0.596652064603066
baik2012,W3,fluxv_v5a,CD,filtered_1hz,400,0.272260356326915,0.3049613049324458,-0.2636555982366544,0.4714353744726235
baik2012,W3,fluxv_v4b,CD,filtered_1hz,400,0.240645869061019,0.2625914511712678,-0.240645869061019,0.39858738740329275
baik2012,W4,fluxv_v5a,CL,raw,400,0.6534251987005572,0.9352618540330585,-0.4027235896579039,3.2261446382982144
baik2012,W4,fluxv_v4b,CL,raw,400,0.5522187646976295,0.7120346033291168,-0.3276462749711031,1.5998786353400796
baik2012,W4,fluxv_v5a,CD,raw,400,0.30077123876681744,0.3472950897956655,-0.1409734990167909,1.35094962920123
baik2012,W4,fluxv_v4b,CD,raw,400,0.20705079062966955,0.23375521937329088,-0.14088776250400747,0.4207195421610774
baik2012,W4,fluxv_v5a,CL,filtered_1hz,400,0.6203957942918342,0.8729391189334639,-0.4028244345585451,2.1882717817005264
baik2012,W4,fluxv_v4b,CL,filtered_1hz,400,0.5513585353101536,0.7078780735787529,-0.32766761845953213,1.4751097735853307
baik2012,W4,fluxv_v5a,CD,filtered_1hz,400,0.2862376564640444,0.3155919948116236,-0.14094213784878876,0.5151496156809465
baik2012,W4,fluxv_v4b,CD,filtered_1hz,400,0.20505497143270648,0.2314337267583123,-0.1408810786126834,0.4124942915390929
