gate_id,measured,relation,threshold,numeric_pass,canonical_eligible,promotion_pass,note
yang_lift_mae_gf,3.951385437999497,<=,4.327,True,False,False,
yang_drag_mae_gf,2.062566960238017,<=,2.512,True,False,False,
yang_max_point_regression_gf,0.14072044676008488,<=,0.4,True,False,False,
yang_three_target_improvements,3.0,>=,3.0,True,False,False,
fig14_all14_rmse,0.09469550728255667,<=,0.023,False,False,False,
fig14_theta15_rmse,0.11297498968817539,<=,0.02268,False,False,False,
fig14_theta25_rmse,0.04619786301901945,<=,0.02284,False,False,False,
fig14_unique12_rmse,0.08930454168688041,<,0.02751,False,False,False,
fig14_max_abs_error,0.1785260354963481,<=,0.05,False,False,False,
fig14_max_point_regression,0.15930831510988808,<=,0.0112,False,False,False,
baik_filtered_macro_CL_rmse,0.8016489911517024,<=,0.6246647733344126,False,False,False,
baik_filtered_macro_CD_rmse,0.40440906359275886,<=,0.32789479801457216,False,False,False,
baik_eight_channels_nonregressive,0.0,>=,8.0,False,False,False,
baik_three_target_quadrants_improve,0.0,>=,3.0,False,False,False,
baik_max_quadrant_regression,0.823468005746453,<=,0.05,False,False,False,
periodic_state_convergence,0.0,<=,0.0001,True,False,False,
ledger_closure,0.0,<=,1e-12,True,False,False,
canonical_incidence_and_spatial_path,kinematic-proxy,==,uvlm-induced + strip-local CN/CS,False,False,False,cache adapter is kinematic_proxy + projected_integrated_proxy
