model,theta_max_deg,phase_offset_deg,phase,CT,persistence,ldvm_delta_CT,owned_old_CT,owned_polar_CT,target_old_CT,target_polar_CT,profile_reference_delta_CT,polar_reference_delta_CT
v4b_legacy_025c,15.0,15.0,0.0,-0.3572760151163205,0.01307547548300584,0.027832812087912807,-0.3853753316554913,-0.33716051115768636,-0.3843269485092168,-0.3160705295809316,0.001048383146274534,0.0200415984304802
v5c0_corrected_v4b_075c,15.0,15.0,0.0,-0.355965578541128,0.01307547548300584,0.027832812087912807,-0.3853753316554913,-0.33716051115768636,-0.3843269485092168,-0.3160705295809316,0.001048383146274534,0.0200415984304802
v4b_legacy_025c,15.0,15.0,0.0078125,-0.33357702683483886,0.013703889245494705,0.03905869980441756,-0.37172400717293747,-0.399195286558092,-0.3704223873638247,-0.3144690192722227,0.0013016198091127529,0.08342464747675654
v5c0_corrected_v4b_075c,15.0,15.0,0.0078125,-0.3311321648963602,0.013703889245494705,0.03905869980441756,-0.37172400717293747,-0.399195286558092,-0.3704223873638247,-0.3144690192722227,0.0013016198091127529,0.08342464747675654
v4b_legacy_025c,15.0,15.0,0.015625,-0.33034373030390884,0.014298141219725717,0.023746404519884756,-0.352403079554258,-0.44664790505580887,-0.3508361660152986,-0.34568954686584596,0.0015669135389593802,0.09939144465100352
v5c0_corrected_v4b_075c,15.0,15.0,0.015625,-0.3273557038532969,0.014298141219725717,0.023746404519884756,-0.352403079554258,-0.44664790505580887,-0.3508361660152986,-0.34568954686584596,0.0015669135389593802,0.09939144465100352
v4b_legacy_025c,15.0,15.0,0.0234375,-0.2886680075751031,0.01485658912666958,0.041485054969627184,-0.3275711024519946,-0.4598783002478847,-0.32572980349164166,-0.3874607680682001,0.001841298960352955,0.0705762332193316
v5c0_corrected_v4b_075c,15.0,15.0,0.0234375,-0.28577818651570247,0.01485658912666958,0.041485054969627184,-0.3275711024519946,-0.4598783002478847,-0.32572980349164166,-0.3874607680682001,0.001841298960352955,0.0705762332193316
v4b_legacy_025c,15.0,15.0,0.03125,-0.24702755140302946,0.015377687179759217,0.053924333402391195,-0.297432764507124,-0.4723543074162653,-0.2953111413960516,-0.39873788730829995,0.002121623111072446,0.07149479699689287
v5c0_corrected_v4b_075c,15.0,15.0,0.03125,-0.24380650366875842,0.015377687179759217,0.053924333402391195,-0.297432764507124,-0.4723543074162653,-0.2953111413960516,-0.39873788730829995,0.002121623111072446,0.07149479699689287
v4b_legacy_025c,15.0,15.0,0.0390625,-0.21708937621803734,0.015859994829032782,0.049449972653943436,-0.2622339645415738,-0.48424589189567135,-0.2598293588454815,-0.39409405355495575,0.0024046056960923545,0.08774723264462325
v5c0_corrected_v4b_075c,15.0,15.0,0.0390625,-0.2132930998659393,0.015859994829032782,0.049449972653943436,-0.2622339645415738,-0.48424589189567135,-0.2598293588454815,-0.39409405355495575,0.0024046056960923545,0.08774723264462325
v4b_legacy_025c,15.0,15.0,0.046875,-0.15834570506072382,0.016302184698651537,0.0695047315426488,-0.22226043864789635,-0.49565440803449606,-0.2195735367353722,-0.38714287684865056,0.002686901912524159,0.10582462927332134
v5c0_corrected_v4b_075c,15.0,15.0,0.046875,-0.15393363049611966,0.016302184698651537,0.0695047315426488,-0.22226043864789635,-0.49565440803449606,-0.2195735367353722,-0.38714287684865056,0.002686901912524159,0.10582462927332134
v4b_legacy_025c,15.0,15.0,0.0546875,-0.09983282400174912,0.01670304958683315,0.08491378497619798,-0.17783691045125105,-0.5066019863785665,-0.17487174534358746,-0.3780060205903134,0.002965165107663592,0.12563080068058946
v5c0_corrected_v4b_075c,15.0,15.0,0.0546875,-0.09476924140068409,0.01670304958683315,0.08491378497619798,-0.17783691045125105,-0.5066019863785665,-0.17487174534358746,-0.3780060205903134,0.002965165107663592,0.12563080068058946
v4b_legacy_025c,15.0,15.0,0.0625,-0.069211750950638,0.01706150842864307,0.06788745815544686,-0.1293261938460602,-0.5170265456743557,-0.12609008692262305,-0.3667787657775426,0.0032361069234371487,0.14701167297337595
v5c0_corrected_v4b_075c,15.0,15.0,0.0625,-0.06346740312965668,0.01706150842864307,0.06788745815544686,-0.1293261938460602,-0.5170265456743557,-0.12609008692262305,-0.3667787657775426,0.0032361069234371487,0.14701167297337595
v4b_legacy_025c,15.0,15.0,0.0703125,-0.05222202166956807,0.017376611155390877,0.03329827429960321,-0.07712821673022575,-0.5267825252961251,-0.07363166363414934,-0.35352868849117003,0.00349655309607641,0.1697572837088787
v5c0_corrected_v4b_075c,15.0,15.0,0.0703125,-0.0457756622636871,0.017376611155390877,0.03329827429960321,-0.07712821673022575,-0.5267825252961251,-0.07363166363414934,-0.35352868849117003,0.00349655309607641,0.1697572837088787
v4b_legacy_025c,15.0,15.0,0.078125,-0.03993536995204056,0.01764754241753458,-0.009351304782781344,-0.02167881814171452,-0.5356469594703287,-0.017935324507949803,-0.3382970699154997,0.0037434936337647183,0.1936063959210643
v5c0_corrected_v4b_075c,15.0,15.0,0.078125,-0.03277519923395287,0.01764754241753458,-0.009351304782781344,-0.02167881814171452,-0.5356469594703287,-0.017935324507949803,-0.3382970699154997,0.0037434936337647183,0.1936063959210643
v4b_legacy_025c,15.0,15.0,0.0859375,-0.03327925192426277,0.017873624169222748,-0.06054867248085488,0.036551789791383675,-0.5433302393108563,0.04052591640700566,-0.321102845175848,0.003974126615621985,0.21825326751938637
v5c0_corrected_v4b_075c,15.0,15.0,0.0859375,-0.025404148431294446,0.017873624169222748,-0.06054867248085488,0.036551789791383675,-0.5433302393108563,0.04052591640700566,-0.321102845175848,0.003974126615621985,0.21825326751938637
v4b_legacy_025c,15.0,15.0,0.09375,-0.00969077844906341,0.018054317140515745,-0.09682686413157753,0.09706099201216296,-0.5494906970686971,0.10124688730584788,-0.3019487462580452,0.004185895293684919,0.24335605551696704
v5c0_corrected_v4b_075c,15.0,15.0,0.09375,-0.0011112557510102143,0.018054317140515745,-0.09682686413157753,0.09706099201216296,-0.5494906970686971,0.10124688730584788,-0.3019487462580452,0.004185895293684919,0.24335605551696704
