theta_max_deg,phase_offset_deg,legacy_v4b_CT_025c,corrected_v5c0_CT_075c,reference_correction_CT,profile_reference_correction_CT,polar_reference_correction_CT,persistence_fraction,ldvm_delta_CT,profile_drag_coefficient,owned_reference_fraction_chord,target_reference_fraction_chord,profile_drag_application_count_after,source_cycle_start,source_cycle_stop,movement_steps_per_cycle
15.0,15.0,0.12563248561353998,0.13078948228073073,0.005156996667190744,0.0022461525063252365,0.20037356849302096,0.011860735596017535,-0.11930034703168726,0.057,0.25,0.75,1,384,511,128.0
15.0,30.0,0.15774481675345803,0.1623890062533465,0.004644189499888485,0.0020384029953951204,0.17142841192440525,0.011859693886742118,-0.0744555269830103,0.057,0.25,0.75,1,384,511,128.0
15.0,45.0,0.18526592827182323,0.1891515528502844,0.003885624578461172,0.00171078541718186,0.13701367979040915,0.011843101280999933,-0.034487275192480786,0.057,0.25,0.75,1,384,511,128.0
15.0,60.0,0.21560882955971306,0.2185938071698171,0.0029849776101040504,0.001283152286956817,0.1031220734480132,0.011796575360356373,0.006757096346498409,0.057,0.25,0.75,1,384,511,128.0
15.0,75.0,0.21242681657604617,0.21459636471563076,0.0021695481395845873,0.0007815188617326782,0.08081972145942985,0.011728650405911766,0.011497463206654013,0.057,0.25,0.75,1,384,511,128.0
15.0,90.0,0.1968505800454342,0.19763778851948954,0.0007872084740553342,0.00023722221921325913,0.03072140558118508,0.0116966696792086,6.382013216485917e-07,0.057,0.25,0.75,1,384,511,128.0
15.0,105.0,0.1959443533029437,0.1951587521490586,-0.0007856011538851237,-0.0003143153329580629,-0.029378283560627078,0.01174117450737027,0.0,0.057,0.25,0.75,1,384,511,128.0
25.0,45.0,0.06136984545005239,0.06806844594317055,0.006698600493118156,0.003035792119954337,0.24226232948680004,0.012014385693051507,-0.05378715599105048,0.057,0.25,0.75,1,384,511,128.0
25.0,60.0,0.10287447026925897,0.10835751120849628,0.0054830409392373075,0.0023543984053169846,0.18853019398859855,0.012047164703369475,0.009250586316038933,0.057,0.25,0.75,1,384,511,128.0
25.0,75.0,0.07794576740217207,0.08104676864550368,0.003101001243331611,0.0015523851715579782,0.08632684256823671,0.011936392266427485,0.0,0.057,0.25,0.75,1,384,511,128.0
25.0,90.0,0.06904120092253989,0.06971925212686916,0.0006780512043292747,0.0006758366423016587,0.0001651924462278415,0.011469033419262675,0.0,0.057,0.25,0.75,1,384,511,128.0
25.0,105.0,0.06577577718673688,0.06555492347458866,-0.00022085371214822236,-0.0002208537121482093,6.2341624917916505e-19,0.011981080856502084,0.0,0.057,0.25,0.75,1,384,511,128.0
