model,theta_max_deg,phase_offset_deg,phase,CT
v4b_legacy_025c,15.0,15.0,0.0,-0.3572760151163205
v5c0_corrected_v4b_075c,15.0,15.0,0.0,-0.355965578541128
v4b_legacy_025c,15.0,15.0,0.0078125,-0.33357702683483886
v5c0_corrected_v4b_075c,15.0,15.0,0.0078125,-0.3311321648963602
v4b_legacy_025c,15.0,15.0,0.015625,-0.33034373030390884
v5c0_corrected_v4b_075c,15.0,15.0,0.015625,-0.3273557038532969
v4b_legacy_025c,15.0,15.0,0.0234375,-0.2886680075751031
v5c0_corrected_v4b_075c,15.0,15.0,0.0234375,-0.28577818651570247
v4b_legacy_025c,15.0,15.0,0.03125,-0.24702755140302946
v5c0_corrected_v4b_075c,15.0,15.0,0.03125,-0.24380650366875842
v4b_legacy_025c,15.0,15.0,0.0390625,-0.21708937621803734
v5c0_corrected_v4b_075c,15.0,15.0,0.0390625,-0.2132930998659393
v4b_legacy_025c,15.0,15.0,0.046875,-0.15834570506072382
v5c0_corrected_v4b_075c,15.0,15.0,0.046875,-0.15393363049611966
v4b_legacy_025c,15.0,15.0,0.0546875,-0.09983282400174912
v5c0_corrected_v4b_075c,15.0,15.0,0.0546875,-0.09476924140068409
v4b_legacy_025c,15.0,15.0,0.0625,-0.069211750950638
v5c0_corrected_v4b_075c,15.0,15.0,0.0625,-0.06346740312965668
v4b_legacy_025c,15.0,15.0,0.0703125,-0.05222202166956807
v5c0_corrected_v4b_075c,15.0,15.0,0.0703125,-0.0457756622636871
v4b_legacy_025c,15.0,15.0,0.078125,-0.03993536995204056
v5c0_corrected_v4b_075c,15.0,15.0,0.078125,-0.03277519923395287
v4b_legacy_025c,15.0,15.0,0.0859375,-0.03327925192426277
v5c0_corrected_v4b_075c,15.0,15.0,0.0859375,-0.025404148431294446
v4b_legacy_025c,15.0,15.0,0.09375,-0.00969077844906341
v5c0_corrected_v4b_075c,15.0,15.0,0.09375,-0.0011112557510102143
v4b_legacy_025c,15.0,15.0,0.1015625,0.018372149556009736
v5c0_corrected_v4b_075c,15.0,15.0,0.1015625,0.027633316620220477
v4b_legacy_025c,15.0,15.0,0.109375,0.044455435922277194
v5c0_corrected_v4b_075c,15.0,15.0,0.109375,0.0543629539055407
v4b_legacy_025c,15.0,15.0,0.1171875,0.08074419250112964
v5c0_corrected_v4b_075c,15.0,15.0,0.1171875,0.09125038102773038
v4b_legacy_025c,15.0,15.0,0.125,0.1186963883749167
v5c0_corrected_v4b_075c,15.0,15.0,0.125,0.12974170291589807
v4b_legacy_025c,15.0,15.0,0.1328125,0.16409221310343175
v5c0_corrected_v4b_075c,15.0,15.0,0.1328125,0.17560614397237206
v4b_legacy_025c,15.0,15.0,0.140625,0.20232601696474253
v5c0_corrected_v4b_075c,15.0,15.0,0.140625,0.21422833445138983
v4b_legacy_025c,15.0,15.0,0.1484375,0.24587550153430113
v5c0_corrected_v4b_075c,15.0,15.0,0.1484375,0.25807780408596925
v4b_legacy_025c,15.0,15.0,0.15625,0.2858804576400003
v5c0_corrected_v4b_075c,15.0,15.0,0.15625,0.29828796948605
v4b_legacy_025c,15.0,15.0,0.1640625,0.325920396445263
v5c0_corrected_v4b_075c,15.0,15.0,0.1640625,0.33843395320517317
v4b_legacy_025c,15.0,15.0,0.171875,0.36579125243990823
v5c0_corrected_v4b_075c,15.0,15.0,0.171875,0.37830940812610725
v4b_legacy_025c,15.0,15.0,0.1796875,0.40499186444474733
v5c0_corrected_v4b_075c,15.0,15.0,0.1796875,0.4174130508491582
v4b_legacy_025c,15.0,15.0,0.1875,0.439687799588517
v5c0_corrected_v4b_075c,15.0,15.0,0.1875,0.4519124692343614
v4b_legacy_025c,15.0,15.0,0.1953125,0.4709388220121841
v5c0_corrected_v4b_075c,15.0,15.0,0.1953125,0.4828715085001237
v4b_legacy_025c,15.0,15.0,0.203125,0.499683033184375
v5c0_corrected_v4b_075c,15.0,15.0,0.203125,0.5112342676420993
v4b_legacy_025c,15.0,15.0,0.2109375,0.5254312014691175
v5c0_corrected_v4b_075c,15.0,15.0,0.2109375,0.5365192306467291
v4b_legacy_025c,15.0,15.0,0.21875,0.5469071179363842
v5c0_corrected_v4b_075c,15.0,15.0,0.21875,0.5574593779478858
v4b_legacy_025c,15.0,15.0,0.2265625,0.5648483711732848
v5c0_corrected_v4b_075c,15.0,15.0,0.2265625,0.5748026805997154
