benchmark,scope,case_id,quantity,view,model,n,mae,rmse,bias,max_abs_error,baseline_rmse,baseline_mae
yang2025,all_6_aoa,all,lift,cycle_mean,fluxv_v5c1_proxy,6,4.555307527645123,5.240736331982297,-2.7462047871261874,8.370408698810177,5.239584000138488,4.554509816656029
yang2025,all_6_aoa,all,drag,cycle_mean,fluxv_v5c1_proxy,6,2.629697898709621,2.936343797659592,-2.3777364910473566,5.01999190203817,2.94815530552663,2.643997473596851
izraelevitz2017_fig14,all_14_markers,all,CT,cycle_mean,fluxv_v5c1_proxy,14,0.0185215310418752,0.02429813034802022,0.0012789137470387965,0.05350127747458866,0.024250786240111247,0.01848655814626011
izraelevitz2017_fig14,theta_15_markers,theta_15,CT,cycle_mean,fluxv_v5c1_proxy,9,0.01621302189609842,0.020821876928321763,-0.0036307410235610488,0.04533693120913629,0.02075935437839277,0.016171759869595737
izraelevitz2017_fig14,theta_25_markers,theta_25,CT,cycle_mean,fluxv_v5c1_proxy,5,0.022676847504273397,0.02954194613889794,0.010116292334118518,0.05350127747458866,0.029512206687473265,0.02265319504425597
izraelevitz2017_fig14,unique_12_conditions,all,CT,cycle_mean,fluxv_v5c1_proxy,12,0.019611228658478284,0.02574900173937342,0.0013080569811691537,0.05350127747458866,0.02570035294215278,0.019543393295939997
baik2012,case_phase_history,W1,CL,filtered_1hz,fluxv_v5c1_proxy,400,0.39877033478094204,0.5156563371160815,-0.2670181341643037,1.0045327345254116,0.5156649730771129,0.39877515485467724
baik2012,case_phase_history,W1,CD,filtered_1hz,fluxv_v5c1_proxy,400,0.14072627490112313,0.16085357063679293,-0.14072627490112313,0.30613315937067664,0.16090663539311115,0.14083148669886167
baik2012,case_phase_history,W2,CL,filtered_1hz,fluxv_v5c1_proxy,400,0.8966778366671916,1.0322918179338434,-0.8749076196835124,1.8988703296646814,1.0323056437701223,0.8966912863805693
baik2012,case_phase_history,W2,CD,filtered_1hz,fluxv_v5c1_proxy,400,0.6044972194191867,0.7256852430084562,-0.40836526236934745,1.4825034545257294,0.725677862528139,0.6044957840698144
baik2012,case_phase_history,W3,CL,filtered_1hz,fluxv_v5c1_proxy,400,0.34862793494531574,0.37431754420168495,-0.34862793494531574,0.5966516882260723,0.3743187762452229,0.3486287525010631
baik2012,case_phase_history,W3,CD,filtered_1hz,fluxv_v5c1_proxy,400,0.24061865553180617,0.2625778167415895,-0.24061865553180617,0.3985847184790645,0.2625914511712678,0.240645869061019
baik2012,case_phase_history,W4,CL,filtered_1hz,fluxv_v5c1_proxy,400,0.551287597072552,0.707782051342802,-0.3275966196436405,1.4750501968599177,0.7078780735787529,0.5513585353101536
baik2012,case_phase_history,W4,CD,filtered_1hz,fluxv_v5c1_proxy,400,0.2051364686825511,0.23147174724570438,-0.14070274515788803,0.41249660972543023,0.2314337267583123,0.20505497143270648
baik2012,macro_4_cases,all,CL,filtered_1hz,fluxv_v5c1_proxy,1600,,0.6575119376486029,,,0.6575418666678028,
baik2012,macro_4_cases,all,CD,filtered_1hz,fluxv_v5c1_proxy,1600,,0.34514709440813574,,,0.34515241896270754,
