gate_id,measured,relation,threshold,numeric_pass,canonical_eligible,promotion_pass
coverage_22_conditions,22,==,22,True,false,false
phase_rows_2816,2816,==,2816,True,false,false
disabled_identity,0.0,<=,1e-12,True,false,false
normal_owner_unchanged,0.0,<=,1e-12,True,false,false
owner_ledger_closure,4.0406859715819143e-16,<=,1e-12,True,false,false
axial_suction_magnitude_not_increased,0.0,<=,1e-12,True,false,false
axial_suction_delta_nonpositive,0.0,<=,1e-12,True,false,false
periodic_state,1.2730960730067409e-09,<=,0.0001,True,false,false
yang_v4b_replay,7.105427357601002e-15,<=,1e-10,True,false,false
yang_lift_mae_gf,4.555307527645123,<=,4.554509816656029,False,false,false
yang_drag_mae_gf,2.629697898709621,<=,2.643997473596851,True,false,false
yang_max_point_regression_gf,0.002047296718025393,<=,0.4,True,false,false
fig14_all14_rmse,0.02429813034802022,<=,0.024250786240111247,False,false,false
fig14_theta15_rmse,0.020821876928321763,<=,0.02075935437839277,False,false,false
fig14_theta25_rmse,0.02954194613889794,<=,0.029512206687473265,False,false,false
fig14_unique12_rmse,0.02574900173937342,<=,0.02570035294215278,False,false,false
fig14_max_point_regression,0.0003230101695741172,<=,0.0112,True,false,false
baik_macro_CL_rmse,0.6575119376486029,<=,0.6575418666678028,True,false,false
baik_macro_CD_rmse,0.34514709440813574,<=,0.34515241896270754,True,false,false
baik_W1_CL_rmse,0.5156563371160815,<=,0.5156649730771129,True,false,false
baik_W1_CD_rmse,0.16085357063679293,<=,0.16090663539311115,True,false,false
baik_W2_CL_rmse,1.0322918179338434,<=,1.0323056437701223,True,false,false
baik_W2_CD_rmse,0.7256852430084562,<=,0.725677862528139,False,false,false
baik_W3_CL_rmse,0.37431754420168495,<=,0.3743187762452229,True,false,false
baik_W3_CD_rmse,0.2625778167415895,<=,0.2625914511712678,True,false,false
baik_W4_CL_rmse,0.707782051342802,<=,0.7078780735787529,True,false,false
baik_W4_CD_rmse,0.23147174724570438,<=,0.2314337267583123,False,false,false
canonical_strip_inputs_available,False,==,True,False,false,false
