benchmark,scope,case_id,quantity,view,model,n,mae,rmse,bias,max_abs_error,baseline_rmse,baseline_mae
yang2025,all_6_aoa,all,lift,cycle_mean,fluxv_v5d1_source_clock,6,4.772812119323188,5.558414202999925,-3.0122146749479803,8.817137317889657,5.239584000138488,4.554509816656029
yang2025,all_6_aoa,all,drag,cycle_mean,fluxv_v5d1_source_clock,6,2.6101414082123813,2.914491696327315,-2.3581534490704006,4.984753867820196,2.94815530552663,2.643997473596851
izraelevitz2017_fig14,all_14_markers,all,CT,cycle_mean,fluxv_v5d1_source_clock,14,0.019123450467633078,0.025466197545575605,-0.001127324028632971,0.05327991037298142,0.024250786240111247,0.01848655814626011
izraelevitz2017_fig14,theta_15_markers,theta_15,CT,cycle_mean,fluxv_v5d1_source_clock,9,0.017031203549143295,0.02271984100764451,-0.007088988096629175,0.04951387066709739,0.02075935437839277,0.016171759869595737
izraelevitz2017_fig14,theta_25_markers,theta_25,CT,cycle_mean,fluxv_v5d1_source_clock,5,0.022889494920914688,0.029778047166696905,0.009603671293760196,0.05327991037298142,0.029512206687473265,0.02265319504425597
izraelevitz2017_fig14,unique_12_conditions,all,CT,cycle_mean,fluxv_v5d1_source_clock,12,0.020989325635529296,0.026923145629343267,-0.0008233627767810897,0.05327991037298142,0.02570035294215278,0.019543393295939997
baik2012,case_phase_history,W1,CL,filtered_1hz,fluxv_v5d1_source_clock,400,0.38426817830813265,0.498208510408075,-0.25182842783290765,0.9842726120162311,0.5156649730771129,0.39877515485467724
baik2012,case_phase_history,W1,CD,filtered_1hz,fluxv_v5d1_source_clock,400,0.13852797024074995,0.1569780785950611,-0.13852797024074995,0.29421689791830635,0.16090663539311115,0.14083148669886167
baik2012,case_phase_history,W2,CL,filtered_1hz,fluxv_v5d1_source_clock,400,0.8262105239656399,0.9918378006557881,-0.7787960428356605,1.7787083646959638,1.0323056437701223,0.8966912863805693
baik2012,case_phase_history,W2,CD,filtered_1hz,fluxv_v5d1_source_clock,400,0.5012499685921358,0.5977934756148318,-0.32951871622738055,1.2780214812585604,0.725677862528139,0.6044957840698144
baik2012,case_phase_history,W3,CL,filtered_1hz,fluxv_v5d1_source_clock,400,0.31803069517344973,0.35861283779212166,-0.3178343994495667,0.5882370171996041,0.3743187762452229,0.3486287525010631
baik2012,case_phase_history,W3,CD,filtered_1hz,fluxv_v5d1_source_clock,400,0.22718672885725477,0.24605398442068688,-0.22718672885725477,0.38581115196624177,0.2625914511712678,0.240645869061019
baik2012,case_phase_history,W4,CL,filtered_1hz,fluxv_v5d1_source_clock,400,0.47074081219053027,0.6432584259546436,-0.26266873552945746,1.4896968870755503,0.7078780735787529,0.5513585353101536
baik2012,case_phase_history,W4,CD,filtered_1hz,fluxv_v5d1_source_clock,400,0.18780972459999745,0.21800877065101892,-0.15252298201004033,0.3806030786319682,0.2314337267583123,0.20505497143270648
baik2012,macro_4_cases,all,CL,filtered_1hz,fluxv_v5d1_source_clock,1600,,0.6229793937026571,,,0.6575418666678028,
baik2012,macro_4_cases,all,CD,filtered_1hz,fluxv_v5d1_source_clock,1600,,0.3047085773203997,,,0.34515241896270754,
