benchmark,scope,case_id,quantity,view,model,n,mae,rmse,bias,max_abs_error,baseline_rmse,baseline_mae
yang2025,all_6_aoa,all,lift,cycle_mean,fluxv_v5d2_region_owner,6,8.709805658078606,9.220939170379564,-8.709805658078606,12.051620274640644,5.239584000138488,4.554509816656029
yang2025,all_6_aoa,all,drag,cycle_mean,fluxv_v5d2_region_owner,6,2.8879633487193477,3.4070602559159853,-0.15802030938536346,6.725563801339124,2.94815530552663,2.643997473596851
izraelevitz2017_fig14,all_14_markers,all,CT,cycle_mean,fluxv_v5d2_region_owner,14,0.022164777809132775,0.027769433945926743,-0.003179811751247225,0.054139072937753385,0.024250786240111247,0.01848655814626011
izraelevitz2017_fig14,theta_15_markers,theta_15,CT,cycle_mean,fluxv_v5d2_region_owner,9,0.018700608108403904,0.024508545940006624,-0.006949041302393974,0.054139072937753385,0.02075935437839277,0.016171759869595737
izraelevitz2017_fig14,theta_25_markers,theta_25,CT,cycle_mean,fluxv_v5d2_region_owner,5,0.02840028327044475,0.032832791677345693,0.0036048014408169237,0.05355242409834378,0.029512206687473265,0.02265319504425597
izraelevitz2017_fig14,unique_12_conditions,all,CT,cycle_mean,fluxv_v5d2_region_owner,12,0.0239745395649157,0.02959375262854268,-0.003665715239885919,0.054139072937753385,0.02570035294215278,0.019543393295939997
baik2012,case_phase_history,W1,CL,filtered_1hz,fluxv_v5d2_region_owner,400,0.311016819321407,0.3761012257896273,-0.12462299570189032,0.7961694936528787,0.5156649730771129,0.39877515485467724
baik2012,case_phase_history,W1,CD,filtered_1hz,fluxv_v5d2_region_owner,400,0.11056559941779996,0.11724525823461228,-0.11056559941779996,0.1803297407071066,0.16090663539311115,0.14083148669886167
baik2012,case_phase_history,W2,CL,filtered_1hz,fluxv_v5d2_region_owner,400,0.7871976350923953,0.9427044905895531,-0.7611139549102975,1.6373293429215954,1.0323056437701223,0.8966912863805693
baik2012,case_phase_history,W2,CD,filtered_1hz,fluxv_v5d2_region_owner,400,0.49864000015843435,0.5740648916663684,-0.3641285423349395,1.0990903387772275,0.725677862528139,0.6044957840698144
baik2012,case_phase_history,W3,CL,filtered_1hz,fluxv_v5d2_region_owner,400,0.34544186491772905,0.3846134114774105,-0.2303947812944824,0.6848929730581266,0.3743187762452229,0.3486287525010631
baik2012,case_phase_history,W3,CD,filtered_1hz,fluxv_v5d2_region_owner,400,0.19862295822927667,0.22275410154077832,-0.19862295822927667,0.4343271643303999,0.2625914511712678,0.240645869061019
baik2012,case_phase_history,W4,CL,filtered_1hz,fluxv_v5d2_region_owner,400,0.4476582179142221,0.5919934100123303,-0.13518538588011783,1.5233175451572274,0.7078780735787529,0.5513585353101536
baik2012,case_phase_history,W4,CD,filtered_1hz,fluxv_v5d2_region_owner,400,0.1848588673950675,0.2193344065173556,-0.13603536348138134,0.5096160936848423,0.2314337267583123,0.20505497143270648
baik2012,macro_4_cases,all,CL,filtered_1hz,fluxv_v5d2_region_owner,1600,,0.5738531344672303,,,0.6575418666678028,
baik2012,macro_4_cases,all,CD,filtered_1hz,fluxv_v5d2_region_owner,1600,,0.28334966448977866,,,0.34515241896270754,
