gate_id,measured,relation,threshold,numeric_pass,canonical_eligible,promotion_pass
coverage_22_conditions,22,==,22,True,false,false
phase_rows_2816,2816,==,2816,True,false,false
disabled_identity,0.0,<=,0.0,True,false,false
weight_sum_closure,0.0,<=,1e-12,True,false,false
weight_lower_bound,-0.0,<=,0.0,True,false,false
weight_upper_bound,1.0,<=,1.0,True,false,false
yang_lift_mae_gf,8.709805658078606,<=,4.554509816656029,False,false,false
yang_drag_mae_gf,2.8879633487193477,<=,2.643997473596851,False,false,false
fig14_all14_rmse,0.027769433945926743,<=,0.024250786240111247,False,false,false
fig14_theta15_rmse,0.024508545940006624,<=,0.02075935437839277,False,false,false
fig14_theta25_rmse,0.032832791677345693,<=,0.029512206687473265,False,false,false
fig14_unique12_rmse,0.02959375262854268,<=,0.02570035294215278,False,false,false
baik_macro_CL_rmse,0.5738531344672303,<=,0.6575418666678028,True,false,false
baik_macro_CD_rmse,0.28334966448977866,<=,0.34515241896270754,True,false,false
baik_W1_CL_rmse,0.3761012257896273,<=,0.5156649730771129,True,false,false
baik_W1_CD_rmse,0.11724525823461228,<=,0.16090663539311115,True,false,false
baik_W2_CL_rmse,0.9427044905895531,<=,1.0323056437701223,True,false,false
baik_W2_CD_rmse,0.5740648916663684,<=,0.725677862528139,True,false,false
baik_W3_CL_rmse,0.3846134114774105,<=,0.3743187762452229,False,false,false
baik_W3_CD_rmse,0.22275410154077832,<=,0.2625914511712678,True,false,false
baik_W4_CL_rmse,0.5919934100123303,<=,0.7078780735787529,True,false,false
baik_W4_CD_rmse,0.2193344065173556,<=,0.2314337267583123,True,false,false
canonical_strip_inputs_available,False,==,True,False,false,false
