steps_per_cycle,delta_time_s,core_ratio,horizon_steps,horizon_cycles,active_step_count,final_material_ring_count,max_abs_q_m2_s,max_abs_q_over_Uc,max_augmented_condition_number,max_no_penetration_residual,max_lesp_constraint_residual,max_eq9_residual_m2_s,all_material_geometry_finite,movement_manifest,canonical_eligible
20,0.02,0.1,10,0.5,6,23,1.3580782713590014,1.899410169732869,158.94788320828374,1.7763568394002505e-15,9.71445146547012e-17,0.0,True,"{'case_id': 'yang2025_fig11_rigid', 'grid_chord_span': [2, 4], 'steps_per_cycle': 20.0, 'requested_steps_per_cycle': 20, 'cycles': 1, 'max_wake_cycles': 1, 'aoa_deg': 15.0, 'flap_min_deg': -32.44519629847329, 'flap_max_deg': 39.107903159051645, 'flap_mean_deg': 3.3313534302891767, 'flap_amplitude_deg': 35.77654972876247, 'wing_root_offset_m': 0.08, 'rotation_point_offset_Gs_Ler_m': [0.0, -0.08, 0.0], 'kinematics': 'nominal-fourbar-from-rounded-JFS-2025-links', 'paper_input_missing': 'per-case laser-displacement wing-angle history', 'airfoil_adapter': 'zero-camber NACA0012 mean surface for 1 mm balsa plate'}",False
20,0.02,0.25,10,0.5,6,23,1.9030501558088069,2.6616086095228066,479.80176517693485,2.6645352591003757e-15,5.551115123125783e-17,0.0,True,"{'case_id': 'yang2025_fig11_rigid', 'grid_chord_span': [2, 4], 'steps_per_cycle': 20.0, 'requested_steps_per_cycle': 20, 'cycles': 1, 'max_wake_cycles': 1, 'aoa_deg': 15.0, 'flap_min_deg': -32.44519629847329, 'flap_max_deg': 39.107903159051645, 'flap_mean_deg': 3.3313534302891767, 'flap_amplitude_deg': 35.77654972876247, 'wing_root_offset_m': 0.08, 'rotation_point_offset_Gs_Ler_m': [0.0, -0.08, 0.0], 'kinematics': 'nominal-fourbar-from-rounded-JFS-2025-links', 'paper_input_missing': 'per-case laser-displacement wing-angle history', 'airfoil_adapter': 'zero-camber NACA0012 mean surface for 1 mm balsa plate'}",False
20,0.02,0.49,10,0.5,6,23,7.426481690800968,10.386687679441913,1731.2996218424053,4.440892098500626e-15,8.326672684688674e-17,0.0,True,"{'case_id': 'yang2025_fig11_rigid', 'grid_chord_span': [2, 4], 'steps_per_cycle': 20.0, 'requested_steps_per_cycle': 20, 'cycles': 1, 'max_wake_cycles': 1, 'aoa_deg': 15.0, 'flap_min_deg': -32.44519629847329, 'flap_max_deg': 39.107903159051645, 'flap_mean_deg': 3.3313534302891767, 'flap_amplitude_deg': 35.77654972876247, 'wing_root_offset_m': 0.08, 'rotation_point_offset_Gs_Ler_m': [0.0, -0.08, 0.0], 'kinematics': 'nominal-fourbar-from-rounded-JFS-2025-links', 'paper_input_missing': 'per-case laser-displacement wing-angle history', 'airfoil_adapter': 'zero-camber NACA0012 mean surface for 1 mm balsa plate'}",False
40,0.01,0.1,20,0.5,13,46,2.3949511442056837,3.349582019868089,94.6230087494444,3.552713678800501e-15,2.914335439641036e-16,0.0,True,"{'case_id': 'yang2025_fig11_rigid', 'grid_chord_span': [2, 4], 'steps_per_cycle': 40.0, 'requested_steps_per_cycle': 40, 'cycles': 1, 'max_wake_cycles': 1, 'aoa_deg': 15.0, 'flap_min_deg': -32.44519629847329, 'flap_max_deg': 39.107903159051645, 'flap_mean_deg': 3.3313534302891767, 'flap_amplitude_deg': 35.77654972876247, 'wing_root_offset_m': 0.08, 'rotation_point_offset_Gs_Ler_m': [0.0, -0.08, 0.0], 'kinematics': 'nominal-fourbar-from-rounded-JFS-2025-links', 'paper_input_missing': 'per-case laser-displacement wing-angle history', 'airfoil_adapter': 'zero-camber NACA0012 mean surface for 1 mm balsa plate'}",False
40,0.01,0.25,20,0.5,12,45,1.9269686807923914,2.69506109201733,89.88695688695468,7.105427357601002e-15,5.689893001203927e-16,0.0,True,"{'case_id': 'yang2025_fig11_rigid', 'grid_chord_span': [2, 4], 'steps_per_cycle': 40.0, 'requested_steps_per_cycle': 40, 'cycles': 1, 'max_wake_cycles': 1, 'aoa_deg': 15.0, 'flap_min_deg': -32.44519629847329, 'flap_max_deg': 39.107903159051645, 'flap_mean_deg': 3.3313534302891767, 'flap_amplitude_deg': 35.77654972876247, 'wing_root_offset_m': 0.08, 'rotation_point_offset_Gs_Ler_m': [0.0, -0.08, 0.0], 'kinematics': 'nominal-fourbar-from-rounded-JFS-2025-links', 'paper_input_missing': 'per-case laser-displacement wing-angle history', 'airfoil_adapter': 'zero-camber NACA0012 mean surface for 1 mm balsa plate'}",False
40,0.01,0.49,20,0.5,12,42,1.7650230169866776,2.468563660121227,112.68092621557692,3.552713678800501e-15,2.3592239273284576e-16,0.0,True,"{'case_id': 'yang2025_fig11_rigid', 'grid_chord_span': [2, 4], 'steps_per_cycle': 40.0, 'requested_steps_per_cycle': 40, 'cycles': 1, 'max_wake_cycles': 1, 'aoa_deg': 15.0, 'flap_min_deg': -32.44519629847329, 'flap_max_deg': 39.107903159051645, 'flap_mean_deg': 3.3313534302891767, 'flap_amplitude_deg': 35.77654972876247, 'wing_root_offset_m': 0.08, 'rotation_point_offset_Gs_Ler_m': [0.0, -0.08, 0.0], 'kinematics': 'nominal-fourbar-from-rounded-JFS-2025-links', 'paper_input_missing': 'per-case laser-displacement wing-angle history', 'airfoil_adapter': 'zero-camber NACA0012 mean surface for 1 mm balsa plate'}",False
80,0.005,0.1,40,0.5,25,87,2.9225896634509247,4.087537990840453,100.5920915048412,1.2878587085651816e-14,2.498001805406602e-16,0.0,True,"{'case_id': 'yang2025_fig11_rigid', 'grid_chord_span': [2, 4], 'steps_per_cycle': 80.0, 'requested_steps_per_cycle': 80, 'cycles': 1, 'max_wake_cycles': 1, 'aoa_deg': 15.0, 'flap_min_deg': -32.44519629847329, 'flap_max_deg': 39.107903159051645, 'flap_mean_deg': 3.3313534302891767, 'flap_amplitude_deg': 35.77654972876247, 'wing_root_offset_m': 0.08, 'rotation_point_offset_Gs_Ler_m': [0.0, -0.08, 0.0], 'kinematics': 'nominal-fourbar-from-rounded-JFS-2025-links', 'paper_input_missing': 'per-case laser-displacement wing-angle history', 'airfoil_adapter': 'zero-camber NACA0012 mean surface for 1 mm balsa plate'}",False
80,0.005,0.25,40,0.5,23,84,1.5584197428730173,2.1796080319902336,93.62207324570034,7.105427357601002e-15,3.191891195797325e-16,0.0,True,"{'case_id': 'yang2025_fig11_rigid', 'grid_chord_span': [2, 4], 'steps_per_cycle': 80.0, 'requested_steps_per_cycle': 80, 'cycles': 1, 'max_wake_cycles': 1, 'aoa_deg': 15.0, 'flap_min_deg': -32.44519629847329, 'flap_max_deg': 39.107903159051645, 'flap_mean_deg': 3.3313534302891767, 'flap_amplitude_deg': 35.77654972876247, 'wing_root_offset_m': 0.08, 'rotation_point_offset_Gs_Ler_m': [0.0, -0.08, 0.0], 'kinematics': 'nominal-fourbar-from-rounded-JFS-2025-links', 'paper_input_missing': 'per-case laser-displacement wing-angle history', 'airfoil_adapter': 'zero-camber NACA0012 mean surface for 1 mm balsa plate'}",False
80,0.005,0.49,40,0.5,23,88,3.2206624498133536,4.504423006731963,199.0447575710308,3.552713678800501e-15,5.689893001203927e-16,0.0,True,"{'case_id': 'yang2025_fig11_rigid', 'grid_chord_span': [2, 4], 'steps_per_cycle': 80.0, 'requested_steps_per_cycle': 80, 'cycles': 1, 'max_wake_cycles': 1, 'aoa_deg': 15.0, 'flap_min_deg': -32.44519629847329, 'flap_max_deg': 39.107903159051645, 'flap_mean_deg': 3.3313534302891767, 'flap_amplitude_deg': 35.77654972876247, 'wing_root_offset_m': 0.08, 'rotation_point_offset_Gs_Ler_m': [0.0, -0.08, 0.0], 'kinematics': 'nominal-fourbar-from-rounded-JFS-2025-links', 'paper_input_missing': 'per-case laser-displacement wing-angle history', 'airfoil_adapter': 'zero-camber NACA0012 mean surface for 1 mm balsa plate'}",False
160,0.0025,0.1,80,0.5,47,168,6.406527991994551,8.960179009782587,120.18876731492344,2.2648549702353193e-14,4.718447854656915e-16,0.0,True,"{'case_id': 'yang2025_fig11_rigid', 'grid_chord_span': [2, 4], 'steps_per_cycle': 160.0, 'requested_steps_per_cycle': 160, 'cycles': 1, 'max_wake_cycles': 1, 'aoa_deg': 15.0, 'flap_min_deg': -32.44519629847329, 'flap_max_deg': 39.107903159051645, 'flap_mean_deg': 3.3313534302891767, 'flap_amplitude_deg': 35.77654972876247, 'wing_root_offset_m': 0.08, 'rotation_point_offset_Gs_Ler_m': [0.0, -0.08, 0.0], 'kinematics': 'nominal-fourbar-from-rounded-JFS-2025-links', 'paper_input_missing': 'per-case laser-displacement wing-angle history', 'airfoil_adapter': 'zero-camber NACA0012 mean surface for 1 mm balsa plate'}",False
