case_id,t_star,experiment_CL,data_role
fast_pitch,0.0,0.343908483,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.01,0.437580682,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.02,0.550046104,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.03,0.687044721,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.04,0.842672314,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.05,0.991297833,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.06,1.132013601,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.07,1.354636353,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.08,1.590744583,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.09,1.834773369,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.1,2.078802155,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.11,2.309077484,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.12,2.530976256,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.13,2.745036595,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.14,2.950737667,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.15,3.144187269,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.16,3.325080682,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.17,3.48776654,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.18,3.628395862,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.19,3.754208449,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.2,3.865519825,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.21,3.949585783,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.22,4.022439776,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.23,4.083839759,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.24,4.113808207,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.25,4.106551118,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.26,4.076489742,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.27,4.033677674,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.28,3.980051291,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.29,3.9225608,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.3,3.862429403,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.31,3.789648888,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.32,3.711716229,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.33,3.631179403,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.34,3.554117681,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.35,3.470421277,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.36,3.39098663,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.37,3.322487321,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.38,3.266163843,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.39,3.212796796,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.4,3.162978331,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.41,3.12444747,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.42,3.091976429,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.43,3.073347453,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.44,3.081909866,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.45,3.116870534,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.46,3.153400184,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.47,3.188806045,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.48,3.244461734,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.49,3.302859901,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.5,3.364741817,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.51,3.433241125,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.52,3.505224182,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.53,3.583146035,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.54,3.668770171,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.55,3.741719254,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.56,3.812044721,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.57,3.87985895,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.58,3.944077052,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.59,3.998706201,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.6,4.047227985,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.61,4.090040053,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.62,4.124976948,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.63,4.157058985,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.64,4.185436837,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.65,4.198280458,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.66,4.205306305,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.67,4.206170758,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.68,4.197608345,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.69,4.185395776,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.7,4.170671969,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.71,4.153657359,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.72,4.140813739,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.73,4.127970119,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.74,4.115126498,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.75,4.102282878,digitized_experimental_whole_wing_lift_curve
fast_pitch,0.76,4.096164707,digitized_experimental_whole_wing_lift_curve
