t_star,experiment_CL_fast_pitch,experiment_CL_slow_pitch,source_figure,data_role
0.00000000,0.343908483,0.155025357,4.13b,digitized_experimental_curve
0.01000000,0.437580682,0.172150184,4.13b,digitized_experimental_curve
0.02000000,0.550046104,0.189275012,4.13b,digitized_experimental_curve
0.03000000,0.687044721,0.206399839,4.13b,digitized_experimental_curve
0.04000000,0.842672314,0.216073075,4.13b,digitized_experimental_curve
0.05000000,0.991297833,0.224635489,4.13b,digitized_experimental_curve
0.06000000,1.132013601,0.233383760,4.13b,digitized_experimental_curve
0.07000000,1.354636353,0.246227380,4.13b,digitized_experimental_curve
0.08000000,1.590744583,0.259071000,4.13b,digitized_experimental_curve
0.09000000,1.834773369,0.270987494,4.13b,digitized_experimental_curve
0.10000000,2.078802155,0.279549908,4.13b,digitized_experimental_curve
0.11000000,2.309077484,0.288112321,4.13b,digitized_experimental_curve
0.12000000,2.530976256,0.298343130,4.13b,digitized_experimental_curve
0.13000000,2.745036595,0.311186751,4.13b,digitized_experimental_curve
0.14000000,2.950737667,0.315671104,4.13b,digitized_experimental_curve
0.15000000,3.144187269,0.324771640,4.13b,digitized_experimental_curve
0.16000000,3.325080682,0.337615260,4.13b,digitized_experimental_curve
0.17000000,3.487766540,0.350458881,4.13b,digitized_experimental_curve
0.18000000,3.628395862,0.357000634,4.13b,digitized_experimental_curve
0.19000000,3.754208449,0.362662805,4.13b,digitized_experimental_curve
0.20000000,3.865519825,0.371225219,4.13b,digitized_experimental_curve
0.21000000,3.949585783,0.375895430,4.13b,digitized_experimental_curve
0.22000000,4.022439776,0.382298870,4.13b,digitized_experimental_curve
0.23000000,4.083839759,0.390861284,4.13b,digitized_experimental_curve
0.24000000,4.113808207,0.399423698,4.13b,digitized_experimental_curve
0.25000000,4.106551118,0.405122608,4.13b,digitized_experimental_curve
0.26000000,4.076489742,0.410497349,4.13b,digitized_experimental_curve
0.27000000,4.033677674,0.419059763,4.13b,digitized_experimental_curve
0.28000000,3.980051291,0.424017404,4.13b,digitized_experimental_curve
0.29000000,3.922560800,0.428298611,4.13b,digitized_experimental_curve
0.30000000,3.862429403,0.432514984,4.13b,digitized_experimental_curve
0.31000000,3.789648888,0.432514984,4.13b,digitized_experimental_curve
0.32000000,3.711716229,0.435091056,4.13b,digitized_experimental_curve
0.33000000,3.631179403,0.440178366,4.13b,digitized_experimental_curve
0.34000000,3.554117681,0.448740779,4.13b,digitized_experimental_curve
0.35000000,3.470421277,0.450668511,4.13b,digitized_experimental_curve
0.36000000,3.390986630,0.452215883,4.13b,digitized_experimental_curve
0.37000000,3.322487321,0.456497090,4.13b,digitized_experimental_curve
0.38000000,3.266163843,0.456719686,4.13b,digitized_experimental_curve
0.39000000,3.212796796,0.456719686,4.13b,digitized_experimental_curve
0.40000000,3.162978331,0.457757031,4.13b,digitized_experimental_curve
0.41000000,3.124447470,0.466319444,4.13b,digitized_experimental_curve
0.42000000,3.091976429,0.468822038,4.13b,digitized_experimental_curve
0.43000000,3.073347453,0.470081979,4.13b,digitized_experimental_curve
0.44000000,3.081909866,0.474363186,4.13b,digitized_experimental_curve
0.45000000,3.116870534,0.474873213,4.13b,digitized_experimental_curve
0.46000000,3.153400184,0.480876844,4.13b,digitized_experimental_curve
0.47000000,3.188806045,0.492795499,4.13b,digitized_experimental_curve
0.48000000,3.244461734,0.488514292,4.13b,digitized_experimental_curve
0.49000000,3.302859901,0.489718044,4.13b,digitized_experimental_curve
0.50000000,3.364741817,0.493999251,4.13b,digitized_experimental_curve
0.51000000,3.433241125,0.498280458,4.13b,digitized_experimental_curve
0.52000000,3.505224182,0.502561664,4.13b,digitized_experimental_curve
0.53000000,3.583146035,0.505129092,4.13b,digitized_experimental_curve
0.54000000,3.668770171,0.505129092,4.13b,digitized_experimental_curve
0.55000000,3.741719254,0.505129092,4.13b,digitized_experimental_curve
0.56000000,3.812044721,0.510039189,4.13b,digitized_experimental_curve
0.57000000,3.879858950,0.517916523,4.13b,digitized_experimental_curve
0.58000000,3.944077052,0.522197729,4.13b,digitized_experimental_curve
0.59000000,3.998706201,0.523282619,4.13b,digitized_experimental_curve
0.60000000,4.047227985,0.524708967,4.13b,digitized_experimental_curve
0.61000000,4.090040053,0.528990174,4.13b,digitized_experimental_curve
0.62000000,4.124976948,0.537208967,4.13b,digitized_experimental_curve
0.63000000,4.157058985,0.543603763,4.13b,digitized_experimental_curve
0.64000000,4.185436837,0.547884970,4.13b,digitized_experimental_curve
0.65000000,4.198280458,0.552166177,4.13b,digitized_experimental_curve
0.66000000,4.205306305,0.556447384,4.13b,digitized_experimental_curve
0.67000000,4.206170758,0.558450755,4.13b,digitized_experimental_curve
0.68000000,4.197608345,0.554169548,4.13b,digitized_experimental_curve
0.69000000,4.185395776,0.564488964,4.13b,digitized_experimental_curve
0.70000000,4.170671969,0.571692024,4.13b,digitized_experimental_curve
0.71000000,4.153657359,0.571912460,4.13b,digitized_experimental_curve
0.72000000,4.140813739,0.580474873,4.13b,digitized_experimental_curve
0.73000000,4.127970119,0.583794375,4.13b,digitized_experimental_curve
0.74000000,4.115126498,0.585497349,4.13b,digitized_experimental_curve
0.75000000,4.102282878,0.594059763,4.13b,digitized_experimental_curve
0.76000000,4.096164707,0.599259451,4.13b,digitized_experimental_curve
0.77000000,4.096661768,0.601947902,4.13b,digitized_experimental_curve
0.78000000,4.105224182,0.601947902,4.13b,digitized_experimental_curve
0.79000000,4.121994583,0.610155890,4.13b,digitized_experimental_curve
0.80000000,4.146121485,0.614050254,4.13b,digitized_experimental_curve
0.81000000,4.176089932,0.615178366,4.13b,digitized_experimental_curve
0.82000000,4.206058379,0.623740779,4.13b,digitized_experimental_curve
0.83000000,4.245252709,0.629227899,4.13b,digitized_experimental_curve
0.84000000,4.291980751,0.633509106,4.13b,digitized_experimental_curve
0.85000000,4.347636440,0.637790312,4.13b,digitized_experimental_curve
0.86000000,4.399475565,0.642071519,4.13b,digitized_experimental_curve
0.87000000,4.454943234,0.646352726,4.13b,digitized_experimental_curve
0.88000000,4.514603504,0.650633933,4.13b,digitized_experimental_curve
0.89000000,4.570259192,0.654915139,4.13b,digitized_experimental_curve
0.90000000,4.613090710,0.659196346,4.13b,digitized_experimental_curve
0.91000000,4.649052847,0.663477553,4.13b,digitized_experimental_curve
0.92000000,4.685014984,0.667758760,4.13b,digitized_experimental_curve
0.93000000,4.720977121,0.672039967,4.13b,digitized_experimental_curve
0.94000000,4.756939258,0.676321173,4.13b,digitized_experimental_curve
0.95000000,4.792901395,0.680602380,4.13b,digitized_experimental_curve
0.96000000,4.828863532,0.684883587,4.13b,digitized_experimental_curve
0.97000000,4.823818580,0.686664361,4.13b,digitized_experimental_curve
0.98000000,4.785186146,0.688125288,4.13b,digitized_experimental_curve
