source_role,observable,aoa_deg,value_gf,digitization_uncertainty_gf,source_note
rigid_test,lift,0,2.0,0.8,"Yang 2023 IMAVS Fig. 7, dashed blue open circles"
rigid_test,lift,5,17.0,0.8,"Yang 2023 IMAVS Fig. 7, dashed blue open circles"
rigid_test,lift,10,31.0,0.8,"Yang 2023 IMAVS Fig. 7, dashed blue open circles"
rigid_test,lift,15,38.0,0.8,"Yang 2023 IMAVS Fig. 7, dashed blue open circles"
rigid_test,lift,20,42.2,0.8,"Yang 2023 IMAVS Fig. 7, dashed blue open circles"
rigid_test,lift,25,44.5,0.8,"Yang 2023 IMAVS Fig. 7, dashed blue open circles"
rigid_sim,lift,0,0.2,0.8,"Yang 2023 IMAVS Fig. 7, solid blue star markers"
rigid_sim,lift,5,15.3,0.8,"Yang 2023 IMAVS Fig. 7, solid blue star markers"
rigid_sim,lift,10,29.5,0.8,"Yang 2023 IMAVS Fig. 7, solid blue star markers"
rigid_sim,lift,15,37.8,0.8,"Yang 2023 IMAVS Fig. 7, solid blue star markers"
rigid_sim,lift,20,43.0,0.8,"Yang 2023 IMAVS Fig. 7, solid blue star markers"
rigid_sim,lift,25,45.8,0.8,"Yang 2023 IMAVS Fig. 7, solid blue star markers"
rigid_test,thrust,0,1.2,0.8,"Yang 2023 IMAVS Fig. 7, dashed blue open circles"
rigid_test,thrust,5,0.0,0.8,"Yang 2023 IMAVS Fig. 7, dashed blue open circles"
rigid_test,thrust,10,-5.1,0.8,"Yang 2023 IMAVS Fig. 7, dashed blue open circles"
rigid_test,thrust,15,-13.8,0.8,"Yang 2023 IMAVS Fig. 7, dashed blue open circles"
rigid_test,thrust,20,-20.8,0.8,"Yang 2023 IMAVS Fig. 7, dashed blue open circles"
rigid_test,thrust,25,-28.4,0.8,"Yang 2023 IMAVS Fig. 7, dashed blue open circles"
rigid_sim,thrust,0,0.0,0.8,"Yang 2023 IMAVS Fig. 7, solid blue star markers"
rigid_sim,thrust,5,-1.5,0.8,"Yang 2023 IMAVS Fig. 7, solid blue star markers"
rigid_sim,thrust,10,-5.0,0.8,"Yang 2023 IMAVS Fig. 7, solid blue star markers"
rigid_sim,thrust,15,-10.1,0.8,"Yang 2023 IMAVS Fig. 7, solid blue star markers"
rigid_sim,thrust,20,-15.2,0.8,"Yang 2023 IMAVS Fig. 7, solid blue star markers"
rigid_sim,thrust,25,-20.8,0.8,"Yang 2023 IMAVS Fig. 7, solid blue star markers"
