aoa_deg,model,model_label,status,mean_lift_n,mean_drag_n,mean_thrust_n,mean_lift_gf,mean_drag_gf,mean_thrust_gf,mean_CL,mean_CD,mean_CT,runtime_s,digitization_uncertainty_gf,data_role,error
0.0,wind_tunnel_test,Wind-tunnel test,reference,0.0196133,-0.004903325,0.004903325,2.0,-0.5,0.5,,,,,0.4,ground_truth,
0.0,authors_proposed_modified_uvlm,Authors' proposed modified UVLM,reference,0.0,-0.0,0.0,0.0,-0.0,0.0,,,,,0.4,author_simulation,
5.0,wind_tunnel_test,Wind-tunnel test,reference,0.17063571,0.0009806650000000001,-0.0009806650000000001,17.4,0.1,-0.1,,,,,0.4,ground_truth,
5.0,authors_proposed_modified_uvlm,Authors' proposed modified UVLM,reference,0.15494507000000002,0.01372931,-0.01372931,15.8,1.4,-1.4,,,,,0.4,author_simulation,
10.0,wind_tunnel_test,Wind-tunnel test,reference,0.308909475,0.050013915,-0.050013915,31.5,5.1,-5.1,,,,,0.4,ground_truth,
10.0,authors_proposed_modified_uvlm,Authors' proposed modified UVLM,reference,0.29223817,0.050994580000000005,-0.050994580000000005,29.8,5.2,-5.2,,,,,0.4,author_simulation,
15.0,wind_tunnel_test,Wind-tunnel test,reference,0.37951735500000006,0.138273765,-0.138273765,38.7,14.1,-14.1,,,,,0.4,ground_truth,
15.0,authors_proposed_modified_uvlm,Authors' proposed modified UVLM,reference,0.39422733000000004,0.10591182,-0.10591182,40.2,10.8,-10.8,,,,,0.4,author_simulation,
20.0,wind_tunnel_test,Wind-tunnel test,reference,0.420705285,0.20593965,-0.20593965,42.9,21.0,-21.0,,,,,0.4,ground_truth,
20.0,authors_proposed_modified_uvlm,Authors' proposed modified UVLM,reference,0.47268053000000004,0.171616375,-0.171616375,48.2,17.5,-17.5,,,,,0.4,author_simulation,
25.0,wind_tunnel_test,Wind-tunnel test,reference,0.44424124499999995,0.27262487,-0.27262487,45.3,27.8,-27.8,,,,,0.4,ground_truth,
25.0,authors_proposed_modified_uvlm,Authors' proposed modified UVLM,reference,0.522694445,0.24418558499999998,-0.24418558499999998,53.3,24.9,-24.9,,,,,0.4,author_simulation,
0.0,fluxv_uvpm,FluxV current load channel,ok,0.0017619884621529359,-0.06437353191210306,0.06437353191210306,0.17967282019373954,-6.5642734177423545,6.5642734177423545,0.0029141989977668936,-0.10646907525815712,0.10646907525815712,141.82125862399698,,local_prediction,
0.0,ptera_prescribed_wake_uvlm,Ptera prescribed-wake control,ok,0.0017619884621529359,-0.06437353191210306,0.06437353191210306,0.17967282019373954,-6.5642734177423545,6.5642734177423545,0.0029141989977668936,-0.10646907525815712,0.10646907525815712,8.148716912000964,,local_prediction,
0.0,ptera_free_wake_uvlm,Ptera free-wake UVLM,ok,0.0017108018131706604,-0.06417551362314536,0.06417551362314536,0.1744532346082159,-6.544081171770722,6.544081171770722,0.0028295400545517136,-0.10614156760892147,0.10614156760892147,41.457337154002744,,local_prediction,
0.0,robofalcon2_coefficient_transfer,RoboFalcon2 S3-S4 coefficient transfer,ok,0.7751923363663838,-0.014345126505177018,0.014345126505177018,79.04761935690412,-1.462795807454841,1.462795807454841,1.2821109662404853,-0.02372578151456564,0.02372578151456564,0.036044824999407865,,local_prediction,
5.0,fluxv_uvpm,FluxV current load channel,ok,0.13451874653312823,-0.059014350232727664,0.059014350232727664,13.717094678929934,-6.017788973067017,6.017788973067017,0.2224840881470394,-0.09760538391490992,0.09760538391490992,139.54526743300084,,local_prediction,
5.0,ptera_prescribed_wake_uvlm,Ptera prescribed-wake control,ok,0.13451874653312823,-0.059014350232727664,0.059014350232727664,13.717094678929934,-6.017788973067017,6.017788973067017,0.2224840881470394,-0.09760538391490992,0.09760538391490992,8.136113947999547,,local_prediction,
5.0,ptera_free_wake_uvlm,Ptera free-wake UVLM,ok,0.13195646522562351,-0.05893816721425474,0.05893816721425474,13.45581469978265,-6.010020467157974,6.010020467157974,0.21824626379193357,-0.09747938281964201,0.09747938281964201,41.4545816509999,,local_prediction,
5.0,robofalcon2_coefficient_transfer,RoboFalcon2 S3-S4 coefficient transfer,ok,0.8725388411875872,-0.020289279298686173,0.020289279298686173,88.97420028119564,-2.068930705050774,2.068930705050774,1.443114907457801,-0.033556971948271265,0.033556971948271265,0.036453203996643424,,local_prediction,
10.0,fluxv_uvpm,FluxV current load channel,ok,0.2658630197429293,-0.04301456209781864,0.04301456209781864,27.110483166313603,-4.386264636529155,4.386264636529155,0.4397178314842304,-0.07114291406975416,0.07114291406975416,138.9233372680028,,local_prediction,
10.0,ptera_prescribed_wake_uvlm,Ptera prescribed-wake control,ok,0.2658630197429293,-0.04301456209781864,0.04301456209781864,27.110483166313603,-4.386264636529155,4.386264636529155,0.4397178314842304,-0.07114291406975416,0.07114291406975416,8.106825588001811,,local_prediction,
10.0,ptera_free_wake_uvlm,Ptera free-wake UVLM,ok,0.2604448837692429,-0.043329238140615074,0.043329238140615074,26.557987056664906,-4.418352662796681,4.418352662796681,0.4307566340851344,-0.07166336504218453,0.07166336504218453,41.46382025299681,,local_prediction,
10.0,robofalcon2_coefficient_transfer,RoboFalcon2 S3-S4 coefficient transfer,ok,0.9728246972794532,-0.01133794648082194,0.01133794648082194,99.20051162012035,-1.1561487848370176,1.1561487848370176,1.6089803189463718,-0.018752127485995997,0.018752127485995997,0.03798427300353069,,local_prediction,
