model,model_label,data_role,phase,CL_alpha,CD_alpha,CL,CD,CT
paper_uvlm,Authors' UVLM reference,author_reference,0.00000000,-1.22024613,0.04180129,-0.3158229381566464,0.01081896996185355,-0.01081896996185355
paper_uvlm,Authors' UVLM reference,author_reference,0.00781250,-0.92387713,0.06504205,-0.23911699657865743,0.01683412127251041,-0.01683412127251041
paper_uvlm,Authors' UVLM reference,author_reference,0.01562500,-0.72177488,0.0652059,-0.1868090852205865,0.016876528773050455,-0.016876528773050455
paper_uvlm,Authors' UVLM reference,author_reference,0.02343750,-0.5333481,0.0652059,-0.13804064594924373,0.016876528773050455,-0.016876528773050455
paper_uvlm,Authors' UVLM reference,author_reference,0.03125000,-0.35949054,0.05228796,-0.09304299828618955,0.013533119877558801,-0.013533119877558801
paper_uvlm,Authors' UVLM reference,author_reference,0.03906250,-0.1166714,0.00600367,-0.030196780338774237,0.0015538641365106507,-0.0015538641365106507
paper_uvlm,Authors' UVLM reference,author_reference,0.04687500,0.07733913,-0.03141617,0.020016839775659715,-0.00813110312017846,0.00813110312017846
paper_uvlm,Authors' UVLM reference,author_reference,0.05468750,0.24725207,-0.08605292,0.06399354465702162,-0.02227213458268361,0.02227213458268361
paper_uvlm,Authors' UVLM reference,author_reference,0.06250000,0.44845521,-0.16375841,0.11606874922345041,-0.04238379530370708,0.04238379530370708
paper_uvlm,Authors' UVLM reference,author_reference,0.07031250,0.61430029,-0.24361732,0.15899261446400156,-0.06305280213283523,0.06305280213283523
paper_uvlm,Authors' UVLM reference,author_reference,0.07812500,0.76986182,-0.3188156,0.19925490111328872,-0.08251554915578721,0.08251554915578721
paper_uvlm,Authors' UVLM reference,author_reference,0.08593750,0.90123889,-0.39400377,0.23325778891905574,-0.1019756795181932,0.1019756795181932
paper_uvlm,Authors' UVLM reference,author_reference,0.09375000,1.09804393,-0.51439742,0.28419468144321913,-0.1331358490476003,0.1331358490476003
paper_uvlm,Authors' UVLM reference,author_reference,0.10156250,1.30764075,-0.63784437,0.33844233025214404,-0.16508627076741894,0.16508627076741894
paper_uvlm,Authors' UVLM reference,author_reference,0.10937500,1.50046707,-0.76766013,0.38834945426517714,-0.19868506180987694,0.19868506180987694
paper_uvlm,Authors' UVLM reference,author_reference,0.11718750,1.63433337,-0.87436157,0.4229966022025847,-0.22630142662174085,0.22630142662174085
paper_uvlm,Authors' UVLM reference,author_reference,0.12500000,1.75401051,-0.99354305,0.45397132529798545,-0.257147863469246,0.257147863469246
paper_uvlm,Authors' UVLM reference,author_reference,0.13281250,1.92671595,-1.12456896,0.4986707823627961,-0.29105986437913484,0.29105986437913484
paper_uvlm,Authors' UVLM reference,author_reference,0.14062500,2.10612052,-1.26542282,0.5451041018572245,-0.327515525923339,0.327515525923339
paper_uvlm,Authors' UVLM reference,author_reference,0.14843750,2.30369294,-1.4352988,0.5962396069402186,-0.3714826648527939,0.3714826648527939
paper_uvlm,Authors' UVLM reference,author_reference,0.15625000,2.47244885,-1.56661373,0.6399168504218256,-0.40546946964309827,0.40546946964309827
paper_uvlm,Authors' UVLM reference,author_reference,0.16406250,2.64140698,-1.71102623,0.6836464322907332,-0.44284617499396606,0.44284617499396606
paper_uvlm,Authors' UVLM reference,author_reference,0.17187500,2.8528683,-1.8831963,0.7383766492092516,-0.48740706810660017,0.48740706810660017
paper_uvlm,Authors' UVLM reference,author_reference,0.17968750,3.05122088,-2.04984335,0.789714074558473,-0.5305384984567523,0.5305384984567523
paper_uvlm,Authors' UVLM reference,author_reference,0.18750000,3.2338514,-2.19706433,0.8369823313514498,-0.5686420919194095,0.5686420919194095
paper_uvlm,Authors' UVLM reference,author_reference,0.19531250,3.40956444,-2.33535127,0.8824602125763109,-0.6044333856803591,0.6044333856803591
paper_uvlm,Authors' UVLM reference,author_reference,0.20312500,3.64542649,-2.52205893,0.943505803133234,-0.6527568839548852,0.6527568839548852
paper_uvlm,Authors' UVLM reference,author_reference,0.21093750,3.82699514,-2.65375466,0.9904992277467877,-0.6868422470375646,0.6868422470375646
paper_uvlm,Authors' UVLM reference,author_reference,0.21875000,4.00651179,-2.78501798,1.036961555679791,-0.7208156941769512,0.7208156941769512
paper_uvlm,Authors' UVLM reference,author_reference,0.22656250,4.1830445,-2.9175897,1.0826515831113515,-0.75512778015495,0.75512778015495
paper_uvlm,Authors' UVLM reference,author_reference,0.23437500,4.40471932,-3.05639377,1.1400252483470243,-0.7910529170086934,0.7910529170086934
paper_uvlm,Authors' UVLM reference,author_reference,0.24218750,4.57363104,-3.16911176,1.183742818424049,-0.8202264795463688,0.8202264795463688
paper_uvlm,Authors' UVLM reference,author_reference,0.25000000,4.72891334,-3.25838816,1.223932835031372,-0.8433329121445595,0.8433329121445595
paper_uvlm,Authors' UVLM reference,author_reference,0.25781250,4.92535479,-3.35176863,1.2747756235389265,-0.8675015562211842,0.8675015562211842
paper_uvlm,Authors' UVLM reference,author_reference,0.26562500,5.07263902,-3.41924744,1.3128955873061867,-0.8849663573900386,0.8849663573900386
paper_uvlm,Authors' UVLM reference,author_reference,0.27343750,5.19585123,-3.45714938,1.3447852538433578,-0.8947761013083717,0.8947761013083717
paper_uvlm,Authors' UVLM reference,author_reference,0.28125000,5.30826681,-3.48138707,1.373880546913604,-0.9010492770896624,0.9010492770896624
paper_uvlm,Authors' UVLM reference,author_reference,0.28906250,5.44144696,-3.49709217,1.4083501061632144,-0.9051140560749021,0.9051140560749021
paper_uvlm,Authors' UVLM reference,author_reference,0.29687500,5.53535293,-3.48463406,1.4326547596480403,-0.90188965994092,0.90188965994092
paper_uvlm,Authors' UVLM reference,author_reference,0.30468750,5.59553274,-3.44686818,1.4482304406066915,-0.8921151309418636,0.8921151309418636
paper_uvlm,Authors' UVLM reference,author_reference,0.31250000,5.6518442,-3.38004905,1.4628049189122203,-0.8748210675206824,0.8748210675206824
paper_uvlm,Authors' UVLM reference,author_reference,0.32031250,5.68806908,-3.30169904,1.4721806077627737,-0.8545425927487094,0.8545425927487094
paper_uvlm,Authors' UVLM reference,author_reference,0.32812500,5.68806908,-3.20779222,1.4721806077627737,-0.8302377192676951,0.8302377192676951
paper_uvlm,Authors' UVLM reference,author_reference,0.33593750,5.67717377,-3.10306493,1.4693606940324775,-0.8031323020737203,0.8031323020737203
paper_uvlm,Authors' UVLM reference,author_reference,0.34375000,5.63376969,-2.94205602,1.4581268914933243,-0.7614601297345226,0.7614601297345226
paper_uvlm,Authors' UVLM reference,author_reference,0.35156250,5.58583722,-2.80994069,1.4457210553785191,-0.7272661661805182,0.7272661661805182
paper_uvlm,Authors' UVLM reference,author_reference,0.35937500,5.51413054,-2.64971977,1.4271620009334471,-0.6857979406606709,0.6857979406606709
paper_uvlm,Authors' UVLM reference,author_reference,0.36718750,5.38248037,-2.48066234,1.3930884296464625,-0.6420426580605846,0.6420426580605846
paper_uvlm,Authors' UVLM reference,author_reference,0.37500000,5.20420757,-2.25560495,1.34694803378271,-0.583793519287519,0.583793519287519
paper_uvlm,Authors' UVLM reference,author_reference,0.38281250,5.04969736,-2.06746358,1.3069578487719198,-0.535098949559839,0.535098949559839
paper_uvlm,Authors' UVLM reference,author_reference,0.39062500,4.88022155,-1.8790368,1.2630942814597437,-0.4863305102884962,0.4863305102884962
paper_uvlm,Authors' UVLM reference,author_reference,0.39843750,4.69868579,-1.69187148,1.2161093694045833,-0.43788856088978856,0.43788856088978856
paper_uvlm,Authors' UVLM reference,author_reference,0.40625000,4.41820792,-1.45640807,1.1435163549187946,-0.37694614595700515,0.37694614595700515
paper_uvlm,Authors' UVLM reference,author_reference,0.41406250,4.1927794,-1.28101365,1.08517116063352,-0.33155072965629473,0.33155072965629473
paper_uvlm,Authors' UVLM reference,author_reference,0.42187500,3.93571897,-1.09733147,1.0186390256072764,-0.2840102832263454,0.2840102832263454
paper_uvlm,Authors' UVLM reference,author_reference,0.42968750,3.64495121,-0.89619594,0.9433827916174775,-0.23195257741555597,0.23195257741555597
paper_uvlm,Authors' UVLM reference,author_reference,0.43750000,3.38236967,-0.73370758,0.8754216881731283,-0.18989749524008134,0.18989749524008134
paper_uvlm,Authors' UVLM reference,author_reference,0.44531250,3.0997295,-0.58946089,0.8022690292661141,-0.152563704675082,0.152563704675082
paper_uvlm,Authors' UVLM reference,author_reference,0.45312500,2.82976088,-0.4583102,0.7323960088300687,-0.1186194083247453,0.1186194083247453
paper_uvlm,Authors' UVLM reference,author_reference,0.46093750,2.49992294,-0.31385878,0.6470276681606862,-0.08123262973664214,0.08123262973664214
paper_uvlm,Authors' UVLM reference,author_reference,0.46875000,2.24783689,-0.21165682,0.5817829974160199,-0.054780816041836114,0.054780816041836114
paper_uvlm,Authors' UVLM reference,author_reference,0.47656250,2.00396595,-0.13303238,0.5186645535969658,-0.03443131355931568,0.03443131355931568
paper_uvlm,Authors' UVLM reference,author_reference,0.48437500,1.71355831,-0.05530867,0.4435015255216892,-0.014314937155290435,0.014314937155290435
