model,phase,CL_alpha,CD_alpha,CL,CD,CT
fluxv_periodic_v3_persistent,0.0,-1.3165749835596845,-0.3083152073356769,-0.34075468005078446,-0.0797978475532056,0.0797978475532056
fluxv_periodic_v3_persistent,0.0078125,-1.0533981934950185,-0.2644174581962311,-0.27263951455310104,-0.06843627403878422,0.06843627403878422
fluxv_periodic_v3_persistent,0.015625,-0.8028544356951097,-0.2365345819438762,-0.20779401840293144,-0.06121965463243798,0.06121965463243798
fluxv_periodic_v3_persistent,0.0234375,-0.5653204623977359,-0.2237376993335135,-0.1463157022546975,-0.057907577694934854,0.057907577694934854
fluxv_periodic_v3_persistent,0.03125,-0.3407059532194675,-0.22499818978186742,-0.08818118947300668,-0.058233816629138666,0.058233816629138666
fluxv_periodic_v3_persistent,0.0390625,-0.12849962704741222,-0.23925294912755826,-0.033258150768441276,-0.0619232198311566,0.0619232198311566
fluxv_periodic_v3_persistent,0.046875,0.07216923225996372,-0.2654607723059068,0.018678771779305842,-0.06870630360039248,0.06870630360039248
fluxv_periodic_v3_persistent,0.0546875,0.2624590531022242,-0.30264701621234713,0.06792940150242946,-0.0783308117392068,0.0783308117392068
fluxv_periodic_v3_persistent,0.0625,0.4437394954757676,-0.34993510894781504,0.11484823249331248,-0.09056987074572005,0.09056987074572005
fluxv_periodic_v3_persistent,0.0703125,0.6175152739772307,-0.40656481087578367,0.15982471354700833,-0.10522671612315727,0.10522671612315727
fluxv_periodic_v3_persistent,0.078125,0.7853545054917311,-0.47189822577038,0.20326470317833223,-0.12213624817946349,0.12213624817946349
fluxv_periodic_v3_persistent,0.0859375,0.9488246892598748,-0.5454153082128358,0.24557390004393678,-0.1411638692559432,0.1411638692559432
fluxv_periodic_v3_persistent,0.09375,1.1094382372652634,-0.6267009988607537,0.2871437451692193,-0.1622021540899362,0.1622021540899362
fluxv_periodic_v3_persistent,0.1015625,1.2686083700930477,-0.7154261904354069,0.32834000695654786,-0.18516592344982616,0.18516592344982616
fluxv_periodic_v3_persistent,0.109375,1.4276152861584088,-0.8113245710524114,0.36949402513728125,-0.20998625074799737,0.20998625074799737
fluxv_periodic_v3_persistent,0.1171875,1.5875818495222884,-0.9141671048361839,0.4108964183154525,-0.23660385713783708,0.23660385713783708
fluxv_periodic_v3_persistent,0.125,1.7494576230329968,-1.0237355779611792,0.4527929514407259,-0.2649622647253896,0.2649622647253896
fluxv_periodic_v3_persistent,0.1328125,1.9140098659442912,-1.1397963230432104,0.4953822058205052,-0.295000995941408,0.295000995941408
fluxv_periodic_v3_persistent,0.140625,2.08182007030655,-1.262074971833081,0.5388146826720038,-0.3266490390576288,0.3266490390576288
fluxv_periodic_v3_persistent,0.1484375,2.2532846780852682,-1.390232888568153,0.58319298872617,-0.35981874868932845,0.35981874868932845
fluxv_periodic_v3_persistent,0.15625,2.4286187586612478,-1.5238458018698773,0.6285727880347735,-0.39440031532344666,0.39440031532344666
