model,theta_max_deg,phase_offset_deg,CT,persistence_fraction,profile_drag_reference_fraction_chord
fluxv_periodic_v3_persistent,15.0,15.0,0.24106126278143447,0.0,0.75
fluxv_periodic_v3_mean_passthrough,15.0,15.0,0.2528625761489841,0.0,0.75
fluxv_periodic_v3_persistent,15.0,30.0,0.22784656112246976,0.0,0.75
fluxv_periodic_v3_mean_passthrough,15.0,30.0,0.2390292980451087,0.0,0.75
fluxv_periodic_v3_persistent,15.0,45.0,0.21339525296360384,0.0,0.75
fluxv_periodic_v3_mean_passthrough,15.0,45.0,0.2253693931765503,0.0,0.75
fluxv_periodic_v3_persistent,15.0,60.0,0.19887049634868287,0.0,0.75
fluxv_periodic_v3_mean_passthrough,15.0,60.0,0.21327629031575684,0.0,0.75
fluxv_periodic_v3_persistent,15.0,75.0,0.18540634210909426,0.0,0.75
fluxv_periodic_v3_mean_passthrough,15.0,75.0,0.2038973017548509,0.0,0.75
fluxv_periodic_v3_persistent,15.0,90.0,0.17399372430036975,0.0,0.75
fluxv_periodic_v3_mean_passthrough,15.0,90.0,0.1979786918839416,0.0,0.75
fluxv_periodic_v3_persistent,15.0,105.0,0.16538741657136302,0.0,0.75
fluxv_periodic_v3_mean_passthrough,15.0,105.0,0.19579865840338928,0.0,0.75
fluxv_periodic_v3_persistent,25.0,45.0,0.13046961129248708,0.0,0.75
fluxv_periodic_v3_mean_passthrough,25.0,45.0,0.12272455494353506,0.0,0.75
fluxv_periodic_v3_persistent,25.0,60.0,0.10413382955535783,0.0,0.75
fluxv_periodic_v3_mean_passthrough,25.0,60.0,0.09928267586544728,0.0,0.75
fluxv_periodic_v3_persistent,25.0,75.0,0.0803945667000466,0.0,0.75
fluxv_periodic_v3_mean_passthrough,25.0,75.0,0.08113604714876627,0.0,0.75
fluxv_periodic_v3_persistent,25.0,90.0,0.061100067115113565,0.0,0.75
fluxv_periodic_v3_mean_passthrough,25.0,90.0,0.06976388367981044,0.0,0.75
fluxv_periodic_v3_persistent,25.0,105.0,0.047554789262666264,0.0,0.75
fluxv_periodic_v3_mean_passthrough,25.0,105.0,0.06560607009834393,0.0,0.75
