model,model_label,theta_max_deg,observation_count,MAE_CT,RMSE_CT,bias_CT,max_abs_error_CT,range_NRMSE,RMS_uncertainty_units
authors_1state_ullt,Authors' one-state ULLT,all,14,0.045836362000000005,0.06321186471439749,0.04539229871428572,0.14609072499999998,0.2843319048639634,5.657184536404585
authors_1state_ullt,Authors' one-state ULLT,15.0,9,0.04600333188888888,0.06991896118818859,0.045312566777777764,0.14609072499999998,0.6283201675284308,6.248620018666982
authors_1state_ullt,Authors' one-state ULLT,25.0,5,0.04553581620000001,0.04887209340038398,0.04553581620000001,0.067857123,0.5188326309386804,4.396476931951774
authors_6state_ullt,Authors' six-state ULLT,all,14,0.050136246285714274,0.06703650983157537,0.050136246285714274,0.15293179299999998,0.3015354573380001,5.999715968683075
authors_6state_ullt,Authors' six-state ULLT,15.0,9,0.051253613111111096,0.07430870953369843,0.051253613111111096,0.15293179299999998,0.6677682280972187,6.641411263185544
authors_6state_ullt,Authors' six-state ULLT,25.0,5,0.048124986,0.05141683049841276,0.048124986,0.071428392,0.5458478977659278,4.625520333265861
authors_qs_added_mass,Authors' quasi-steady + added mass,all,14,0.09781366307142858,0.11207894056970873,0.09781366307142858,0.22442432299999998,0.5041398289910262,10.03519493754955
authors_qs_added_mass,Authors' quasi-steady + added mass,15.0,9,0.11286872744444443,0.12783496934631008,0.11286872744444443,0.22442432299999998,1.1487769267549421,11.434771006989266
authors_qs_added_mass,Authors' quasi-steady + added mass,25.0,5,0.0707145472,0.075878363687217,0.0707145472,0.11473223399999999,0.8055347811815139,6.827679433660322
fluxv_periodic_v1,FluxV v1 (UVLM/polar + source Cd0),all,14,0.18331375220940946,0.22259793067358163,-0.1678645495334859,0.37980800320433045,1.0012628789414635,19.91598808681198
fluxv_periodic_v1,FluxV v1 (UVLM/polar + source Cd0),15.0,9,0.20674549035832454,0.24320257798662476,-0.2003561831739486,0.37980800320433045,2.185517089314484,21.74938718183046
fluxv_periodic_v1,FluxV v1 (UVLM/polar + source Cd0),25.0,5,0.1411366235413623,0.17964982432954746,-0.10937960898065305,0.32377807841265077,1.9071863822358495,16.09800953888382
fluxv_periodic_v2,FluxV v2 (UVLM/ULLT/polar + source Cd0),all,14,0.18331375220940946,0.22259793067358163,-0.1678645495334859,0.37980800320433045,1.0012628789414635,19.91598808681198
fluxv_periodic_v2,FluxV v2 (UVLM/ULLT/polar + source Cd0),15.0,9,0.20674549035832454,0.24320257798662476,-0.2003561831739486,0.37980800320433045,2.185517089314484,21.74938718183046
fluxv_periodic_v2,FluxV v2 (UVLM/ULLT/polar + source Cd0),25.0,5,0.1411366235413623,0.17964982432954746,-0.10937960898065305,0.32377807841265077,1.9071863822358495,16.09800953888382
fluxv_uvpm,FluxV old (UVLM + source Cd0),all,14,0.03484069088542465,0.05114662300705755,0.02698264674424514,0.12752479964265884,0.2300615052674341,4.5738063738157795
fluxv_uvpm,FluxV old (UVLM + source Cd0),15.0,9,0.04115470590685577,0.059995752058883904,0.03206724225672354,0.12752479964265884,0.5391461821518053,5.361494426551266
fluxv_uvpm,FluxV old (UVLM + source Cd0),25.0,5,0.023475463846848628,0.02908011775892706,0.017830374821784033,0.0537732778104921,0.30871839029412695,2.6140108668001845
one_state_ullt_local,Local one-state ULLT + source Cd0,all,14,0.033879199452801156,0.04636083952617762,0.015025232861737884,0.11572348627510921,0.20853467736047082,4.146454864083454
one_state_ullt_local,Local one-state ULLT + source Cd0,15.0,9,0.042223465266398495,0.05525857291916686,0.015117972640626868,0.11572348627510921,0.4965759674332546,4.940318705511469
one_state_ullt_local,Local one-state ULLT + source Cd0,25.0,5,0.018859520988325957,0.022842921233686284,0.014858301259737711,0.03572199697481443,0.24250348404157748,2.0514624515257456
