series,model_label,data_role,theta_max_deg,phase_offset_deg,observation_id,replicate,CT,CT_error_minus,CT_error_plus,mean_thrust_n,mean_drag_n,profile_drag_coefficient
scherer_1968_experiment,Scherer 1968 experiment,experimental_observation,15.0,15.0,obs_01,1,0.123091624,0.011190235,0.011190029,,,
scherer_1968_experiment,Scherer 1968 experiment,experimental_observation,15.0,15.0,obs_02,2,0.144850206,0.011190269,0.011190064,,,
scherer_1968_experiment,Scherer 1968 experiment,experimental_observation,15.0,30.0,obs_03,1,0.179661361,0.011187596,0.011192668,,,
scherer_1968_experiment,Scherer 1968 experiment,experimental_observation,15.0,45.0,obs_04,1,0.234370817,0.011189755,0.011190509,,,
scherer_1968_experiment,Scherer 1968 experiment,experimental_observation,15.0,60.0,obs_05,1,0.230641242,0.011192805,0.011190064,,,
scherer_1968_experiment,Scherer 1968 experiment,experimental_observation,15.0,75.0,obs_06,1,0.212612201,0.011189687,0.011190509,,,
scherer_1968_experiment,Scherer 1968 experiment,experimental_observation,15.0,75.0,obs_07,2,0.205152638,0.011190235,0.010568313,,,
scherer_1968_experiment,Scherer 1968 experiment,experimental_observation,15.0,90.0,obs_08,1,0.191475779,0.011190235,0.011190029,,,
scherer_1968_experiment,Scherer 1968 experiment,experimental_observation,15.0,105.0,obs_09,1,0.163500449,0.011190269,0.011190064,,,
scherer_1968_experiment,Scherer 1968 experiment,experimental_observation,25.0,45.0,obs_10,1,0.095981895,0.011160582,0.011160779,,,
scherer_1968_experiment,Scherer 1968 experiment,experimental_observation,25.0,60.0,obs_11,1,0.106249906,0.011160952,0.011160459,,,
scherer_1968_experiment,Scherer 1968 experiment,experimental_observation,25.0,75.0,obs_12,1,0.084374756,0.01116041,0.011161001,,,
scherer_1968_experiment,Scherer 1968 experiment,experimental_observation,25.0,90.0,obs_13,1,0.043303596,0.010714543,0.011160607,,,
scherer_1968_experiment,Scherer 1968 experiment,experimental_observation,25.0,105.0,obs_14,1,0.012053646,0.011160779,0.011160632,,,
authors_6state_ullt,Authors' six-state ULLT,numerical_reference,15.0,15.0,,1,0.276023417,,,,,0.057
