theta_max_deg,phase_offset_deg,profile_drag_coefficient,model,CT
15.0,15.0,0.000,fluxv_uvpm,0.3151244611902669
15.0,15.0,0.000,fluxv_periodic_v1,-0.1704497596567224
15.0,15.0,0.000,fluxv_periodic_v2,-0.1704497596567224
15.0,15.0,0.000,one_state_ullt_local,0.30332314782271724
15.0,15.0,0.027,fluxv_uvpm,0.2845680223519263
15.0,15.0,0.027,fluxv_periodic_v1,-0.20100619849506304
15.0,15.0,0.027,fluxv_periodic_v2,-0.20100619849506304
15.0,15.0,0.027,one_state_ullt_local,0.2727667089843766
15.0,15.0,0.057,fluxv_uvpm,0.25061642364265885
15.0,15.0,0.057,fluxv_periodic_v1,-0.23495779720433044
15.0,15.0,0.057,fluxv_periodic_v2,-0.23495779720433044
15.0,15.0,0.057,one_state_ullt_local,0.2388151102751092
15.0,30.0,0.000,fluxv_uvpm,0.30129118308639147
15.0,30.0,0.000,fluxv_periodic_v1,-0.07702288282477257
15.0,30.0,0.000,fluxv_periodic_v2,-0.07702288282477257
15.0,30.0,0.000,one_state_ullt_local,0.29010844616375253
15.0,30.0,0.027,fluxv_uvpm,0.27083315191112295
15.0,30.0,0.027,fluxv_periodic_v1,-0.10748091400004106
15.0,30.0,0.027,fluxv_periodic_v2,-0.10748091400004106
15.0,30.0,0.027,one_state_ullt_local,0.25965041498848407
15.0,30.0,0.057,fluxv_uvpm,0.23699089504971355
15.0,30.0,0.057,fluxv_periodic_v1,-0.1413231708614505
15.0,30.0,0.057,fluxv_periodic_v2,-0.1413231708614505
15.0,30.0,0.057,one_state_ullt_local,0.22580815812707464
15.0,45.0,0.000,fluxv_uvpm,0.2876312782178331
15.0,45.0,0.000,fluxv_periodic_v1,0.010354560377077913
15.0,45.0,0.000,fluxv_periodic_v2,0.010354560377077913
15.0,45.0,0.000,one_state_ullt_local,0.2756571380048866
15.0,45.0,0.027,fluxv_uvpm,0.2573284343164551
15.0,45.0,0.027,fluxv_periodic_v1,-0.019948283524300076
15.0,45.0,0.027,fluxv_periodic_v2,-0.019948283524300076
15.0,45.0,0.027,one_state_ullt_local,0.24535429410350862
15.0,45.0,0.057,fluxv_uvpm,0.22365860775936844
15.0,45.0,0.057,fluxv_periodic_v1,-0.053618110081386734
15.0,45.0,0.057,fluxv_periodic_v2,-0.053618110081386734
15.0,45.0,0.057,one_state_ullt_local,0.21168446754642195
15.0,60.0,0.000,fluxv_uvpm,0.2755381753570396
15.0,60.0,0.000,fluxv_periodic_v1,0.08717101000564546
15.0,60.0,0.000,fluxv_periodic_v2,0.08717101000564546
15.0,60.0,0.000,one_state_ullt_local,0.26113238138996564
15.0,60.0,0.027,fluxv_uvpm,0.24543789451734713
15.0,60.0,0.027,fluxv_periodic_v1,0.057070729165953016
15.0,60.0,0.027,fluxv_periodic_v2,0.057070729165953016
15.0,60.0,0.027,one_state_ullt_local,0.23103210055027315
15.0,60.0,0.057,fluxv_uvpm,0.21199313802880002
15.0,60.0,0.057,fluxv_periodic_v1,0.02362597267740586
15.0,60.0,0.057,fluxv_periodic_v2,0.02362597267740586
15.0,60.0,0.057,one_state_ullt_local,0.19758734406172604
15.0,75.0,0.000,fluxv_uvpm,0.2661591867961337
15.0,75.0,0.000,fluxv_periodic_v1,0.1521005393694211
15.0,75.0,0.000,fluxv_periodic_v2,0.1521005393694211
15.0,75.0,0.000,one_state_ullt_local,0.24766822715037706
15.0,75.0,0.027,fluxv_uvpm,0.2362965217894422
15.0,75.0,0.027,fluxv_periodic_v1,0.12223787436272958
15.0,75.0,0.027,fluxv_periodic_v2,0.12223787436272958
15.0,75.0,0.027,one_state_ullt_local,0.21780556214368554
15.0,75.0,0.057,fluxv_uvpm,0.20311578289311827
15.0,75.0,0.057,fluxv_periodic_v1,0.08905713546640565
15.0,75.0,0.057,fluxv_periodic_v2,0.08905713546640565
15.0,75.0,0.057,one_state_ullt_local,0.18462482324736162
15.0,90.0,0.000,fluxv_uvpm,0.26024057692522434
15.0,90.0,0.000,fluxv_periodic_v1,0.21551407610654788
15.0,90.0,0.000,fluxv_periodic_v2,0.21551407610654788
15.0,90.0,0.000,one_state_ullt_local,0.2362556093416525
15.0,90.0,0.027,fluxv_uvpm,0.23063573664393675
15.0,90.0,0.027,fluxv_periodic_v1,0.18590923582526028
15.0,90.0,0.027,fluxv_periodic_v2,0.18590923582526028
15.0,90.0,0.027,one_state_ullt_local,0.2066507690603649
15.0,90.0,0.057,fluxv_uvpm,0.1977414696647283
15.0,90.0,0.057,fluxv_periodic_v1,0.1530149688460518
15.0,90.0,0.057,fluxv_periodic_v2,0.1530149688460518
15.0,90.0,0.057,one_state_ullt_local,0.17375650208115645
15.0,105.0,0.000,fluxv_uvpm,0.25806054344467205
15.0,105.0,0.000,fluxv_periodic_v1,0.2541999010380164
15.0,105.0,0.000,fluxv_periodic_v2,0.2541999010380164
15.0,105.0,0.000,one_state_ullt_local,0.22764930161264577
15.0,105.0,0.027,fluxv_uvpm,0.22871695779336035
15.0,105.0,0.027,fluxv_periodic_v1,0.22485631538670464
15.0,105.0,0.027,fluxv_periodic_v2,0.22485631538670464
15.0,105.0,0.027,one_state_ullt_local,0.19830571596133406
15.0,105.0,0.057,fluxv_uvpm,0.1961129737363473
15.0,105.0,0.057,fluxv_periodic_v1,0.19225233132969163
15.0,105.0,0.057,fluxv_periodic_v2,0.19225233132969163
15.0,105.0,0.057,one_state_ullt_local,0.16570173190432105
25.0,45.0,0.000,fluxv_uvpm,0.18498643998481784
25.0,45.0,0.000,fluxv_periodic_v1,-0.16249850625141368
25.0,45.0,0.000,fluxv_periodic_v2,-0.16249850625141368
25.0,45.0,0.000,one_state_ullt_local,0.19273149633376987
25.0,45.0,0.027,fluxv_uvpm,0.15405596132949498
25.0,45.0,0.027,fluxv_periodic_v1,-0.19342898490673655
25.0,45.0,0.027,fluxv_periodic_v2,-0.19342898490673655
25.0,45.0,0.027,one_state_ullt_local,0.16180101767844704
25.0,45.0,0.057,fluxv_uvpm,0.11968876282358074
25.0,45.0,0.057,fluxv_periodic_v1,-0.2277961834126508
25.0,45.0,0.057,fluxv_periodic_v2,-0.2277961834126508
25.0,45.0,0.057,one_state_ullt_local,0.1274338191725328
25.0,60.0,0.000,fluxv_uvpm,0.16154456090673008
25.0,60.0,0.000,fluxv_periodic_v1,-0.04052837685475936
25.0,60.0,0.000,fluxv_periodic_v2,-0.04052837685475936
25.0,60.0,0.000,one_state_ullt_local,0.16639571459664063
25.0,60.0,0.027,fluxv_uvpm,0.13093684769518277
25.0,60.0,0.027,fluxv_periodic_v1,-0.07113609006630665
25.0,60.0,0.027,fluxv_periodic_v2,-0.07113609006630665
25.0,60.0,0.027,one_state_ullt_local,0.1357880013850933
25.0,60.0,0.057,fluxv_uvpm,0.09692827746013025
25.0,60.0,0.057,fluxv_periodic_v1,-0.10514466030135917
25.0,60.0,0.057,fluxv_periodic_v2,-0.10514466030135917
25.0,60.0,0.057,one_state_ullt_local,0.10177943115004079
25.0,75.0,0.000,fluxv_uvpm,0.14339793219004904
25.0,75.0,0.000,fluxv_periodic_v1,0.05707108962181235
25.0,75.0,0.000,fluxv_periodic_v2,0.05707108962181235
25.0,75.0,0.000,one_state_ullt_local,0.14265645174132938
25.0,75.0,0.027,fluxv_uvpm,0.11317011998396657
25.0,75.0,0.027,fluxv_periodic_v1,0.02684327741572988
25.0,75.0,0.027,fluxv_periodic_v2,0.02684327741572988
25.0,75.0,0.027,one_state_ullt_local,0.11242863953524691
25.0,75.0,0.057,fluxv_uvpm,0.07958366197720826
25.0,75.0,0.057,fluxv_periodic_v1,-0.006743180591028429
25.0,75.0,0.057,fluxv_periodic_v2,-0.006743180591028429
25.0,75.0,0.057,one_state_ullt_local,0.0788421815284886
25.0,90.0,0.000,fluxv_uvpm,0.13202576872109323
25.0,90.0,0.000,fluxv_periodic_v1,0.1318605762748654
25.0,90.0,0.000,fluxv_periodic_v2,0.1318605762748654
25.0,90.0,0.000,one_state_ullt_local,0.12336195215639635
25.0,90.0,0.027,fluxv_uvpm,0.10221316371307956
25.0,90.0,0.027,fluxv_periodic_v1,0.10204797126685172
25.0,90.0,0.027,fluxv_periodic_v2,0.10204797126685172
25.0,90.0,0.027,one_state_ullt_local,0.09354934714838269
25.0,90.0,0.057,fluxv_uvpm,0.06908804703750882
25.0,90.0,0.057,fluxv_periodic_v1,0.06892285459128097
25.0,90.0,0.057,fluxv_periodic_v2,0.06892285459128097
25.0,90.0,0.057,one_state_ullt_local,0.06042423047281193
25.0,105.0,0.000,fluxv_uvpm,0.1278679551396267
25.0,105.0,0.000,fluxv_periodic_v1,0.1278679551396267
25.0,105.0,0.000,fluxv_periodic_v2,0.1278679551396267
25.0,105.0,0.000,one_state_ullt_local,0.10981667430394904
25.0,105.0,0.027,fluxv_uvpm,0.09848009819424716
25.0,105.0,0.027,fluxv_periodic_v1,0.09848009819424716
25.0,105.0,0.027,fluxv_periodic_v2,0.09848009819424716
25.0,105.0,0.027,one_state_ullt_local,0.08042881735856948
25.0,105.0,0.057,fluxv_uvpm,0.0658269238104921
25.0,105.0,0.057,fluxv_periodic_v1,0.0658269238104921
25.0,105.0,0.057,fluxv_periodic_v2,0.0658269238104921
25.0,105.0,0.057,one_state_ullt_local,0.04777564297481443
