phase,paper_uvlm_CLalpha,paper_uvlm_CDalpha,6_state_CLalpha,6_state_CDalpha,1_state_CLalpha,1_state_CDalpha,qs_added_mass_CLalpha,qs_added_mass_CDalpha
0.00000000,-1.22024613,0.04180129,-1.25334351,-0.29176213,-1.24391999,-0.28233860,-1.10960171,-0.23460416
0.00781250,-0.92387713,0.06504205,-0.93826460,-0.23531353,-0.93826460,-0.23531353,-0.72411982,-0.17815557
0.01562500,-0.72177488,0.06520590,-0.69876581,-0.21639862,-0.71315810,-0.21639862,-0.41415501,-0.14484837
0.02343750,-0.53334810,0.06520590,-0.47269043,-0.20660283,-0.48708273,-0.20660283,-0.13151484,-0.13505258
0.03125000,-0.35949054,0.05228796,-0.26134453,-0.20660283,-0.27573682,-0.20660283,0.14921833,-0.14797052
0.03906250,-0.11667140,0.00600367,-0.01016254,-0.22280458,-0.03072884,-0.22880219,0.48015067,-0.19425480
0.04687500,0.07733913,-0.03141617,0.17767397,-0.24769380,0.15056409,-0.24769380,0.73029625,-0.24439224
0.05468750,0.24725207,-0.08605292,0.36431358,-0.28631139,0.33319462,-0.28631139,0.97091293,-0.30311651
0.06250000,0.44845521,-0.16375841,0.57747349,-0.35316484,0.53439776,-0.34262285,1.23927957,-0.40365351
0.07031250,0.61430029,-0.24361732,0.74300851,-0.41332659,0.69806702,-0.41332659,1.47684378,-0.50573442
0.07812500,0.76986182,-0.31881560,0.90524039,-0.47611782,0.84808243,-0.47611782,1.68351969,-0.61816675
0.08593750,0.90123889,-0.39400377,1.06664897,-0.55140407,0.99833622,-0.55140407,1.89008493,-0.73088773
0.09375000,1.09804393,-0.51439742,1.25787635,-0.65959852,1.18632609,-0.64544525,2.14251318,-0.89818246
0.10156250,1.30764075,-0.63784437,1.40870362,-0.74568498,1.33715336,-0.73129269,2.33093996,-1.03836132
0.10937500,1.50046707,-0.76766013,1.55823805,-0.85319147,1.48609229,-0.82481810,2.51799077,-1.18500392
0.11718750,1.63433337,-0.87436157,1.72893458,-0.96757656,1.64318371,-0.93920318,2.73139364,-1.36926019
0.12500000,1.75401051,-0.99354305,1.89706818,-1.09383506,1.81112686,-1.05065818,2.92723081,-1.55163725
0.13281250,1.92671595,-1.12456896,2.04662463,-1.20604797,1.96096577,-1.16299863,3.10982218,-1.72000669
0.14062500,2.10612052,-1.26542282,2.20645536,-1.32795087,2.11149061,-1.28518520,3.28832020,-1.88976618
