series,data_role,theta_max_deg,phase_offset_deg,replicate,ct,ct_error_minus,ct_error_plus
scherer_1968_experiment,experimental_observation,15,15,1,0.123091624,0.011190235,0.011190029
scherer_1968_experiment,experimental_observation,15,15,2,0.144850206,0.011190269,0.011190064
scherer_1968_experiment,experimental_observation,15,30,1,0.179661361,0.011187596,0.011192668
scherer_1968_experiment,experimental_observation,15,45,1,0.234370817,0.011189755,0.011190509
scherer_1968_experiment,experimental_observation,15,60,1,0.230641242,0.011192805,0.011190064
scherer_1968_experiment,experimental_observation,15,75,1,0.212612201,0.011189687,0.011190509
scherer_1968_experiment,experimental_observation,15,75,2,0.205152638,0.011190235,0.010568313
scherer_1968_experiment,experimental_observation,15,90,1,0.191475779,0.011190235,0.011190029
scherer_1968_experiment,experimental_observation,15,105,1,0.163500449,0.011190269,0.011190064
scherer_1968_experiment,experimental_observation,25,45,1,0.095981895,0.011160582,0.011160779
scherer_1968_experiment,experimental_observation,25,60,1,0.106249906,0.011160952,0.011160459
scherer_1968_experiment,experimental_observation,25,75,1,0.084374756,0.011160410,0.011161001
scherer_1968_experiment,experimental_observation,25,90,1,0.043303596,0.010714543,0.011160607
scherer_1968_experiment,experimental_observation,25,105,1,0.012053646,0.011160779,0.011160632
authors_6state_ullt,numerical_reference,15,15,1,0.276023417,,
authors_6state_ullt,numerical_reference,15,30,1,0.261724911,,
authors_6state_ullt,numerical_reference,15,45,1,0.246804690,,
authors_6state_ullt,numerical_reference,15,60,1,0.232506184,,
authors_6state_ullt,numerical_reference,15,75,1,0.220072688,,
authors_6state_ullt,numerical_reference,15,90,1,0.210123315,,
authors_6state_ullt,numerical_reference,15,105,1,0.203287525,,
authors_1state_ullt,numerical_reference,15,15,1,0.269182349,,
authors_1state_ullt,numerical_reference,15,30,1,0.255508164,,
authors_1state_ullt,numerical_reference,15,45,1,0.241206985,,
authors_1state_ullt,numerical_reference,15,60,1,0.227532799,,
authors_1state_ullt,numerical_reference,15,75,1,0.214477588,,
authors_1state_ullt,numerical_reference,15,90,1,0.204530819,,
authors_1state_ullt,numerical_reference,15,105,1,0.197070777,,
authors_qs_added_mass,numerical_reference,15,15,1,0.347515947,,
authors_qs_added_mass,numerical_reference,15,30,1,0.323270603,,
authors_qs_added_mass,numerical_reference,15,45,1,0.302133702,,
authors_qs_added_mass,numerical_reference,15,60,1,0.285348470,,
authors_qs_added_mass,numerical_reference,15,75,1,0.274780054,,
authors_qs_added_mass,numerical_reference,15,90,1,0.271050033,,
authors_qs_added_mass,numerical_reference,15,105,1,0.274780054,,
authors_6state_ullt,numerical_reference,25,15,1,0.212946468,,
authors_6state_ullt,numerical_reference,25,30,1,0.186607232,,
authors_6state_ullt,numerical_reference,25,45,1,0.159375130,,
authors_6state_ullt,numerical_reference,25,60,1,0.133928712,,
authors_6state_ullt,numerical_reference,25,75,1,0.111606957,,
authors_6state_ullt,numerical_reference,25,90,1,0.094195892,,
authors_6state_ullt,numerical_reference,25,105,1,0.083482038,,
authors_1state_ullt,numerical_reference,25,15,1,0.208035728,,
authors_1state_ullt,numerical_reference,25,30,1,0.183482225,,
authors_1state_ullt,numerical_reference,25,45,1,0.157142989,,
authors_1state_ullt,numerical_reference,25,60,1,0.131696571,,
authors_1state_ullt,numerical_reference,25,75,1,0.109374815,,
authors_1state_ullt,numerical_reference,25,90,1,0.091517736,,
authors_1state_ullt,numerical_reference,25,105,1,0.079910769,,
authors_qs_added_mass,numerical_reference,25,30,1,0.212053601,,
authors_qs_added_mass,numerical_reference,25,45,1,0.175000118,,
authors_qs_added_mass,numerical_reference,25,60,1,0.145982284,,
authors_qs_added_mass,numerical_reference,25,75,1,0.127232338,,
authors_qs_added_mass,numerical_reference,25,90,1,0.120535915,,
authors_qs_added_mass,numerical_reference,25,105,1,0.126785880,,
