s_over_c,experiment_CL_leading_edge_axis,experiment_CL_mid_chord_axis,source_figure
0.00000000,-1.589376975,0.022484912,21
0.01000000,6.546412752,0.265884347,21
0.02000000,11.070177689,0.509283781,21
0.03000000,9.890534935,0.752683215,21
0.04000000,8.913919641,0.996082649,21
0.05000000,8.347666259,1.239482084,21
0.06000000,7.844273259,1.482881518,21
0.07000000,7.459282995,1.726280952,21
0.08000000,7.157184025,1.808095427,21
0.09000000,6.887451101,1.861974781,21
0.10000000,6.630807029,1.915854135,21
0.11000000,6.375673681,1.969733488,21
0.12000000,6.111065692,2.023612842,21
0.13000000,5.821306604,2.077492196,21
0.14000000,5.535094666,2.131371549,21
0.15000000,5.604319652,2.191770425,21
0.16000000,5.519870126,2.254799132,21
0.17000000,5.085481447,2.317827839,21
0.18000000,4.645559521,2.380856545,21
0.19000000,4.453095388,2.443885252,21
0.20000000,4.337461676,2.506913959,21
0.21000000,4.257535201,2.569942665,21
0.22000000,4.138828496,2.623244802,21
0.23000000,4.009405762,2.669284895,21
0.24000000,3.940073710,2.715324988,21
0.25000000,3.914974157,2.761365081,21
0.26000000,3.926309917,2.807405174,21
0.27000000,3.968948844,2.853445267,21
0.28000000,3.972175192,2.899485360,21
0.29000000,3.956161574,2.944904496,21
0.30000000,3.933346628,2.989478129,21
0.31000000,3.907669014,3.034051761,21
0.32000000,3.883219406,3.078625394,21
0.33000000,3.864233782,3.123199026,21
0.34000000,3.854961364,3.167772659,21
0.35000000,3.859736587,3.212346291,21
0.36000000,3.901792388,3.257762084,21
0.37000000,3.993126460,3.305307291,21
0.38000000,4.103211299,3.352852498,21
0.39000000,4.216350450,3.400397705,21
0.40000000,4.315075169,3.447942913,21
0.41000000,4.390041321,3.495488120,21
0.42000000,4.439607771,3.543033327,21
0.43000000,4.466949964,3.588526387,21
0.44000000,4.475709950,3.621758054,21
0.45000000,4.469332014,3.654989721,21
0.46000000,4.488222683,3.688221387,21
0.47000000,4.550153696,3.721453054,21
0.48000000,4.635342089,3.754684721,21
0.49000000,4.739868170,3.787916388,21
0.50000000,4.849680283,3.821148055,21
0.51000000,4.946761264,3.856676447,21
0.52000000,5.021401235,3.892218056,21
0.53000000,5.072551875,3.927759665,21
0.54000000,5.103985884,3.963301274,21
0.55000000,5.119238874,3.998842883,21
0.56000000,5.141796873,4.034384492,21
0.57000000,5.192229885,4.069926101,21
0.58000000,5.242586732,4.087297743,21
0.59000000,5.286062513,4.101569122,21
0.60000000,5.316050467,4.115840501,21
0.61000000,5.324386058,4.130111880,21
0.62000000,5.298879062,4.144383259,21
0.63000000,5.216916311,4.158654638,21
0.64000000,5.088202593,4.172926018,21
0.65000000,4.991037096,4.175693809,21
0.66000000,4.919419365,4.173858453,21
0.67000000,4.868150450,4.172023098,21
0.68000000,4.834167970,4.170187743,21
0.69000000,4.815120497,4.168352387,21
0.70000000,4.809511022,4.166517032,21
0.71000000,4.801887920,4.164681677,21
0.72000000,4.739711777,4.151045840,21
0.73000000,4.660215305,4.128328915,21
0.74000000,4.560263995,4.105611990,21
0.75000000,4.439212747,4.082895065,21
0.76000000,4.303019066,4.060178140,21
0.77000000,4.164910741,4.037461216,21
0.78000000,4.039361611,4.014744291,21
0.79000000,3.933529429,3.983185212,21
0.80000000,3.847785847,3.939667270,21
0.81000000,3.777679278,3.896149329,21
0.82000000,3.678685001,3.852631387,21
0.83000000,3.545353340,3.809113446,21
0.84000000,3.367175208,3.765595505,21
0.85000000,3.154282173,3.722077563,21
0.86000000,2.954040831,3.678960853,21
0.87000000,2.799330941,3.636850499,21
0.88000000,2.686172046,3.594740146,21
0.89000000,2.602838295,3.552629793,21
0.90000000,2.540840606,3.510519439,21
0.91000000,2.529964229,3.468409086,21
0.92000000,2.511561054,3.426298733,21
0.93000000,2.469484223,3.385481582,21
0.94000000,2.404853681,3.352288986,21
0.95000000,2.327057658,3.319096390,21
0.96000000,2.253552568,3.285903795,21
0.97000000,2.200178168,3.252711199,21
0.98000000,2.173313057,3.219518603,21
0.99000000,2.180610089,3.186326007,21
1.00000000,2.247277887,3.153133411,21
