Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
50.7,97053806,39,2488559.1,1013565.0,100928,14591295,3016548.9,cuLibraryLoadData
43.6,83425341,16382,5092.5,1841.0,1566,8337085,108351.1,cudaLaunchKernel
2.8,5373908,1107,4854.5,3904.0,360,401988,17575.1,cudaStreamSynchronize
1.5,2787294,1186,2350.2,1418.5,1118,15145,1878.2,cudaMemcpyAsync
0.4,763670,16382,46.6,44.0,35,426,20.5,cuKernelGetName
0.3,508153,2,254076.5,254076.5,8615,499538,347135.0,cudaHostAlloc
0.2,394779,16,24673.7,384.5,177,388648,97060.1,cuKernelGetFunction
0.2,345290,9,38365.6,30804.0,1728,97098,36556.1,cudaMalloc
0.1,228331,7,32618.7,14794.0,669,107397,44786.4,cudaFree
0.1,208487,1077,193.6,166.0,143,1977,111.1,cudaStreamIsCapturing_v10000
0.1,177144,1763,100.5,74.0,37,4364,141.2,cuGetProcAddress_v2
0.0,62915,16,3932.2,3431.5,1876,15718,3320.5,cuLaunchKernel
0.0,55721,60,928.7,442.0,130,4116,1098.4,cuLibraryGetKernel
0.0,39521,8,4940.1,4772.0,4041,6794,924.0,cudaMemsetAsync
0.0,26423,1,26423.0,26423.0,26423,26423,0.0,cuMemGetInfo_v2
0.0,17486,4,4371.5,994.0,457,15041,7121.7,cudaDeviceSynchronize
0.0,16946,36,470.7,162.0,151,7486,1237.4,cudaEventCreateWithFlags
0.0,5546,18,308.1,192.5,132,2079,449.9,cudaEventDestroy
0.0,3340,6,556.7,319.0,219,1137,445.1,cuInit
0.0,936,2,468.0,468.0,147,789,454.0,cuCtxSetCurrent
0.0,246,4,61.5,63.5,41,78,15.7,cuModuleGetLoadingMode
