Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
50.4,97081499,40,2427037.5,1339753.5,101937,14044685,2876677.5,cuLibraryLoadData
43.6,83982284,16516,5084.9,1854.0,1605,8273817,106537.7,cudaLaunchKernel
2.8,5397235,1141,4730.3,3938.0,359,406855,15990.1,cudaStreamSynchronize
1.5,2970686,1220,2435.0,1518.0,1144,16803,1914.1,cudaMemcpyAsync
0.4,853942,16516,51.7,48.0,36,4430,65.8,cuKernelGetName
0.3,558318,2,279159.0,279159.0,7614,550704,384022.6,cudaHostAlloc
0.2,376961,16,23560.1,439.0,163,370340,92475.0,cuKernelGetFunction
0.2,373477,9,41497.4,29482.0,1734,113351,40039.1,cudaMalloc
0.1,260096,7,37156.6,15157.0,418,118666,52223.0,cudaFree
0.1,226637,1111,204.0,174.0,144,4573,171.0,cudaStreamIsCapturing_v10000
0.1,169648,1763,96.2,73.0,37,2852,93.4,cuGetProcAddress_v2
0.0,63211,16,3950.7,3480.5,2197,16047,3327.6,cuLaunchKernel
0.0,57134,62,921.5,521.5,139,4704,1089.9,cuLibraryGetKernel
0.0,34688,8,4336.0,3933.5,3563,6800,1074.3,cudaMemsetAsync
0.0,21030,1,21030.0,21030.0,21030,21030,0.0,cuMemGetInfo_v2
0.0,19388,4,4847.0,1097.0,502,16692,7906.9,cudaDeviceSynchronize
0.0,15771,36,438.1,167.5,153,7165,1176.0,cudaEventCreateWithFlags
0.0,5980,18,332.2,198.5,133,2220,481.1,cudaEventDestroy
0.0,4400,6,733.3,578.0,337,1300,429.4,cuInit
0.0,837,2,418.5,418.5,192,645,320.3,cuCtxSetCurrent
0.0,289,4,72.3,74.0,61,80,8.4,cuModuleGetLoadingMode
