Generating SQLite file profile_output/v5m_gpu_only/uvlm_smoke.sqlite from profile_output/v5m_gpu_only/uvlm_smoke.nsys-rep
Processing [profile_output/v5m_gpu_only/uvlm_smoke.sqlite] with [/opt/nvidia/nsight-systems/2024.5.1/host-linux-x64/reports/cuda_gpu_kern_sum.py]... 
Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
60.7,1289026,7,184146.6,162272.0,79648,337665,89336.6,convect_kernel_4108eab7_cuda_kernel_forward
25.4,539617,8,67452.1,67392.5,1600,133280,46055.1,rhs_moving_kernel_89392137_cuda_kernel_forward
8.1,172608,8,21576.0,21600.0,21472,21600,44.4,_lu_solve_kernel_62b37f7f_cuda_kernel_forward
2.6,55935,8,6991.9,6848.0,6751,8224,499.3,aic_kernel_94154cd7_cuda_kernel_forward
1.1,23010,8,2876.3,2736.5,2656,3905,420.9,bound_rings_kernel_5702e2f5_cuda_kernel_forward
0.8,18015,8,2251.9,2272.0,2175,2400,76.5,panel_force_kernel_04c076a4_cuda_kernel_forward
0.7,14112,8,1764.0,1760.0,1728,1856,39.9,shed_kernel_3da7c3cc_cuda_kernel_forward
0.5,10912,8,1364.0,1312.0,1281,1728,148.0,colvel_kernel_6430f37e_cuda_kernel_forward

Processing [profile_output/v5m_gpu_only/uvlm_smoke.sqlite] with [/opt/nvidia/nsight-systems/2024.5.1/host-linux-x64/reports/cuda_api_sum.py]... 
Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
39.4,4936116,2,2468058.0,2468058.0,1627684,3308432,1188468.3,cuModuleLoadDataEx
32.1,4020863,102,39420.2,794.5,470,3914788,387518.5,cudaMallocAsync_v11020
15.1,1885835,72,26192.2,3375.0,1590,325931,62994.7,cudaMemcpyAsync
4.2,527355,1,527355.0,527355.0,527355,527355,0.0,cuMemGetInfo_v2
3.0,375081,2,187540.5,187540.5,141722,233359,64797.1,cuModuleUnload
2.3,284569,101,2817.5,171.0,121,265540,26403.4,cudaStreamIsCapturing_v10000
1.6,195127,63,3097.3,2296.0,1929,34108,4064.1,cuLaunchKernel
0.7,92383,60,1539.7,1389.0,950,5262,688.9,cudaMemsetAsync
0.7,81844,102,802.4,737.0,422,3949,429.4,cudaFreeAsync_v11020
0.4,55748,419,133.1,81.0,39,4278,238.6,cuGetProcAddress_v2
0.1,18500,1,18500.0,18500.0,18500,18500,0.0,cuStreamCreateWithPriority
0.1,16972,24,707.2,595.5,466,2613,426.0,cuStreamWaitEvent
0.1,15286,24,636.9,532.5,431,2456,400.4,cuEventRecord
0.1,11506,1,11506.0,11506.0,11506,11506,0.0,cuStreamDestroy_v2
0.0,2230,7,318.6,249.0,91,553,188.8,cuCtxSetCurrent
0.0,1335,1,1335.0,1335.0,1335,1335,0.0,cuInit
0.0,1170,1,1170.0,1170.0,1170,1170,0.0,cuEventDestroy_v2
0.0,591,1,591.0,591.0,591,591,0.0,cuEventCreate
0.0,75,1,75.0,75.0,75,75,0.0,cuModuleGetLoadingMode

